MetaTest/Average/MaxReturn,MetaTest/drawer-close-v1/MinReturn,MetaTest/Average/StdReturn,MetaTest/Average/SuccessRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/NumEpisodes,TotalEnvSteps,MetaTrain/Average/QfLoss,MetaTest/Average/AverageReturn,MetaTrain/Average/AlphaLoss,MetaTrain/Average/PolicyLoss,MetaTest/drawer-close-v1/MaxReturn,MetaTrain/Average/Alpha,MetaTest/drawer-close-v1/NumEpisodes,MetaTest/Average/MinReturn,MetaTest/Average/Iteration,MetaTest/drawer-close-v1/AverageDiscountedReturn,MetaTest/drawer-close-v1/Iteration,MetaTrain/Average/ContrastiveLoss,MetaTest/drawer-close-v1/AverageReturn,MetaTest/drawer-close-v1/StdReturn,MetaTest/drawer-close-v1/TerminationRate,MetaTest/Average/TerminationRate,MetaTest/drawer-close-v1/SuccessRate
-16.9440644250021,-42.98343068858638,6.930402385361737,0.1,-26.101508034424835,10,56000,0.4820453,-26.101508034424842,6.2661424,-1.3358951,-16.9440644250021,0.9308988,10,-42.98343068858638,0,-26.101508034424835,0,8.294081,-26.101508034424842,6.930402385361737,0.0,0.0,0.1
-6.881452633109595,-32.15120493827164,7.08645027032701,0.0,-22.499350220497313,10,62000,16.768353,-22.49935022049732,5.441048,1.6589555,-6.881452633109595,0.8090371,10,-32.15120493827164,1,-22.499350220497313,1,7.79428,-22.49935022049732,7.08645027032701,0.0,0.0,0.0
-17.00833428993202,-69.69344210842536,14.992680790017065,0.1,-26.822717157051805,10,68000,325.84204,-26.822717157051795,4.6662693,3.7648966,-17.00833428993202,0.70736414,10,-69.69344210842536,2,-26.822717157051805,2,9.2560625,-26.822717157051795,14.992680790017065,0.0,0.0,0.1
-20.49512934371524,-54.98098400694363,10.571830266518218,0.0,-41.67342821701904,10,74000,317.13925,-41.67342821701903,3.5212882,4.0592675,-20.49512934371524,0.624281,10,-54.98098400694363,3,-41.67342821701904,3,7.62925,-41.67342821701903,10.571830266518218,0.0,0.0,0.0
-25.027294678496318,-34.89883855325252,3.1669429300641414,0.0,-28.9870887384644,10,80000,315.7285,-28.987088738464386,2.7212007,-2.2225254,-25.027294678496318,0.5583766,10,-34.89883855325252,4,-28.9870887384644,4,7.6246247,-28.987088738464386,3.1669429300641414,0.0,0.0,0.0
-27.992350580481602,-43.886676652058476,5.198900105730404,0.0,-35.341644231665185,10,86000,355.1385,-35.34164423166518,2.0679843,-18.158064,-27.992350580481602,0.5005797,10,-43.886676652058476,5,-35.341644231665185,5,7.624632,-35.34164423166518,5.198900105730404,0.0,0.0,0.0
-18.639677771651463,-37.16995695534595,5.386048756887315,0.0,-28.607125133586493,10,92000,380.82355,-28.607125133586493,1.5896286,-43.942986,-18.639677771651463,0.45055398,10,-37.16995695534595,6,-28.607125133586493,6,7.625005,-28.607125133586493,5.386048756887315,0.0,0.0,0.0
-14.214258431620161,-24.04680827361555,3.65575760723098,0.0,-20.67226510037246,10,98000,503.05682,-20.672265100372456,1.2494991,-80.815575,-14.214258431620161,0.4050747,10,-24.04680827361555,7,-20.67226510037246,7,7.624632,-20.672265100372456,3.65575760723098,0.0,0.0,0.0
-13.44695972593978,-25.541186484323376,3.608717158055263,0.1,-16.982574118428637,10,104000,584.899,-16.98257411842863,0.85983163,-120.92052,-13.44695972593978,0.36641902,10,-25.541186484323376,8,-16.982574118428637,8,7.624632,-16.98257411842863,3.608717158055263,0.0,0.0,0.1
-12.98114041985503,-33.450786528251534,6.12526059248584,0.0,-20.988034226938428,10,110000,662.97656,-20.988034226938424,-0.043270368,-175.43358,-12.98114041985503,0.34792286,10,-33.450786528251534,9,-20.988034226938428,9,7.624632,-20.988034226938424,6.12526059248584,0.0,0.0,0.0
