MetaTest/door-lock-v1/SuccessRate,MetaTrain/Average/ContrastiveLoss,MetaTest/door-lock-v1/MaxReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/door-lock-v1/NumEpisodes,MetaTest/door-lock-v1/StdReturn,MetaTrain/Average/Alpha,MetaTest/Average/SuccessRate,MetaTest/door-lock-v1/Iteration,MetaTrain/Average/PolicyLoss,MetaTest/door-lock-v1/TerminationRate,MetaTest/Average/TerminationRate,MetaTrain/Average/QfLoss,TotalEnvSteps,MetaTest/Average/StdReturn,MetaTest/door-lock-v1/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTest/Average/MinReturn,MetaTest/Average/MaxReturn,MetaTest/door-lock-v1/AverageReturn,MetaTest/Average/NumEpisodes,MetaTest/door-lock-v1/MinReturn,MetaTest/Average/Iteration,MetaTrain/Average/AlphaLoss
0.0,8.667361,-36.11224975489242,-54.253102055960234,10,11.560093373368668,0.77970666,0.0,0,-63.844143,0.0,0.0,20476.338,224000,11.560093373368668,-54.253102055960234,-54.25310205596022,-70.38528105023916,-36.11224975489242,-54.25310205596022,10,-70.38528105023916,0,4.0196958
0.0,15.38858,-31.945559980440077,-51.82630940074266,10,17.928013612509726,0.53038657,0.0,1,-338.55338,0.0,0.0,24018.27,248000,17.928013612509726,-51.82630940074266,-51.82630940074265,-91.38333974400832,-31.945559980440077,-51.82630940074265,10,-91.38333974400832,1,0.7545372
0.0,233.01462,-34.57865100415373,-39.77710490349954,10,3.7544550161039654,0.6890904,0.0,2,-985.8675,0.0,0.0,32660.51,272000,3.7544550161039654,-39.77710490349954,-39.77710490349954,-45.26607748305963,-34.57865100415373,-39.77710490349954,10,-45.26607748305963,2,-3.0713496
0.0,82.76104,-29.290891651835654,-47.44950192132508,10,14.236293542428776,0.92561907,0.0,3,-2932.6914,0.0,0.0,104700.32,296000,14.236293542428776,-47.44950192132508,-47.449501921325066,-81.40319758786117,-29.290891651835654,-47.449501921325066,10,-81.40319758786117,3,-3.9130766
0.0,668.398,-31.494351532855415,-69.23397928886034,10,26.77119536250425,1.7855256,0.0,4,-10836.026,0.0,0.0,175865.6,320000,26.77119536250425,-69.23397928886034,-69.23397928886033,-108.53205373683326,-31.494351532855415,-69.23397928886033,10,-108.53205373683326,4,-18.289995
0.3,357.05356,-24.193567002740906,-71.43998979911602,10,34.099656232708874,3.1817546,0.3,5,-9225.462,0.0,0.0,189013.36,344000,34.099656232708874,-71.43998979911602,-71.43998979911603,-115.64061165381905,-24.193567002740906,-71.43998979911603,10,-115.64061165381905,5,-13.9552555
0.0,3786.4834,-86.59521129440995,-108.87749533391198,10,14.109108996436847,3.2696784,0.0,6,-5761.9517,0.0,0.0,195520.95,368000,14.109108996436847,-108.87749533391198,-108.87749533391195,-133.6316269314468,-86.59521129440995,-108.87749533391195,10,-133.6316269314468,6,3.7861269
0.2,1040.4769,21571.49629143774,2165.1936380553084,10,6470.021910844911,4.0051966,0.2,7,-11807.226,0.0,0.0,418496.03,392000,6470.021910844911,2165.1936380553084,2165.193638055311,-49.67270395039307,21571.49629143774,2165.193638055311,10,-49.67270395039307,7,-11.369719
0.0,5453.2505,612.0786380116382,60.20659711997488,10,214.8020648986749,5.107787,0.0,8,-14115.488,0.0,0.0,564711.25,416000,214.8020648986749,60.20659711997488,60.206597119974944,-51.841215203237674,612.0786380116382,60.206597119974944,10,-51.841215203237674,8,-12.87516
0.0,4797.563,-46.69325309000297,-68.87834766545576,10,14.202078299329125,8.288596,0.0,9,-20852.396,0.0,0.0,810569.9,440000,14.202078299329125,-68.87834766545576,-68.87834766545578,-90.31973366453079,-46.69325309000297,-68.87834766545578,10,-90.31973366453079,9,-16.83526
