MetaTest/faucet-open-v1/AverageDiscountedReturn,MetaTest/Average/MaxReturn,MetaTrain/Average/Alpha,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/QfLoss,MetaTest/faucet-open-v1/NumTrajs,MetaTest/Average/StdReturn,MetaTest/Average/NumTrajs,MetaTest/faucet-open-v1/MinReturn,MetaTest/Average/MinReturn,MetaTrain/Average/PolicyLoss,MetaTest/faucet-open-v1/Iteration,MetaTest/Average/SuccessRate,TotalEnvSteps,MetaTest/faucet-open-v1/TerminationRate,MetaTest/faucet-open-v1/SuccessRate,MetaTest/Average/TerminationRate,MetaTest/faucet-open-v1/AverageReturn,MetaTest/faucet-open-v1/MaxReturn,MetaTest/faucet-open-v1/StdReturn,MetaTest/Average/Iteration,MetaTrain/Average/AlphaLoss,MetaTest/Average/AverageReturn,MetaTrain/Average/ContrastiveLoss
-44.07742277510097,-35.41285036838593,nan,-44.07742277510097,147.03113,10,6.325882809352059,10,-52.89150975332771,-52.89150975332771,-4.8221593,0,0.0,224000,0.0,0.0,0.0,-44.07742277510097,-35.41285036838593,6.325882809352059,0,6.5748863,-44.07742277510097,12.237668
-32.63335307499617,-28.181215148573482,nan,-32.63335307499617,2508.9583,10,3.518071777832079,10,-37.6456946060137,-37.6456946060137,-33.164547,1,0.0,248000,0.0,0.0,0.0,-32.63335307499618,-28.181215148573482,3.518071777832079,1,5.8315897,-32.63335307499618,8.86947
5614.929928227858,17393.663554564533,nan,5614.929928227858,15542.698,10,5576.16709847822,10,-48.35570379751423,-48.35570379751423,-403.08826,2,0.0,272000,0.0,0.0,0.0,5614.929928227858,17393.663554564533,5576.16709847822,2,3.5428932,5614.929928227858,26.502304
141.03468021905496,495.8723962364437,nan,141.03468021905496,78743.26,10,230.27208053238604,10,-45.02806487784225,-45.02806487784225,-4238.4517,3,0.0,296000,0.0,0.0,0.0,141.034680219055,495.8723962364437,230.27208053238604,3,-2.9173982,141.034680219055,73.6479
3253.6151511044486,19588.747961113997,nan,3253.6151511044486,77710.4,10,5989.256071891388,10,-49.323817776203455,-49.323817776203455,-8402.632,4,0.0,320000,0.0,0.0,0.0,3253.615151104449,19588.747961113997,5989.256071891388,4,-3.0060174,3253.615151104449,126.20585
3747.2853182032704,10371.218937245,nan,3747.2853182032704,111276.6,10,3977.55943261696,10,-19.125750339364,-19.125750339364,-9472.484,5,0.0,344000,0.0,0.0,0.0,3747.2853182032713,10371.218937245,3977.55943261696,5,-6.783414,3747.2853182032713,229.50243
2206.188302828615,5723.28679834612,nan,2206.188302828615,176442.23,10,2465.6764710789475,10,-43.619133457230966,-43.619133457230966,-16879.504,6,0.0,368000,0.0,0.0,0.0,2206.1883028286156,5723.28679834612,2465.6764710789475,6,-10.738446,2206.1883028286156,141.82219
11507.568165873063,20094.73681822974,nan,11507.568165873063,307387.97,10,7827.298755496103,10,518.7318350727586,518.7318350727586,-22436.553,7,0.0,392000,0.0,0.0,0.0,11507.568165873065,20094.73681822974,7827.298755496103,7,-12.728337,11507.568165873065,112.31745
17390.41521177445,22184.681948011807,nan,17390.41521177445,483241.84,10,3715.4310673775676,10,10607.824603469935,10607.824603469935,-28962.611,8,0.2,416000,0.0,0.2,0.0,17390.41521177445,22184.681948011807,3715.4310673775676,8,-12.729129,17390.41521177445,86.8802
16342.776568023892,26879.38847006979,nan,16342.776568023892,680175.75,10,8809.061301701737,10,826.6561477897612,826.6561477897612,-32715.809,9,0.1,440000,0.0,0.1,0.0,16342.776568023892,26879.38847006979,8809.061301701737,9,-12.705317,16342.776568023892,185.91599
