MetaTest/button-press-topdown-wall-v1/SuccessRate,MetaTest/button-press-topdown-wall-v1/AverageDiscountedReturn,MetaTrain/Average/PolicyLoss,MetaTrain/Average/Alpha,MetaTest/button-press-topdown-wall-v1/AverageReturn,MetaTest/Average/Iteration,MetaTest/Average/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/button-press-topdown-wall-v1/MinReturn,TotalEnvSteps,MetaTrain/Average/AlphaLoss,MetaTest/Average/MinReturn,MetaTest/button-press-topdown-wall-v1/MaxReturn,MetaTest/button-press-topdown-wall-v1/TerminationRate,MetaTest/Average/SuccessRate,MetaTest/Average/NumTrajs,MetaTest/Average/StdReturn,MetaTest/Average/MaxReturn,MetaTrain/Average/ContrastiveLoss,MetaTrain/Average/QfLoss,MetaTest/button-press-topdown-wall-v1/Iteration,MetaTest/button-press-topdown-wall-v1/StdReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/button-press-topdown-wall-v1/NumTrajs
0.0,-54.11733236041804,17.882135,nan,-54.11733236041805,0,0.0,-54.11733236041805,-67.37418361778073,224000,6.729306,-67.37418361778073,-41.31719520094932,0.0,0.0,10,8.45244871531079,-41.31719520094932,8.657142,1.5536311,0,8.45244871531079,-54.11733236041804,10
0.0,21387.8550462794,51.363064,nan,21387.8550462794,1,0.0,21387.8550462794,-64.76816689081096,248000,6.7200503,-64.76816689081096,72881.8239990588,0.0,0.0,10,25955.843713235376,72881.8239990588,7.508905,3.3810627,1,25955.843713235376,21387.8550462794,10
0.0,-128.15497297260077,54.8812,nan,-128.15497297260077,2,0.0,-128.15497297260077,-144.72559383902342,272000,4.512508,-144.72559383902342,-43.41640770196164,0.0,0.0,10,28.91948970687826,-43.41640770196164,7.6345325,33049.8,2,28.91948970687826,-128.15497297260077,10
0.0,-41.74724868026074,-117.749664,nan,-41.74724868026074,3,0.0,-41.74724868026074,-45.02295760842885,296000,4.1729946,-45.02295760842885,-36.91960254959116,0.0,0.0,10,2.1903764320559445,-36.91960254959116,266.98566,108154.78,3,2.1903764320559445,-41.74724868026074,10
0.0,-40.35116683971832,-491.06537,nan,-40.35116683971832,4,0.0,-40.35116683971832,-53.86460300110702,320000,2.9220912,-53.86460300110702,-22.077314337745758,0.0,0.0,10,10.737370480079228,-22.077314337745758,68.21783,107656.41,4,10.737370480079228,-40.35116683971832,10
0.0,-100.91036453183325,-1466.7606,nan,-100.91036453183325,5,0.0,-100.91036453183325,-118.08453098993637,344000,1.5507287,-118.08453098993637,-71.2208883885108,0.0,0.0,10,14.374339469199375,-71.2208883885108,66.93175,136734.22,5,14.374339469199375,-100.91036453183325,10
0.0,-51.16559344859558,-3062.4482,nan,-51.16559344859559,6,0.0,-51.16559344859559,-83.09901313944613,368000,0.092555545,-83.09901313944613,-40.941101894143245,0.0,0.0,10,15.808491532615811,-40.941101894143245,204.75867,399823.7,6,15.808491532615811,-51.16559344859558,10
0.0,-53.3577720130001,-18953.74,nan,-53.357772013000115,7,0.0,-53.357772013000115,-59.268428800056654,392000,-10.922831,-59.268428800056654,-45.98039613260876,0.0,0.0,10,4.354253365710018,-45.98039613260876,1151.6383,4932794.5,7,4.354253365710018,-53.3577720130001,10
0.7,200531.485926672,-32286.477,nan,200531.48592667188,8,0.0,200531.48592667188,-22.86481965693574,416000,-13.104181,-22.86481965693574,319316.0507833314,0.0,0.7,10,139038.15972853085,319316.0507833314,1620.8635,4763290.5,8,139038.15972853085,200531.485926672,10
0.8,287327.88699992985,-46796.49,nan,287327.8869999298,9,0.0,287327.8869999298,143217.75441773198,440000,-13.659196,143217.75441773198,345434.5954192767,0.0,0.8,10,63042.23750494482,345434.5954192767,352.47925,7902879.5,9,63042.23750494482,287327.88699992985,10
0.3,30991.589881889427,-80888.26,nan,30991.589881889417,10,0.0,30991.589881889417,-150.27297872889454,464000,-14.609126,-150.27297872889454,206628.01450511537,0.0,0.3,10,62793.75370256582,206628.01450511537,731.8534,13520968.0,10,62793.75370256582,30991.589881889427,10
