MetaTest/Average/TerminationRate,MetaTest/basketball-v1/Iteration,MetaTest/Average/SuccessRate,MetaTest/basketball-v1/MaxReturn,MetaTest/Average/MinReturn,MetaTest/Average/NumTrajs,MetaTest/basketball-v1/AverageDiscountedReturn,MetaTest/basketball-v1/AverageReturn,MetaTest/Average/AverageReturn,MetaTest/basketball-v1/TerminationRate,MetaTest/basketball-v1/StdReturn,MetaTest/Average/MaxReturn,TotalEnvSteps,MetaTest/Average/Iteration,MetaTest/Average/StdReturn,MetaTest/basketball-v1/MinReturn,MetaTest/basketball-v1/NumTrajs,MetaTest/Average/AverageDiscountedReturn,MetaTest/basketball-v1/SuccessRate
0.0,10,0.0,-14.379463515813955,-25.897909522408163,10,-17.725674448488885,-17.725674448488885,-17.725674448488885,0.0,3.857869288899484,-14.379463515813955,464000,10,3.857869288899484,-25.897909522408163,10,-17.725674448488885,0.0
0.0,11,0.0,-17.03139450187115,-22.835181210879114,10,-19.85161109902178,-19.851611099021778,-19.851611099021778,0.0,1.5978768278456585,-17.03139450187115,488000,11,1.5978768278456585,-22.835181210879114,10,-19.85161109902178,0.0
0.0,12,0.0,-17.083276095311597,-22.49282594560596,10,-19.059894997670444,-19.059894997670437,-19.059894997670437,0.0,1.6514828812291438,-17.083276095311597,512000,12,1.6514828812291438,-22.49282594560596,10,-19.059894997670444,0.0
0.0,13,0.0,-18.38172022300181,-24.32194440720381,10,-20.019895475236332,-20.019895475236332,-20.019895475236332,0.0,2.017620536114798,-18.38172022300181,536000,13,2.017620536114798,-24.32194440720381,10,-20.019895475236332,0.0
0.0,14,0.0,-17.62034799335721,-22.477098969496655,10,-19.479959972368743,-19.47995997236874,-19.47995997236874,0.0,1.3573155711196707,-17.62034799335721,560000,14,1.3573155711196707,-22.477098969496655,10,-19.479959972368743,0.0
0.0,15,0.0,-16.334898488044132,-22.619184329178232,10,-19.10589137212235,-19.10589137212235,-19.10589137212235,0.0,2.1016368449693132,-16.334898488044132,584000,15,2.1016368449693132,-22.619184329178232,10,-19.10589137212235,0.0
0.0,16,0.0,-15.157012513393305,-18.655634088654296,10,-15.957566039664169,-15.957566039664167,-15.957566039664167,0.0,0.9503011887898932,-15.157012513393305,608000,16,0.9503011887898932,-18.655634088654296,10,-15.957566039664169,0.0
0.0,17,0.0,-15.276740989606415,-22.417426715991713,10,-18.242126406639212,-18.242126406639215,-18.242126406639215,0.0,2.226170414025271,-15.276740989606415,632000,17,2.226170414025271,-22.417426715991713,10,-18.242126406639212,0.0
0.0,18,0.0,-21.34912645281479,-32.0451897355735,10,-26.407858789075686,-26.407858789075686,-26.407858789075686,0.0,3.520194374538698,-21.34912645281479,656000,18,3.520194374538698,-32.0451897355735,10,-26.407858789075686,0.0
0.0,19,0.0,-14.874294276834148,-32.82339319067559,10,-19.460878539924316,-19.460878539924316,-19.460878539924316,0.0,4.9539793201524445,-14.874294276834148,680000,19,4.9539793201524445,-32.82339319067559,10,-19.460878539924316,0.0
0.0,20,0.0,-16.019263753118427,-28.404632863665952,10,-18.953266732096672,-18.953266732096672,-18.953266732096672,0.0,3.5618689301043482,-16.019263753118427,704000,20,3.5618689301043482,-28.404632863665952,10,-18.953266732096672,0.0
0.0,21,0.0,-14.61009092836458,-30.208608630318857,10,-19.637544408048814,-19.63754440804881,-19.63754440804881,0.0,5.470943233289311,-14.61009092836458,728000,21,5.470943233289311,-30.208608630318857,10,-19.637544408048814,0.0
0.0,22,0.0,3409.8096397391096,-40.84085101555244,10,323.5172276867084,323.5172276867087,323.5172276867087,0.0,1028.8068146244304,3409.8096397391096,752000,22,1028.8068146244304,-40.84085101555244,10,323.5172276867084,0.0
0.0,23,0.0,17.202270114972784,-60.1835208645342,10,-27.85005050220844,-27.85005050220844,-27.85005050220844,0.0,18.46542219162087,17.202270114972784,776000,23,18.46542219162087,-60.1835208645342,10,-27.85005050220844,0.0
0.0,24,0.0,2.58270970655522,-161.46693616435917,10,-99.28355106855592,-99.28355106855597,-99.28355106855597,0.0,45.450819338432815,2.58270970655522,800000,24,45.450819338432815,-161.46693616435917,10,-99.28355106855592,0.0
0.0,25,0.0,-50.39146242050692,-91.12661715962369,10,-79.20497657786476,-79.20497657786477,-79.20497657786477,0.0,15.369652878965484,-50.39146242050692,824000,25,15.369652878965484,-91.12661715962369,10,-79.20497657786476,0.0
0.0,26,0.0,322.89676353000874,-107.57251367631585,10,-6.776060634891969,-6.776060634891951,-6.776060634891951,0.0,153.38968314276914,322.89676353000874,848000,26,153.38968314276914,-107.57251367631585,10,-6.776060634891969,0.0
0.0,27,0.0,-40.366326774207536,-128.45297005571814,10,-88.34928601859949,-88.34928601859949,-88.34928601859949,0.0,23.975159073298986,-40.366326774207536,872000,27,23.975159073298986,-128.45297005571814,10,-88.34928601859949,0.0
0.0,28,0.0,1430.4711050177539,-83.9365768018552,10,88.72420169318379,88.72420169318386,88.72420169318386,0.0,447.734053150338,1430.4711050177539,896000,28,447.734053150338,-83.9365768018552,10,88.72420169318379,0.0
0.0,29,0.0,-9.559212615181126,-144.101988181689,10,-64.59007497024665,-64.59007497024662,-64.59007497024662,0.0,39.57491048208068,-9.559212615181126,920000,29,39.57491048208068,-144.101988181689,10,-64.59007497024665,0.0
0.0,30,0.0,45.989145365703685,-110.11089433791405,10,-74.25481058794998,-74.25481058794996,-74.25481058794996,0.0,44.59029445476881,45.989145365703685,944000,30,44.59029445476881,-110.11089433791405,10,-74.25481058794998,0.0
0.0,31,0.0,48.44123577586151,-152.2879459235903,10,-60.2222173217678,-60.222217321767815,-60.222217321767815,0.0,59.72045255687245,48.44123577586151,968000,31,59.72045255687245,-152.2879459235903,10,-60.2222173217678,0.0
0.0,32,0.0,40.69062433366995,-137.81541442105095,10,-58.17897473717469,-58.17897473717467,-58.17897473717467,0.0,46.371951640173485,40.69062433366995,992000,32,46.371951640173485,-137.81541442105095,10,-58.17897473717469,0.0
0.0,33,0.0,-69.32585772948671,-122.83043875971583,10,-98.83285700663623,-98.83285700663623,-98.83285700663623,0.0,14.774186449154284,-69.32585772948671,1016000,33,14.774186449154284,-122.83043875971583,10,-98.83285700663623,0.0
0.0,34,0.0,-43.07205602683611,-134.49545086629536,10,-85.7952182498428,-85.7952182498428,-85.7952182498428,0.0,30.274398496162508,-43.07205602683611,1040000,34,30.274398496162508,-134.49545086629536,10,-85.7952182498428,0.0
0.0,35,0.0,-43.818285888418686,-130.9705407803217,10,-95.14440574500738,-95.14440574500739,-95.14440574500739,0.0,33.464995012309515,-43.818285888418686,1064000,35,33.464995012309515,-130.9705407803217,10,-95.14440574500738,0.0
0.0,36,0.0,-65.37527074442116,-126.39862877834265,10,-99.7459182661829,-99.74591826618288,-99.74591826618288,0.0,18.259622949772176,-65.37527074442116,1088000,36,18.259622949772176,-126.39862877834265,10,-99.7459182661829,0.0
0.0,37,0.0,-62.657683295298675,-106.19800396846695,10,-83.64557200339021,-83.64557200339019,-83.64557200339019,0.0,14.352109396075745,-62.657683295298675,1112000,37,14.352109396075745,-106.19800396846695,10,-83.64557200339021,0.0
0.0,38,0.0,-41.054574211080215,-101.04759683632079,10,-65.3725108059219,-65.3725108059219,-65.3725108059219,0.0,18.85294700052517,-41.054574211080215,1136000,38,18.85294700052517,-101.04759683632079,10,-65.3725108059219,0.0
0.0,39,0.0,-50.89534706085844,-93.69356364568874,10,-64.88477316354764,-64.88477316354764,-64.88477316354764,0.0,15.715242380223954,-50.89534706085844,1160000,39,15.715242380223954,-93.69356364568874,10,-64.88477316354764,0.0
0.0,40,0.0,-41.24273837162894,-125.06272768810447,10,-87.93157802581796,-87.9315780258179,-87.9315780258179,0.0,30.957443362751707,-41.24273837162894,1184000,40,30.957443362751707,-125.06272768810447,10,-87.93157802581796,0.0
0.0,41,0.0,-28.86180740958906,-129.11134775824374,10,-60.40283745302649,-60.40283745302652,-60.40283745302652,0.0,29.277340679157025,-28.86180740958906,1208000,41,29.277340679157025,-129.11134775824374,10,-60.40283745302649,0.0
0.0,42,0.0,-4.073622049897246,-184.44286368995986,10,-90.57460208929899,-90.57460208929902,-90.57460208929902,0.0,52.920857393875536,-4.073622049897246,1232000,42,52.920857393875536,-184.44286368995986,10,-90.57460208929899,0.0
0.0,43,0.0,-20.64448814523038,-134.367515516495,10,-91.17632921063262,-91.17632921063262,-91.17632921063262,0.0,29.099493371850045,-20.64448814523038,1256000,43,29.099493371850045,-134.367515516495,10,-91.17632921063262,0.0
0.0,44,0.0,-73.66048391265909,-192.6462720339376,10,-120.06050931699697,-120.06050931699697,-120.06050931699697,0.0,42.6151553679121,-73.66048391265909,1280000,44,42.6151553679121,-192.6462720339376,10,-120.06050931699697,0.0
0.0,45,0.0,-40.35252855035902,-142.79370054830846,10,-115.33897063891888,-115.33897063891888,-115.33897063891888,0.0,30.57059637028519,-40.35252855035902,1304000,45,30.57059637028519,-142.79370054830846,10,-115.33897063891888,0.0
0.0,46,0.0,-92.26215780360528,-154.3119461363533,10,-123.25662290716147,-123.25662290716147,-123.25662290716147,0.0,22.650399050233865,-92.26215780360528,1328000,46,22.650399050233865,-154.3119461363533,10,-123.25662290716147,0.0
0.0,47,0.0,-28.014702307682075,-125.0444979546737,10,-90.37685787536688,-90.37685787536687,-90.37685787536687,0.0,30.13242611148961,-28.014702307682075,1352000,47,30.13242611148961,-125.0444979546737,10,-90.37685787536688,0.0
0.0,48,0.0,-59.52780552099918,-200.02388008134568,10,-121.911218545514,-121.91121854551402,-121.91121854551402,0.0,37.82542507067455,-59.52780552099918,1376000,48,37.82542507067455,-200.02388008134568,10,-121.911218545514,0.0
0.0,49,0.0,-56.78379475432549,-131.84896873668373,10,-92.32919248403762,-92.32919248403759,-92.32919248403759,0.0,27.311680197743726,-56.78379475432549,1400000,49,27.311680197743726,-131.84896873668373,10,-92.32919248403762,0.0
0.0,50,0.0,-57.36950975368902,-113.79406063328969,10,-83.76279861621906,-83.76279861621909,-83.76279861621909,0.0,15.388893573010444,-57.36950975368902,1424000,50,15.388893573010444,-113.79406063328969,10,-83.76279861621906,0.0
0.0,51,0.0,-27.104719748837827,-204.92163402775955,10,-70.19152985100034,-70.19152985100037,-70.19152985100037,0.0,49.98140360235765,-27.104719748837827,1448000,51,49.98140360235765,-204.92163402775955,10,-70.19152985100034,0.0
0.0,52,0.0,-38.895400240262965,-120.30654127495866,10,-73.5137869995688,-73.51378699956881,-73.51378699956881,0.0,26.766573970993274,-38.895400240262965,1472000,52,26.766573970993274,-120.30654127495866,10,-73.5137869995688,0.0
0.0,53,0.0,-9.332577808135547,-95.31939579389669,10,-66.09386098164119,-66.09386098164119,-66.09386098164119,0.0,24.23780826951075,-9.332577808135547,1496000,53,24.23780826951075,-95.31939579389669,10,-66.09386098164119,0.0
0.0,54,0.0,-25.423776329668016,-87.20293925497268,10,-56.72912901234687,-56.72912901234687,-56.72912901234687,0.0,22.826581221973225,-25.423776329668016,1520000,54,22.826581221973225,-87.20293925497268,10,-56.72912901234687,0.0
0.0,55,0.0,-27.17611704368512,-49.52757943680398,10,-37.19959712833703,-37.19959712833704,-37.19959712833704,0.0,6.909851025260437,-27.17611704368512,1544000,55,6.909851025260437,-49.52757943680398,10,-37.19959712833703,0.0
0.0,56,0.0,-25.344277115723717,-41.71611807298151,10,-34.015567993837294,-34.01556799383729,-34.01556799383729,0.0,4.398188901858121,-25.344277115723717,1568000,56,4.398188901858121,-41.71611807298151,10,-34.015567993837294,0.0
0.0,57,0.0,-32.03084673907314,-62.77745289277041,10,-52.10459875968388,-52.1045987596839,-52.1045987596839,0.0,8.405866359076635,-32.03084673907314,1592000,57,8.405866359076635,-62.77745289277041,10,-52.10459875968388,0.0
0.0,58,0.0,-25.390259688194455,-80.92246595928835,10,-44.280054647888846,-44.280054647888846,-44.280054647888846,0.0,20.171256412440858,-25.390259688194455,1616000,58,20.171256412440858,-80.92246595928835,10,-44.280054647888846,0.0
0.0,59,0.0,-25.931028870416895,-78.5079405052628,10,-43.26089032504346,-43.26089032504347,-43.26089032504347,0.0,18.10129993064085,-25.931028870416895,1640000,59,18.10129993064085,-78.5079405052628,10,-43.26089032504346,0.0
0.0,60,0.0,-16.346123454151353,-55.320241385355494,10,-33.87564811271393,-33.87564811271393,-33.87564811271393,0.0,13.802829401561105,-16.346123454151353,1664000,60,13.802829401561105,-55.320241385355494,10,-33.87564811271393,0.0
0.0,61,0.0,-23.749084486056347,-63.384938843686115,10,-43.21317504852563,-43.21317504852564,-43.21317504852564,0.0,13.236396347152967,-23.749084486056347,1688000,61,13.236396347152967,-63.384938843686115,10,-43.21317504852563,0.0
0.0,62,0.0,-17.509562014548663,-57.083947355109274,10,-35.39019437398213,-35.39019437398214,-35.39019437398214,0.0,11.407219668009486,-17.509562014548663,1712000,62,11.407219668009486,-57.083947355109274,10,-35.39019437398213,0.0
0.0,63,0.0,-22.3087125808948,-53.35643010825883,10,-31.66307194265419,-31.663071942654206,-31.663071942654206,0.0,8.656893175928376,-22.3087125808948,1736000,63,8.656893175928376,-53.35643010825883,10,-31.66307194265419,0.0
0.0,64,0.0,-26.14155374729507,-76.04910480768642,10,-48.830117250478565,-48.83011725047857,-48.83011725047857,0.0,16.75148824934172,-26.14155374729507,1760000,64,16.75148824934172,-76.04910480768642,10,-48.830117250478565,0.0
0.0,65,0.0,-28.3911088000917,-45.89131915533796,10,-36.73978648910126,-36.73978648910127,-36.73978648910127,0.0,5.241397710607529,-28.3911088000917,1784000,65,5.241397710607529,-45.89131915533796,10,-36.73978648910126,0.0
0.0,66,0.0,-29.365171397514807,-87.16906124097174,10,-44.250862080757635,-44.25086208075764,-44.25086208075764,0.0,15.804082427159562,-29.365171397514807,1808000,66,15.804082427159562,-87.16906124097174,10,-44.250862080757635,0.0
0.0,67,0.0,-24.1210784891872,-71.32312850487689,10,-44.83870837659401,-44.83870837659401,-44.83870837659401,0.0,14.745221365052155,-24.1210784891872,1832000,67,14.745221365052155,-71.32312850487689,10,-44.83870837659401,0.0
0.0,68,0.0,-25.918003297345876,-57.587492559291775,10,-41.12380361874003,-41.12380361874004,-41.12380361874004,0.0,8.452612928825452,-25.918003297345876,1856000,68,8.452612928825452,-57.587492559291775,10,-41.12380361874003,0.0
0.0,69,0.0,-28.592161887380197,-99.05451730465253,10,-43.50645107802699,-43.506451078027,-43.506451078027,0.0,19.48101318727556,-28.592161887380197,1880000,69,19.48101318727556,-99.05451730465253,10,-43.50645107802699,0.0
0.0,70,0.0,-21.158514509819252,-52.10074322388626,10,-37.94262174366653,-37.94262174366652,-37.94262174366652,0.0,9.145644756135619,-21.158514509819252,1904000,70,9.145644756135619,-52.10074322388626,10,-37.94262174366653,0.0
0.0,71,0.0,-21.611514202961576,-40.216216330805025,10,-34.199621807075914,-34.199621807075914,-34.199621807075914,0.0,4.891684366143254,-21.611514202961576,1928000,71,4.891684366143254,-40.216216330805025,10,-34.199621807075914,0.0
0.0,72,0.0,-20.28941365336236,-75.27856608708743,10,-41.13081497669971,-41.13081497669971,-41.13081497669971,0.0,16.379542479296482,-20.28941365336236,1952000,72,16.379542479296482,-75.27856608708743,10,-41.13081497669971,0.0
0.0,73,0.0,-18.267445463162023,-57.30909800117377,10,-40.680571678586965,-40.680571678586965,-40.680571678586965,0.0,10.80717922883465,-18.267445463162023,1976000,73,10.80717922883465,-57.30909800117377,10,-40.680571678586965,0.0
0.0,74,0.0,-22.873589345515185,-48.60004006324575,10,-34.511136428121084,-34.51113642812108,-34.51113642812108,0.0,8.36207802589032,-22.873589345515185,2000000,74,8.36207802589032,-48.60004006324575,10,-34.511136428121084,0.0
0.0,75,0.0,-18.1231888458769,-61.79804121128721,10,-37.06465518824437,-37.064655188244345,-37.064655188244345,0.0,14.137172974188804,-18.1231888458769,2024000,75,14.137172974188804,-61.79804121128721,10,-37.06465518824437,0.0
0.0,76,0.0,-22.620273097060952,-43.414243474332174,10,-29.669972680989314,-29.669972680989314,-29.669972680989314,0.0,5.960090090087659,-22.620273097060952,2048000,76,5.960090090087659,-43.414243474332174,10,-29.669972680989314,0.0
0.0,77,0.0,-23.711091440768506,-58.16240628783073,10,-42.15551560479249,-42.15551560479249,-42.15551560479249,0.0,12.629154518563555,-23.711091440768506,2072000,77,12.629154518563555,-58.16240628783073,10,-42.15551560479249,0.0
0.0,78,0.0,-16.57189993152055,-36.6655581405289,10,-23.54489170701403,-23.544891707014035,-23.544891707014035,0.0,7.231170933917871,-16.57189993152055,2096000,78,7.231170933917871,-36.6655581405289,10,-23.54489170701403,0.0
0.0,79,0.0,-17.419363719193772,-28.022296622305273,10,-24.230799656996787,-24.230799656996787,-24.230799656996787,0.0,3.0451733287269716,-17.419363719193772,2120000,79,3.0451733287269716,-28.022296622305273,10,-24.230799656996787,0.0
0.0,80,0.0,-15.442498355525455,-33.550134935964195,10,-26.631160246446463,-26.631160246446466,-26.631160246446466,0.0,5.368838302001754,-15.442498355525455,2144000,80,5.368838302001754,-33.550134935964195,10,-26.631160246446463,0.0
0.0,81,0.0,-20.635573067734104,-36.71217339234824,10,-29.860211114448095,-29.860211114448088,-29.860211114448088,0.0,5.29546459216369,-20.635573067734104,2168000,81,5.29546459216369,-36.71217339234824,10,-29.860211114448095,0.0
0.0,82,0.0,-19.171107183840135,-32.8805016892065,10,-26.37567647461904,-26.37567647461904,-26.37567647461904,0.0,5.115320270900398,-19.171107183840135,2192000,82,5.115320270900398,-32.8805016892065,10,-26.37567647461904,0.0
0.0,83,0.0,-17.812851693041573,-32.55190231068626,10,-27.11704005459988,-27.117040054599887,-27.117040054599887,0.0,4.405976752019365,-17.812851693041573,2216000,83,4.405976752019365,-32.55190231068626,10,-27.11704005459988,0.0
0.0,84,0.0,-21.2848026062614,-51.636324202972084,10,-31.83937941924529,-31.8393794192453,-31.8393794192453,0.0,9.199218431811667,-21.2848026062614,2240000,84,9.199218431811667,-51.636324202972084,10,-31.83937941924529,0.0
0.0,85,0.0,-57.8862292362115,-185.9391449403382,10,-128.41934429342672,-128.41934429342672,-128.41934429342672,0.0,40.53199293281223,-57.8862292362115,2264000,85,40.53199293281223,-185.9391449403382,10,-128.41934429342672,0.0
0.0,86,0.0,-19.879071235528773,-36.4358786327395,10,-26.129873784114757,-26.12987378411475,-26.12987378411475,0.0,5.3315656412726105,-19.879071235528773,2288000,86,5.3315656412726105,-36.4358786327395,10,-26.129873784114757,0.0
0.0,87,0.0,-13.90542344776304,-75.80493118905021,10,-50.043689948273276,-50.0436899482733,-50.0436899482733,0.0,18.83984490650174,-13.90542344776304,2312000,87,18.83984490650174,-75.80493118905021,10,-50.043689948273276,0.0
0.0,88,0.0,78.95901330993806,-132.7090959218659,10,-46.0861033782559,-46.08610337825589,-46.08610337825589,0.0,54.9052789261115,78.95901330993806,2336000,88,54.9052789261115,-132.7090959218659,10,-46.0861033782559,0.0
0.0,89,0.0,35.05961445882281,-99.9999263119612,10,-21.844918136310092,-21.844918136310092,-21.844918136310092,0.0,35.332859075145066,35.05961445882281,2360000,89,35.332859075145066,-99.9999263119612,10,-21.844918136310092,0.0
0.0,90,0.0,675.6596719462821,-82.07588329215257,10,30.504574961856303,30.504574961856328,30.504574961856328,0.0,216.98461644601187,675.6596719462821,2384000,90,216.98461644601187,-82.07588329215257,10,30.504574961856303,0.0
0.0,91,0.0,2976.3778834288278,-44.857410453131365,10,345.596720655853,345.596720655853,345.596720655853,0.0,886.7581588050307,2976.3778834288278,2408000,91,886.7581588050307,-44.857410453131365,10,345.596720655853,0.0
0.0,92,0.0,67.40758676071813,-70.86009947527283,10,-1.1773355593478136,-1.1773355593478303,-1.1773355593478303,0.0,37.89687827934191,67.40758676071813,2432000,92,37.89687827934191,-70.86009947527283,10,-1.1773355593478136,0.0
0.0,93,0.0,153.90432513574308,-62.19808566212742,10,18.156986578486496,18.156986578486475,18.156986578486475,0.0,66.98136457975883,153.90432513574308,2456000,93,66.98136457975883,-62.19808566212742,10,18.156986578486496,0.0
0.0,94,0.0,37.52141784368952,-71.84453204815154,10,-34.82489078387776,-34.82489078387776,-34.82489078387776,0.0,37.83637539251122,37.52141784368952,2480000,94,37.83637539251122,-71.84453204815154,10,-34.82489078387776,0.0
0.0,95,0.0,229.73058235986835,-180.52109541316455,10,-18.77033379510422,-18.77033379510425,-18.77033379510425,0.0,128.67729038338717,229.73058235986835,2504000,95,128.67729038338717,-180.52109541316455,10,-18.77033379510422,0.0
0.0,96,0.0,11.953358201194716,-84.11401100748054,10,-38.78882550291104,-38.78882550291105,-38.78882550291105,0.0,26.56417473412902,11.953358201194716,2528000,96,26.56417473412902,-84.11401100748054,10,-38.78882550291104,0.0
0.0,97,0.0,118.93745410528112,-95.07461992195518,10,-21.829164414693967,-21.829164414693984,-21.829164414693984,0.0,61.07794973642557,118.93745410528112,2552000,97,61.07794973642557,-95.07461992195518,10,-21.829164414693967,0.0
0.0,98,0.0,152.53358865126074,-88.89218052616938,10,-17.605368281851632,-17.60536828185164,-17.60536828185164,0.0,75.3681979836991,152.53358865126074,2576000,98,75.3681979836991,-88.89218052616938,10,-17.605368281851632,0.0
0.0,99,0.0,-9.801914923152248,-72.97774362536931,10,-37.51495303095179,-37.51495303095179,-37.51495303095179,0.0,23.05481139474302,-9.801914923152248,2600000,99,23.05481139474302,-72.97774362536931,10,-37.51495303095179,0.0
