MetaTest/Average/TerminationRate,MetaTest/basketball-v1/Iteration,MetaTest/Average/SuccessRate,MetaTest/basketball-v1/MaxReturn,MetaTest/Average/MinReturn,MetaTest/Average/NumTrajs,MetaTest/basketball-v1/AverageDiscountedReturn,MetaTest/basketball-v1/AverageReturn,MetaTest/Average/AverageReturn,MetaTest/basketball-v1/TerminationRate,MetaTest/basketball-v1/StdReturn,MetaTest/Average/MaxReturn,TotalEnvSteps,MetaTest/Average/Iteration,MetaTest/Average/StdReturn,MetaTest/basketball-v1/MinReturn,MetaTest/basketball-v1/NumTrajs,MetaTest/Average/AverageDiscountedReturn,MetaTest/basketball-v1/SuccessRate
0.0,0,0.0,-18.162762284915324,-30.94106759062062,10,-25.091823828949934,-25.09182382894994,-25.09182382894994,0.0,3.6169693420893934,-18.162762284915324,224000,0,3.6169693420893934,-30.94106759062062,10,-25.091823828949934,0.0
0.0,1,0.0,-21.36681180037928,-30.190862479445578,10,-26.3084007794828,-26.3084007794828,-26.3084007794828,0.0,2.5519758194990643,-21.36681180037928,248000,1,2.5519758194990643,-30.190862479445578,10,-26.3084007794828,0.0
0.0,2,0.0,-16.636206989058472,-31.35458617648518,10,-25.649242930388972,-25.649242930388976,-25.649242930388976,0.0,5.284939113096283,-16.636206989058472,272000,2,5.284939113096283,-31.35458617648518,10,-25.649242930388972,0.0
0.0,3,0.0,-24.74124072593116,-30.653852000383758,10,-29.240744190166886,-29.24074419016689,-29.24074419016689,0.0,2.0383625985845084,-24.74124072593116,296000,3,2.0383625985845084,-30.653852000383758,10,-29.240744190166886,0.0
0.0,4,0.0,-18.892728357227487,-30.27104706208745,10,-27.277374904049747,-27.277374904049747,-27.277374904049747,0.0,3.4369951159066376,-18.892728357227487,320000,4,3.4369951159066376,-30.27104706208745,10,-27.277374904049747,0.0
0.0,5,0.0,-15.875169952845333,-30.539597458192713,10,-25.425070571272656,-25.425070571272656,-25.425070571272656,0.0,5.056874901289092,-15.875169952845333,344000,5,5.056874901289092,-30.539597458192713,10,-25.425070571272656,0.0
0.0,6,0.0,-18.938845555663796,-29.577437826120264,10,-23.59695799269723,-23.59695799269723,-23.59695799269723,0.0,3.714642718570022,-18.938845555663796,368000,6,3.714642718570022,-29.577437826120264,10,-23.59695799269723,0.0
0.0,7,0.0,-18.75094601741271,-21.66798752271883,10,-20.379790748329167,-20.379790748329167,-20.379790748329167,0.0,0.866134424170153,-18.75094601741271,392000,7,0.866134424170153,-21.66798752271883,10,-20.379790748329167,0.0
0.0,8,0.0,-18.977069652804126,-22.173849114622687,10,-20.585967902306603,-20.5859679023066,-20.5859679023066,0.0,0.8653690828236057,-18.977069652804126,416000,8,0.8653690828236057,-22.173849114622687,10,-20.585967902306603,0.0
0.0,9,0.0,-15.688877462059642,-19.87274236452166,10,-17.859300211159603,-17.8593002111596,-17.8593002111596,0.0,1.1916609545452896,-15.688877462059642,440000,9,1.1916609545452896,-19.87274236452166,10,-17.859300211159603,0.0
