GaussianMLPPolicy/KLBefore,Iteration,coffee-button-v1/AverageDiscountedReturn,GaussianMLPPolicy/Entropy,coffee-button-v1/MaxReturn,MetaTest/coffee-button-v1/AverageDiscountedReturn,MetaTest/coffee-button-v1/SuccessRate,MetaTest/Average/TerminationRate,MetaTest/Average/AverageReturn,coffee-button-v1/TerminationRate,Average/AverageReturn,MetaTest/coffee-button-v1/StdReturn,MetaTest/Average/SuccessRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/Iteration,Average/AverageDiscountedReturn,Average/Iteration,Average/MinReturn,GaussianMLPPolicy/LossAfter,GaussianMLPPolicy/KLAfter,MetaTest/coffee-button-v1/NumEpisodes,GaussianMLPPolicy/LossBefore,GaussianMLPPolicy/dLoss,MetaTest/Average/NumEpisodes,TotalEnvSteps,coffee-button-v1/MinReturn,MetaTest/coffee-button-v1/MaxReturn,MetaTest/Average/StdReturn,Average/MaxReturn,Average/SuccessRate,coffee-button-v1/StdReturn,MetaTest/Average/MaxReturn,coffee-button-v1/NumEpisodes,Average/NumEpisodes,MetaTest/coffee-button-v1/MinReturn,MetaTest/coffee-button-v1/Iteration,coffee-button-v1/AverageReturn,coffee-button-v1/SuccessRate,MetaTest/Average/MinReturn,Average/TerminationRate,MetaTest/coffee-button-v1/TerminationRate,coffee-button-v1/Iteration,MetaTest/coffee-button-v1/AverageReturn,Average/StdReturn
0.0,10,3803.2301921472103,5.595215320587158,138290.8305202597,9256.918143627514,0.18,0.0,9256.918143627512,0.0,10240.361707563381,17706.865749253753,0.18,9256.918143627514,1,3803.2301921472103,10,-39.60251620388162,0.00014400496729649603,0.00854955893009901,50,0.0005207987269386649,0.0003767937596421689,50,880000,-39.60251620388162,74741.34685364901,17706.865749253753,138290.8305202597,0.09,20152.25207126431,74741.34685364901,200,200,-35.810833884115475,1,10240.361707563381,0.09,-35.810833884115475,0.0,0.0,10,9256.918143627512,20152.25207126431
0.0,11,4546.888417097393,5.596242904663086,190230.66157400727,,,,,0.0,13334.092239939286,,,,,4546.888417097393,11,-44.23117278303185,1.6514034086867468e-06,8.41080691316165e-06,,1.663298689891235e-06,1.1895281204488128e-08,,960000,-44.23117278303185,,,190230.66157400727,0.125,25044.47394128672,,200,200,,,13334.092239939286,0.125,,0.0,,11,,25044.47394128672
0.0,12,3561.0363802733145,5.595522403717041,139790.39124076584,,,,,0.0,10040.291372944066,,,,,3561.0363802733145,12,-43.92603350190323,-1.2205426855871337e-06,8.517754395143129e-06,,-1.2084850595783792e-06,1.2057626008754596e-08,,1040000,-43.92603350190323,,,139790.39124076584,0.14,20952.50632047142,,200,200,,,10040.291372944066,0.14,,0.0,,12,,20952.50632047142
0.0,13,4225.130786362249,5.598281383514404,150524.9979877084,,,,,0.0,12222.574618026074,,,,,4225.130786362249,13,-45.401721879754106,3.167471049891901e-06,1.5210226592898834e-05,,3.188997652614489e-06,2.1526602722587995e-08,,1120000,-45.401721879754106,,,150524.9979877084,0.125,23756.881687864716,,200,200,,,12222.574618026074,0.125,,0.0,,13,,23756.881687864716
0.0,14,5398.352444893688,5.601015567779541,227370.87803566415,,,,,0.0,15536.86162922038,,,,,5398.352444893688,14,-45.338918154905734,3.7290533327904996e-06,1.2788781532435678e-05,,3.7471540963451844e-06,1.8100763554684818e-08,,1200000,-45.338918154905734,,,227370.87803566415,0.155,31290.520158436593,,200,200,,,15536.86162922038,0.155,,0.0,,14,,31290.520158436593
0.0,15,5008.44961583401,5.599113464355469,177950.26870420287,,,,,0.0,14882.595912405439,,,,,5008.44961583401,15,-44.47936350482298,-2.599395884317346e-06,6.358478458423633e-06,,-2.590380745459697e-06,9.015138857648708e-09,,1280000,-44.47936350482298,,,177950.26870420287,0.14,28995.160693268746,,200,200,,,14882.595912405439,0.14,,0.0,,15,,28995.160693268746
0.0,16,3985.367816772141,5.5987868309021,117675.42825675997,,,,,0.0,11054.641624047288,,,,,3985.367816772141,16,-52.33032578077176,-3.522419831369916e-07,8.999892088468187e-06,,-3.3950729516618594e-07,1.273468797080568e-08,,1360000,-52.33032578077176,,,117675.42825675997,0.1,20290.97673767846,,200,200,,,11054.641624047288,0.1,,0.0,,16,,20290.97673767846
0.0,17,5163.6789372225385,5.598988056182861,148003.14441684049,,,,,0.0,14889.990044325368,,,,,5163.6789372225385,17,-43.92870377314535,2.5262676217607805e-07,2.4255632524727844e-06,,2.5605308451304154e-07,3.4263223369634943e-09,,1440000,-43.92870377314535,,,148003.14441684049,0.15,24622.888270523392,,200,200,,,14889.990044325368,0.15,,0.0,,17,,24622.888270523392
0.0,18,5057.831576679222,5.597555637359619,230606.9710694289,,,,,0.0,14326.68187411292,,,,,5057.831576679222,18,-42.953198071896445,-2.0174807104922365e-06,3.890444986609509e-06,,-2.0119671262364136e-06,5.513584255822934e-09,,1520000,-42.953198071896445,,,230606.9710694289,0.2,31313.820371703183,,200,200,,,14326.68187411292,0.2,,0.0,,18,,31313.820371703183
0.0,19,5230.746271477045,5.597630977630615,164816.0564317931,,,,,0.0,13926.29632868262,,,,,5230.746271477045,19,-41.9555908374009,8.672988371927204e-08,3.9017149902065285e-06,,9.224868335877545e-08,5.518799639503413e-09,,1600000,-41.9555908374009,,,164816.0564317931,0.115,27619.5335722601,,200,200,,,13926.29632868262,0.115,,0.0,,19,,27619.5335722601
0.0,20,4056.532373022116,5.596665382385254,176251.96417587044,18420.92823503488,0.34,0.0,18420.92823503488,0.0,11573.539196614343,41858.47914236561,0.34,18420.92823503488,2,4056.532373022116,20,-45.6556365697947,-1.5840598734939704e-06,7.85655174695421e-06,50,-1.5729465303593315e-06,1.1113343134638853e-08,50,1680000,-45.6556365697947,199494.04038338788,41858.47914236561,176251.96417587044,0.145,23860.05260448534,199494.04038338788,200,200,-37.990999200979275,2,11573.539196614343,0.145,-37.990999200979275,0.0,0.0,20,18420.92823503488,23860.05260448534
0.0,21,3753.5919263598066,5.596155643463135,143470.98287292372,,,,,0.0,11284.172471131906,,,,,3753.5919263598066,21,-41.1077050297495,-8.583882618040661e-07,4.587117473420221e-06,,-8.519028824593988e-07,6.485379344667308e-09,,1760000,-41.1077050297495,,,143470.98287292372,0.165,25596.72132759581,,200,200,,,11284.172471131906,0.165,,0.0,,21,,25596.72132759581
0.0,22,4596.603184270424,5.597784996032715,171090.50388836197,,,,,0.0,12931.076832209736,,,,,4596.603184270424,22,-43.85968233719356,1.42000669711706e-06,2.3020315893518273e-06,,1.4232660987545387e-06,3.2594016374787316e-09,,1840000,-43.85968233719356,,,171090.50388836197,0.17,25238.993758578017,,200,200,,,12931.076832209736,0.17,,0.0,,22,,25238.993758578017
0.0,23,5498.33089230167,5.5944414138793945,199632.24887157124,,,,,0.0,15255.720776844322,,,,,5498.33089230167,23,-47.82392186704755,-4.730269665742526e-06,1.2642213732760865e-05,,-4.712378085969249e-06,1.7891579773277044e-08,,1920000,-47.82392186704755,,,199632.24887157124,0.235,28607.597714491218,,200,200,,,15255.720776844322,0.235,,0.0,,23,,28607.597714491218
0.0,24,4767.308666580379,5.594084739685059,186227.53290406187,,,,,0.0,12923.817108151747,,,,,4767.308666580379,24,-50.93364764132867,-8.766946848481894e-07,1.2028858691337518e-05,,-8.596551879236358e-07,1.7039496924553532e-08,,2000000,-50.93364764132867,,,186227.53290406187,0.12,24081.774587882745,,200,200,,,12923.817108151747,0.12,,0.0,,24,,24081.774587882745
0.0,25,4695.5050707899245,5.592855453491211,154988.45594815482,,,,,0.0,15152.776240519448,,,,,4695.5050707899245,25,-50.663926105642005,-1.7009390376188094e-06,1.03537313407287e-05,,-1.6862941265571862e-06,1.4644911061623134e-08,,2080000,-50.663926105642005,,,154988.45594815482,0.245,29358.549530945616,,200,200,,,15152.776240519448,0.245,,0.0,,25,,29358.549530945616
0.0,26,4028.481885268033,5.579324245452881,158780.53902532283,,,,,0.0,11995.501749386887,,,,,4028.481885268033,26,-48.51029315955663,-1.0553401807555929e-05,7.50332692405209e-05,,-1.0446838132338598e-05,1.0656367521733046e-07,,2160000,-48.51029315955663,,,158780.53902532283,0.075,23878.19621270766,,200,200,,,11995.501749386887,0.075,,0.0,,26,,23878.19621270766
0.0,27,5615.112217568809,5.58008337020874,200442.27012150997,,,,,0.0,16491.699481918316,,,,,5615.112217568809,27,-41.698696045866726,1.6697242699592607e-06,3.0480782697850373e-06,,1.6740398223191733e-06,4.3155523599125445e-09,,2240000,-41.698696045866726,,,200442.27012150997,0.255,33243.63543814098,,200,200,,,16491.699481918316,0.255,,0.0,,27,,33243.63543814098
0.0,28,4937.9005027716,5.579246997833252,151897.73932926994,,,,,0.0,13661.512544577034,,,,,4937.9005027716,28,-49.383643469372366,-1.2482048532547196e-06,2.241229822175228e-06,,-1.245036855834769e-06,3.1679974199505523e-09,,2320000,-49.383643469372366,,,151897.73932926994,0.085,24116.65804760082,,200,200,,,13661.512544577034,0.085,,0.0,,28,,24116.65804760082
0.0,29,5403.161453208462,5.577763080596924,124951.07930901999,,,,,0.0,14498.047081755174,,,,,5403.161453208462,29,-43.70572227162821,-1.9769761365751037e-06,7.846848347980995e-06,,-1.965845967788482e-06,1.1130168786621653e-08,,2400000,-43.70572227162821,,,124951.07930901999,0.18,23393.523010947527,,200,200,,,14498.047081755174,0.18,,0.0,,29,,23393.523010947527
0.0,30,5432.065176619862,5.5756096839904785,174749.89060441565,13199.206045166953,0.3,0.0,13199.206045166957,0.0,15073.914450154169,19243.895138538537,0.3,13199.206045166953,3,5432.065176619862,30,-48.64874983934828,-2.1034156816313043e-06,1.0064930393127725e-05,50,-2.089163672280847e-06,1.4252009350457229e-08,50,2480000,-48.64874983934828,79525.16608195275,19243.895138538537,174749.89060441565,0.135,28730.98885394081,79525.16608195275,200,200,-36.80126772501567,3,15073.914450154169,0.135,-36.80126772501567,0.0,0.0,30,13199.206045166957,28730.98885394081
0.0,31,4687.6645911713595,5.5449066162109375,146305.2773315855,,,,,0.0,13019.609748266768,,,,,4687.6645911713595,31,-48.564247817211864,-0.0006891988450661302,0.008053304627537727,,-0.0005083908909000456,0.00018080795416608453,,2560000,-48.564247817211864,,,146305.2773315855,0.115,23863.76229095452,,200,200,,,13019.609748266768,0.115,,0.0,,31,,23863.76229095452
0.0,32,3712.693172339259,5.540303707122803,129314.72405221887,,,,,0.0,9649.304859195034,,,,,3712.693172339259,32,-51.52156826692974,-3.8124774164316477e-06,9.478086576564237e-05,,-3.6779856600333005e-06,1.344917563983472e-07,,2640000,-51.52156826692974,,,129314.72405221887,0.14,19358.84122538671,,200,200,,,9649.304859195034,0.14,,0.0,,32,,19358.84122538671
0.0,33,4401.827095660896,5.536837100982666,227443.1114192305,,,,,0.0,11969.628996941288,,,,,4401.827095660896,33,-48.91361030711867,-3.8595949263253715e-06,9.54839833866572e-06,,-3.846088475256693e-06,1.350645106867887e-08,,2720000,-48.91361030711867,,,227443.1114192305,0.175,28442.79399682728,,200,200,,,11969.628996941288,0.175,,0.0,,33,,28442.79399682728
0.0,34,4166.507801397812,5.537177562713623,177659.96769288674,,,,,0.0,11097.887266105663,,,,,4166.507801397812,34,-49.49276721510692,5.981973458801804e-07,5.104170668346342e-06,,6.05432376232784e-07,7.235030352603644e-09,,2800000,-49.49276721510692,,,177659.96769288674,0.11,22737.689372147535,,200,200,,,11097.887266105663,0.11,,0.0,,34,,22737.689372147535
0.0,35,3805.6023418055424,5.5373029708862305,168249.07905080353,,,,,0.0,11068.238275353395,,,,,3805.6023418055424,35,-50.05912436657041,2.135582946038994e-07,1.0144996849703602e-05,,2.2790484877077688e-07,1.4346554166877468e-08,,2880000,-50.05912436657041,,,168249.07905080353,0.255,25403.45442372743,,200,200,,,11068.238275353395,0.255,,0.0,,35,,25403.45442372743
0.0,36,3602.5446506595786,5.5282135009765625,90560.68156705344,,,,,0.0,8689.069602315929,,,,,3602.5446506595786,36,-56.02438296191713,-0.00036106767947785556,0.007698033936321735,,-0.00012491436791606247,0.0002361533115617931,,2960000,-56.02438296191713,,,90560.68156705344,0.12,17639.95010479711,,200,200,,,8689.069602315929,0.12,,0.0,,36,,17639.95010479711
0.0,37,5545.554541087611,5.527527809143066,287188.77507535863,,,,,0.0,14048.81013497957,,,,,5545.554541087611,37,-47.44786623620446,-1.750156116031576e-06,2.027903428825084e-05,,-1.7214654235431226e-06,2.869069248845335e-08,,3040000,-47.44786623620446,,,287188.77507535863,0.165,34557.60966373107,,200,200,,,14048.81013497957,0.165,,0.0,,37,,34557.60966373107
0.0,38,5969.484356885706,5.5276312828063965,131687.5226816935,,,,,0.0,13653.260367918694,,,,,5969.484356885706,38,-47.2327824959057,1.681538606135291e-07,1.7121976270573214e-05,,1.9239294601902657e-07,2.4239085405497462e-08,,3120000,-47.2327824959057,,,131687.5226816935,0.22,21929.9544438038,,200,200,,,13653.260367918694,0.22,,0.0,,38,,21929.9544438038
0.0,39,7219.86883300829,5.526474475860596,268320.58786482335,,,,,0.0,18814.236190320025,,,,,7219.86883300829,39,-52.47188868237182,-2.636788394738687e-06,1.9083139704889618e-05,,-2.6097800400748383e-06,2.7008354663848877e-08,,3200000,-52.47188868237182,,,268320.58786482335,0.18,38560.331996697,,200,200,,,18814.236190320025,0.18,,0.0,,39,,38560.331996697
0.0,40,7245.876650992757,5.527106761932373,286217.125629394,17950.39347959488,0.24,0.0,17950.393479594873,0.0,19146.73202540834,31409.879341750093,0.24,17950.39347959488,4,7245.876650992757,40,-53.92727324713942,1.3975870842841687e-06,7.506049769290257e-06,50,1.4082194184084074e-06,1.0632334124238696e-08,50,3280000,-53.92727324713942,171513.4777482518,31409.879341750093,286217.125629394,0.225,39620.334798383235,171513.4777482518,200,200,-45.323026808370805,4,19146.73202540834,0.225,-45.323026808370805,0.0,0.0,40,17950.393479594873,39620.334798383235
0.0,41,5758.6202849314,5.526687145233154,261230.96939716686,,,,,0.0,14160.981110382392,,,,,5758.6202849314,41,-48.84545372209963,-7.424805517075583e-07,8.125591193675064e-06,,-7.309838565561222e-07,1.1496695151436143e-08,,3360000,-48.84545372209963,,,261230.96939716686,0.225,30952.7660080762,,200,200,,,14160.981110382392,0.225,,0.0,,41,,30952.7660080762
0.0,42,6303.490966167496,5.526275157928467,183487.46265778955,,,,,0.0,13623.944827750527,,,,,6303.490966167496,42,-50.94875345503728,-9.428164275959716e-07,6.7714731812884565e-06,,-9.332232480119274e-07,9.593179584044265e-09,,3440000,-50.94875345503728,,,183487.46265778955,0.14,23642.296997244583,,200,200,,,13623.944827750527,0.14,,0.0,,42,,23642.296997244583
0.0,43,6157.039397008419,5.525631904602051,259418.86638076074,,,,,0.0,15777.473868120886,,,,,6157.039397008419,43,-47.0674424714673,-1.1208596788492287e-06,2.8834951990575064e-06,,-1.1167780940013472e-06,4.081584847881459e-09,,3520000,-47.0674424714673,,,259418.86638076074,0.265,34291.89107756736,,200,200,,,15777.473868120886,0.265,,0.0,,43,,34291.89107756736
0.0,44,6185.480040853352,5.535240173339844,152887.54444759098,,,,,0.0,14317.164252283046,,,,,6185.480040853352,44,-53.23455352951775,6.017544819769682e-06,0.0006540337344631553,,7.005292900430504e-06,9.877480806608219e-07,,3600000,-53.23455352951775,,,152887.54444759098,0.155,24606.605540504883,,200,200,,,14317.164252283046,0.155,,0.0,,44,,24606.605540504883
0.0,45,6382.31058350239,5.5352654457092285,222223.5912195774,,,,,0.0,13918.524364255787,,,,,6382.31058350239,45,-46.3241575814169,4.0904772902194964e-08,8.840783266350627e-06,,5.342000264363378e-08,1.2515229741438816e-08,,3680000,-46.3241575814169,,,222223.5912195774,0.165,26680.357392348913,,200,200,,,13918.524364255787,0.165,,0.0,,45,,26680.357392348913
0.0,46,6229.732440318412,5.535303592681885,202471.859337508,,,,,0.0,14604.6911794385,,,,,6229.732440318412,46,-51.53229436932498,6.968311794253168e-08,5.09893197886413e-06,,7.689895653584244e-08,7.215838593310764e-09,,3760000,-51.53229436932498,,,202471.859337508,0.155,27619.868667227423,,200,200,,,14604.6911794385,0.155,,0.0,,46,,27619.868667227423
0.0,47,7288.556938452364,5.534653186798096,177082.6309249227,,,,,0.0,16654.05243902185,,,,,7288.556938452364,47,-46.18156922529508,-1.1970980722253444e-06,6.135065632406622e-06,,-1.1884085324709304e-06,8.689539754414e-09,,3840000,-46.18156922529508,,,177082.6309249227,0.195,28622.528242269433,,200,200,,,16654.05243902185,0.195,,0.0,,47,,28622.528242269433
0.0,48,6329.910642132584,5.535628795623779,128906.0375863474,,,,,0.0,14783.326235323697,,,,,6329.910642132584,48,-54.221360920422285,1.6814499304018682e-06,1.1652720786514692e-05,,1.6979395240923623e-06,1.6489593690494075e-08,,3920000,-54.221360920422285,,,128906.0375863474,0.14,24110.973600439967,,200,200,,,14783.326235323697,0.14,,0.0,,48,,24110.973600439967
0.0,49,7577.024922463971,5.5350189208984375,190289.0353373596,,,,,0.0,16852.298948061638,,,,,7577.024922463971,49,-45.08808892026952,-9.905718343361514e-07,2.9874743177060736e-06,,-9.86351324172574e-07,4.2205101635772735e-09,,4000000,-45.08808892026952,,,190289.0353373596,0.15,29222.261641685516,,200,200,,,16852.298948061638,0.15,,0.0,,49,,29222.261641685516
0.0,50,6658.8385333062315,5.534825325012207,191242.7947430448,19547.9136291349,0.2,0.0,19547.9136291349,0.0,16534.812212664256,33185.908384310445,0.2,19547.9136291349,5,6658.8385333062315,50,-49.74100553582623,-4.4729898718287586e-07,2.0794298052351223e-06,50,-4.4431891410567914e-07,2.980073077196721e-09,50,4080000,-49.74100553582623,152171.02188683514,33185.908384310445,191242.7947430448,0.25,31438.502563143862,152171.02188683514,200,200,-41.737295726236326,5,16534.812212664256,0.25,-41.737295726236326,0.0,0.0,50,19547.9136291349,31438.502563143862
0.0,51,6484.52135191875,5.535340309143066,261353.5073249105,,,,,0.0,14991.046282875845,,,,,6484.52135191875,51,-49.983111428583584,1.0380857702330104e-06,9.652777407609392e-06,,1.0517468354009907e-06,1.3661065167980269e-08,,4160000,-49.983111428583584,,,261353.5073249105,0.17,30211.935630996155,,200,200,,,14991.046282875845,0.17,,0.0,,51,,30211.935630996155
0.0,52,6944.00976106874,5.5348687171936035,309597.42801899626,,,,,0.0,15590.816269899122,,,,,6944.00976106874,52,-49.93715959268291,-1.1583778132262523e-06,1.3920299579694984e-06,,-1.1564414990061778e-06,1.9363142200745642e-09,,4240000,-49.93715959268291,,,309597.42801899626,0.17,32336.57444025322,,200,200,,,15590.816269899122,0.17,,0.0,,52,,32336.57444025322
0.0,53,7858.334018673149,5.534018516540527,128655.4281758135,,,,,0.0,17577.715653106326,,,,,7858.334018673149,53,-47.10056846777952,-1.754629920469597e-06,2.113926257152343e-06,,-1.751622221490834e-06,3.0076989787630737e-09,,4320000,-47.10056846777952,,,128655.4281758135,0.18,25260.201348504248,,200,200,,,17577.715653106326,0.18,,0.0,,53,,25260.201348504248
0.0,54,6487.938660914698,5.533683776855469,242616.75162181925,,,,,0.0,15778.300793825305,,,,,6487.938660914698,54,-51.60480170755031,-8.452839210804086e-07,6.215540452103596e-06,,-8.364898462787096e-07,8.794074801699026e-09,,4400000,-51.60480170755031,,,242616.75162181925,0.135,32426.383501929344,,200,200,,,15778.300793825305,0.135,,0.0,,54,,32426.383501929344
0.0,55,6595.165935304971,5.533318042755127,243090.74560848018,,,,,0.0,15430.07659944897,,,,,6595.165935304971,55,-47.11512774182079,-7.406136433019128e-07,2.726903176153428e-06,,-7.367603984675952e-07,3.853244834317593e-09,,4480000,-47.11512774182079,,,243090.74560848018,0.17,29388.182153339843,,200,200,,,15430.07659944897,0.17,,0.0,,55,,29388.182153339843
0.0,56,7484.774043517179,5.532927989959717,251825.1629043442,,,,,0.0,18531.62118944984,,,,,7484.774043517179,56,-47.93022506399645,-7.291945394172217e-07,6.3438092183787376e-06,,-7.202016831797664e-07,8.992856237455271e-09,,4560000,-47.93022506399645,,,251825.1629043442,0.13,39430.926933630515,,200,200,,,18531.62118944984,0.13,,0.0,,56,,39430.926933630515
0.0,57,7523.243268465907,5.531087398529053,130392.04846517961,,,,,0.0,17060.91831323672,,,,,7523.243268465907,57,-50.62400108430586,-3.2359414490201743e-06,5.76681441089022e-06,,-3.2277876016451046e-06,8.153847375069745e-09,,4640000,-50.62400108430586,,,130392.04846517961,0.19,25423.54596780227,,200,200,,,17060.91831323672,0.19,,0.0,,57,,25423.54596780227
0.0,58,7149.349961825993,5.530837535858154,264572.96233705065,,,,,0.0,17905.371704907146,,,,,7149.349961825993,58,-45.153027518977055,-5.786429255749681e-07,1.096616415452445e-06,,-5.771114501840202e-07,1.5314753909478895e-09,,4720000,-45.153027518977055,,,264572.96233705065,0.17,38412.88184772479,,200,200,,,17905.371704907146,0.17,,0.0,,58,,38412.88184772479
0.0,59,8689.397469537369,5.530236721038818,252398.92266330964,,,,,0.0,21233.825334159785,,,,,8689.397469537369,59,-53.91284663285669,-1.4003668411533e-06,2.8060692329745507e-06,,-1.3963719993626e-06,3.994841790699866e-09,,4800000,-53.91284663285669,,,252398.92266330964,0.215,38758.58246471775,,200,200,,,21233.825334159785,0.215,,0.0,,59,,38758.58246471775
0.0,60,8252.777870443224,5.52980899810791,289372.0191885483,19662.056903046563,0.32,0.0,19662.056903046567,0.0,20005.020421524885,36550.08703765824,0.32,19662.056903046563,6,8252.777870443224,60,-50.89421903022019,-8.47538444759266e-07,1.3280518942337949e-05,50,-8.287288437713869e-07,1.8809600987879094e-08,50,4880000,-50.89421903022019,159862.94430113677,36550.08703765824,289372.0191885483,0.16,38182.36564621226,159862.94430113677,200,200,-47.94487568333602,6,20005.020421524885,0.16,-47.94487568333602,0.0,0.0,60,19662.056903046567,38182.36564621226
0.0,61,7108.811190058091,5.529875755310059,240403.67296405605,,,,,0.0,17687.018108958924,,,,,7108.811190058091,61,-52.22354753407995,1.9340768631082028e-07,4.792923846252961e-06,,2.001866050704848e-07,6.778918759664521e-09,,4960000,-52.22354753407995,,,240403.67296405605,0.21,35764.93092897486,,200,200,,,17687.018108958924,0.21,,0.0,,61,,35764.93092897486
0.0,62,8750.907090918608,5.529980659484863,212370.12545465623,,,,,0.0,20816.080601738628,,,,,8750.907090918608,62,-44.96625714617598,1.2309695307521906e-07,1.1187332802364836e-06,,1.246854850478485e-07,1.5885319726294256e-09,,5040000,-44.96625714617598,,,212370.12545465623,0.24,34138.94388635402,,200,200,,,20816.080601738628,0.24,,0.0,,62,,34138.94388635402
