MetaTest/Average/MinReturn,MetaTest/faucet-open-v1/StdReturn,MetaTest/Average/Iteration,MetaTest/faucet-open-v1/SuccessRate,MetaTest/faucet-open-v1/MinReturn,MetaTest/Average/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/Average/SuccessRate,MetaTest/faucet-open-v1/AverageDiscountedReturn,MetaTest/faucet-open-v1/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/Average/StdReturn,MetaTest/faucet-open-v1/AverageReturn,MetaTest/faucet-open-v1/NumTrajs,MetaTest/Average/AverageDiscountedReturn,MetaTest/faucet-open-v1/Iteration,MetaTest/faucet-open-v1/MaxReturn,MetaTest/Average/NumTrajs,TotalEnvSteps
-29.05874080087466,31.215827680924196,0,0.0,-29.05874080087466,79.61568026793552,0.0,0.0,-13.403481094254687,0.0,-13.403481094254682,31.215827680924196,-13.403481094254682,10,-13.403481094254687,0,79.61568026793552,10,224000
-85.98090977189176,8025.506065808245,1,0.1,-85.98090977189176,19726.82400423645,0.0,0.1,6702.58206145336,0.0,6702.582061453363,8025.506065808245,6702.582061453363,10,6702.58206145336,1,19726.82400423645,10,248000
836.3544724028626,7023.040770172068,2,0.0,836.3544724028626,19187.04404687846,0.0,0.0,10614.714303338396,0.0,10614.714303338402,7023.040770172068,10614.714303338402,10,10614.714303338396,2,19187.04404687846,10,272000
-49.41098199240405,8737.935412121322,3,0.0,-49.41098199240405,19457.15710703258,0.0,0.0,7480.794469649348,0.0,7480.794469649345,8737.935412121322,7480.794469649345,10,7480.794469649348,3,19457.15710703258,10,296000
-73.00727198798523,18569.140657066186,4,0.1,-73.00727198798523,64858.1221242079,0.0,0.1,15443.389189911157,0.0,15443.389189911162,18569.140657066186,15443.389189911162,10,15443.389189911157,4,64858.1221242079,10,320000
-32.24619998634516,7077.0920698099335,5,0.0,-32.24619998634516,19919.891284932644,0.0,0.0,5406.7650739999635,0.0,5406.7650739999635,7077.0920698099335,5406.7650739999635,10,5406.7650739999635,5,19919.891284932644,10,344000
-103.59435526480392,9410.842281072008,6,0.1,-103.59435526480392,27050.235936019693,0.0,0.1,12848.76207252473,0.0,12848.762072524736,9410.842281072008,12848.762072524736,10,12848.76207252473,6,27050.235936019693,10,368000
-98.6012557822841,8234.82714108739,7,0.1,-98.6012557822841,20235.529922257152,0.0,0.1,7614.704342759762,0.0,7614.704342759758,8234.82714108739,7614.704342759758,10,7614.704342759762,7,20235.529922257152,10,392000
-59.81044464245505,11573.367011924855,8,0.0,-59.81044464245505,36841.560574960524,0.0,0.0,15354.21538115397,0.0,15354.215381153965,11573.367011924855,15354.215381153965,10,15354.21538115397,8,36841.560574960524,10,416000
-55.262376008409184,8506.855683044987,9,0.1,-55.262376008409184,21783.467931551007,0.0,0.1,8433.49393623661,0.0,8433.493936236608,8506.855683044987,8433.493936236608,10,8433.49393623661,9,21783.467931551007,10,440000
-58.48050949327775,9604.618007611076,10,0.0,-58.48050949327775,22822.286959432007,0.0,0.0,11262.846607148345,0.0,11262.846607148349,9604.618007611076,11262.846607148349,10,11262.846607148345,10,22822.286959432007,10,464000
-54.40485616615154,19345.122386531984,11,0.1,-54.40485616615154,65965.6617294171,0.0,0.1,13297.844429022109,0.0,13297.8444290221,19345.122386531984,13297.8444290221,10,13297.844429022109,11,65965.6617294171,10,488000
-52.647861866211116,10324.767654525122,12,0.0,-52.647861866211116,22975.924579760318,0.0,0.0,9035.492405304634,0.0,9035.492405304632,10324.767654525122,9035.492405304632,10,9035.492405304634,12,22975.924579760318,10,512000
-68.08194848930577,7288.032770966633,13,0.0,-68.08194848930577,20402.418180997254,0.0,0.0,6234.47439681731,0.0,6234.4743968173125,7288.032770966633,6234.4743968173125,10,6234.47439681731,13,20402.418180997254,10,536000
-70.29268555647623,9263.04272443555,14,0.1,-70.29268555647623,28758.646369330843,0.0,0.1,10065.635334213674,0.0,10065.635334213674,9263.04272443555,10065.635334213674,10,10065.635334213674,14,28758.646369330843,10,560000
-121.31316801354026,9237.60726391161,15,0.0,-121.31316801354026,21739.14499543924,0.0,0.0,8114.25905469771,0.0,8114.25905469771,9237.60726391161,8114.25905469771,10,8114.25905469771,15,21739.14499543924,10,584000
-68.05418411165455,11010.201007316482,16,0.0,-68.05418411165455,33969.13502930709,0.0,0.0,10383.588351193213,0.0,10383.588351193215,11010.201007316482,10383.588351193215,10,10383.588351193213,16,33969.13502930709,10,608000
-93.73862597537077,8768.62369824422,17,0.0,-93.73862597537077,25845.630092890748,0.0,0.0,10768.23006284852,0.0,10768.230062848514,8768.62369824422,10768.230062848514,10,10768.23006284852,17,25845.630092890748,10,632000
-42.59114154444554,10848.834105826332,18,0.0,-42.59114154444554,26591.09465565158,0.0,0.0,12482.988255141401,0.0,12482.9882551414,10848.834105826332,12482.9882551414,10,12482.988255141401,18,26591.09465565158,10,656000
-90.31550426311695,8700.521922515187,19,0.0,-90.31550426311695,23511.99432976745,0.0,0.0,7660.358474832503,0.0,7660.358474832504,8700.521922515187,7660.358474832504,10,7660.358474832503,19,23511.99432976745,10,680000
-15.544539298059574,10968.727003097756,20,0.2,-15.544539298059574,29632.491920688608,0.0,0.2,11337.687888941397,0.0,11337.687888941404,10968.727003097756,11337.687888941404,10,11337.687888941397,20,29632.491920688608,10,704000
-118.5834402589129,8802.236621492184,21,0.1,-118.5834402589129,24366.203696260625,0.0,0.1,8442.611297665637,0.0,8442.611297665639,8802.236621492184,8442.611297665639,10,8442.611297665637,21,24366.203696260625,10,728000
-122.71860693065085,7242.535204766783,22,0.2,-122.71860693065085,19815.575593373003,0.0,0.2,4425.838527105276,0.0,4425.8385271052775,7242.535204766783,4425.8385271052775,10,4425.838527105276,22,19815.575593373003,10,752000
