MetaTest/Average/NumEpisodes,MetaTest/pick-out-of-hole-v1/Iteration,MetaTest/pick-out-of-hole-v1/StdReturn,GaussianMLPPolicy/Entropy,MetaTest/pick-out-of-hole-v1/MinReturn,Average/AverageDiscountedReturn,MetaTest/Average/SuccessRate,MetaTest/Average/AverageDiscountedReturn,Average/StdReturn,Average/MinReturn,MetaTest/Average/Iteration,pick-out-of-hole-v1/SuccessRate,GaussianMLPPolicy/KLAfter,MetaTest/pick-out-of-hole-v1/NumEpisodes,pick-out-of-hole-v1/TerminationRate,GaussianMLPPolicy/LossBefore,MetaTest/pick-out-of-hole-v1/AverageDiscountedReturn,MetaTest/pick-out-of-hole-v1/SuccessRate,GaussianMLPPolicy/LossAfter,MetaTest/Average/StdReturn,MetaTest/Average/MinReturn,Average/TerminationRate,pick-out-of-hole-v1/MinReturn,pick-out-of-hole-v1/AverageReturn,Average/MaxReturn,MetaTest/Average/TerminationRate,GaussianMLPPolicy/dLoss,Average/NumEpisodes,Average/AverageReturn,Iteration,MetaTest/pick-out-of-hole-v1/AverageReturn,MetaTest/Average/MaxReturn,MetaTest/Average/AverageReturn,MetaTest/pick-out-of-hole-v1/TerminationRate,pick-out-of-hole-v1/MaxReturn,pick-out-of-hole-v1/NumEpisodes,Average/SuccessRate,MetaTest/pick-out-of-hole-v1/MaxReturn,TotalEnvSteps,Average/Iteration,pick-out-of-hole-v1/StdReturn,pick-out-of-hole-v1/Iteration,GaussianMLPPolicy/KLBefore,pick-out-of-hole-v1/AverageDiscountedReturn
10,0,22.68418907626242,5.677737236022949,-131.7207109351537,-43.178249426506056,0.0,-98.0594605514602,12.028415597273792,-138.90011526301538,0,0.0,0.006628056056797504,10,0.0,4.3173873564228415e-05,-98.0594605514602,0.0,-0.00029351544799283147,22.68418907626242,-131.7207109351537,0.0,-138.90011526301538,-111.63198179498582,-55.833329054075875,0.0,0.0003366893215570599,200,-111.63198179498582,0,-98.05946055146019,-43.98144734074532,-98.05946055146019,0.0,-55.833329054075875,200,0.0,-43.98144734074532,80000,0,12.028415597273792,0,0.0,-43.178249426506056
,,,5.707237243652344,,-33.118473639888606,,,21.81818987787043,-133.677536267961,,0.0,0.009660757146775723,,0.0,0.000644636049401015,,,0.0002475885848980397,,,0.0,-133.677536267961,-83.62820392612826,-42.68017044619475,,0.00039704746450297534,200,-83.62820392612826,1,,,,,-42.68017044619475,200,0.0,,160000,1,21.81818987787043,1,0.0,-33.118473639888606
,,,5.699663162231445,,-27.90657017231896,,,16.54339175269763,-124.5542436127587,,0.0,0.009525932371616364,,0.0,-0.00021688090055249631,,,-0.0009239927167072892,,,0.0,-124.5542436127587,-66.04920688360069,-34.50101322288077,,0.0007071118161547929,200,-66.04920688360069,2,,,,,-34.50101322288077,200,0.0,,240000,2,16.54339175269763,2,0.0,-27.90657017231896
,,,5.691378116607666,,-23.377232852155117,,,10.98860107937146,-95.89420569249467,,0.0,0.00660619605332613,,0.0,-0.0005978835979476571,,,-0.0013945072423666716,,,0.0,-95.89420569249467,-52.28015264292868,-33.135800721548875,,0.0007966236444190145,200,-52.28015264292868,3,,,,,-33.135800721548875,200,0.0,,320000,3,10.98860107937146,3,0.0,-23.377232852155117
,,,5.682355880737305,,-20.69319540449581,,,7.129950162239058,-72.51330554376284,,0.0,0.008727672509849072,,0.0,-0.0006894661928527057,,,-0.002213501138612628,,,0.0,-72.51330554376284,-44.52441847369658,-29.245244948078486,,0.0015240349457599223,200,-44.52441847369658,4,,,,,-29.245244948078486,200,0.0,,400000,4,7.129950162239058,4,0.0,-20.69319540449581
,,,5.693490028381348,,-18.27321726899241,,,4.763832907556004,-51.7883937300972,,0.0,0.006128847599029541,,0.0,0.0011503389105200768,,,-0.0005757146282121539,,,0.0,-51.7883937300972,-38.777036668713585,-27.60888118174388,,0.0017260535387322307,200,-38.777036668713585,5,,,,,-27.60888118174388,200,0.0,,480000,5,4.763832907556004,5,0.0,-18.27321726899241
,,,5.671281814575195,,-16.79636580289295,,,3.9339502307532284,-49.38389489210784,,0.0,0.007640706840902567,,0.0,-0.001589490449987352,,,-0.002800075337290764,,,0.0,-49.38389489210784,-36.3935196942523,-27.733116698393456,,0.001210584887303412,200,-36.3935196942523,6,,,,,-27.733116698393456,200,0.0,,560000,6,3.9339502307532284,6,0.0,-16.79636580289295
,,,5.655647277832031,,-15.629015376289725,,,3.9030103484320886,-45.07724761050215,,0.0,0.008127083070576191,,0.0,-0.0013187950244173408,,,-0.00301479734480381,,,0.0,-45.07724761050215,-33.457588131225314,-24.852297265692368,,0.0016960023203864694,200,-33.457588131225314,7,,,,,-24.852297265692368,200,0.0,,640000,7,3.9030103484320886,7,0.0,-15.629015376289725
,,,5.652496814727783,,-14.77028654038597,,,2.7042406225599827,-37.979914960747095,,0.0,0.008363189175724983,,0.0,-0.0005468223826028407,,,-0.003974879626184702,,,0.0,-37.979914960747095,-30.933491849679676,-24.754654165608148,,0.0034280572435818613,200,-30.933491849679676,8,,,,,-24.754654165608148,200,0.0,,720000,8,2.7042406225599827,8,0.0,-14.77028654038597
,,,5.645575523376465,,-13.976699793060261,,,2.3258682176360503,-35.71229488493187,,0.0,0.007967361249029636,,0.0,-0.0004922325606457889,,,-0.0018298749346286058,,,0.0,-35.71229488493187,-29.418262769614067,-24.035700408744823,,0.001337642373982817,200,-29.418262769614067,9,,,,,-24.035700408744823,200,0.0,,800000,9,2.3258682176360503,9,0.0,-13.976699793060261
