MetaTest/Average/MinReturn,MetaTest/Average/StdReturn,MetaTest/peg-insert-side-v1/MinReturn,MetaTest/Average/AverageReturn,MetaTest/peg-insert-side-v1/NumTrajs,MetaTest/peg-insert-side-v1/StdReturn,MetaTest/peg-insert-side-v1/TerminationRate,MetaTest/peg-insert-side-v1/AverageReturn,MetaTest/Average/NumTrajs,MetaTest/peg-insert-side-v1/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/peg-insert-side-v1/AverageDiscountedReturn,MetaTest/Average/SuccessRate,MetaTest/peg-insert-side-v1/MaxReturn,MetaTest/Average/MaxReturn,TotalEnvSteps,MetaTest/peg-insert-side-v1/SuccessRate,MetaTest/Average/Iteration,MetaTest/Average/TerminationRate
-36.57380002243196,5.603972507683342,-36.57380002243196,-25.256523023837595,10,5.603972507683342,0.0,-25.256523023837595,10,0,-25.256523023837595,-25.256523023837595,0.0,-17.36489796922289,-17.36489796922289,224000,0.0,0,0.0
-34.41589883108932,5.86596453729874,-34.41589883108932,-26.935862622795433,10,5.86596453729874,0.0,-26.935862622795433,10,1,-26.93586262279543,-26.93586262279543,0.0,-15.174119517836727,-15.174119517836727,248000,0.0,1,0.0
-31.72520798574171,6.30611380868822,-31.72520798574171,-22.396289626335406,10,6.30611380868822,0.0,-22.396289626335406,10,2,-22.396289626335403,-22.396289626335403,0.0,-15.0544991664809,-15.0544991664809,272000,0.0,2,0.0
-31.728130920303276,6.137897731148267,-31.728130920303276,-26.390041448322933,10,6.137897731148267,0.0,-26.390041448322933,10,3,-26.390041448322933,-26.390041448322933,0.0,-13.734293642362198,-13.734293642362198,296000,0.0,3,0.0
-28.490402573317837,4.027903555327314,-28.490402573317837,-22.837121947526104,10,4.027903555327314,0.0,-22.837121947526104,10,4,-22.837121947526104,-22.837121947526104,0.0,-15.83687680587088,-15.83687680587088,320000,0.0,4,0.0
-34.61346888997445,5.895284646769993,-34.61346888997445,-23.994244319914856,10,5.895284646769993,0.0,-23.994244319914856,10,5,-23.994244319914856,-23.994244319914856,0.0,-14.54395941266841,-14.54395941266841,344000,0.0,5,0.0
-36.10772496526038,5.347764666108847,-36.10772496526038,-26.123752819023935,10,5.347764666108847,0.0,-26.123752819023935,10,6,-26.12375281902394,-26.12375281902394,0.0,-18.20516781953867,-18.20516781953867,368000,0.0,6,0.0
-48.7547126395511,10.183289099033276,-48.7547126395511,-23.594271847551635,10,10.183289099033276,0.0,-23.594271847551635,10,7,-23.594271847551646,-23.594271847551646,0.0,-17.45202726792583,-17.45202726792583,392000,0.0,7,0.0
-22.62901872101135,1.444501983844573,-22.62901872101135,-19.985617739521434,10,1.444501983844573,0.0,-19.985617739521434,10,8,-19.985617739521437,-19.985617739521437,0.0,-17.882931899076272,-17.882931899076272,416000,0.0,8,0.0
-27.94788267445448,6.473684601753332,-27.94788267445448,-15.612032766045946,10,6.473684601753332,0.0,-15.612032766045946,10,9,-15.612032766045951,-15.612032766045951,0.0,-7.710277771633711,-7.710277771633711,440000,0.0,9,0.0
-56.4979905737635,12.069276566826618,-56.4979905737635,-22.431876664948156,10,12.069276566826618,0.0,-22.431876664948156,10,10,-22.431876664948163,-22.431876664948163,0.0,-7.2949391582850955,-7.2949391582850955,464000,0.0,10,0.0
-46.41293212528074,13.17562424079042,-46.41293212528074,-19.02505353232219,10,13.17562424079042,0.0,-19.02505353232219,10,11,-19.025053532322186,-19.025053532322186,0.0,1.3910504523947431,1.3910504523947431,488000,0.0,11,0.0
-19.790159426950506,4.049123438456321,-19.790159426950506,-16.217386243989925,10,4.049123438456321,0.0,-16.217386243989925,10,12,-16.217386243989928,-16.217386243989928,0.0,-7.987393762393257,-7.987393762393257,512000,0.0,12,0.0
-91.18769574239435,1454.9364777888688,-91.18769574239435,446.49716429564967,10,1454.9364777888688,0.0,446.49716429564967,10,13,446.4971642956499,446.4971642956499,0.0,4810.436764970217,4810.436764970217,536000,0.0,13,0.0
