MetaTest/faucet-close-v1/Iteration,MetaTest/Average/Iteration,MetaTest/faucet-close-v1/TerminationRate,TotalEnvSteps,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/AlphaLoss,MetaTest/Average/MaxReturn,MetaTest/Average/StdReturn,MetaTest/faucet-close-v1/AverageDiscountedReturn,MetaTest/faucet-close-v1/MaxReturn,MetaTest/faucet-close-v1/SuccessRate,MetaTest/faucet-close-v1/StdReturn,MetaTest/Average/MinReturn,MetaTrain/Average/QfLoss,MetaTrain/Average/Alpha,MetaTest/Average/SuccessRate,MetaTest/Average/NumTrajs,MetaTest/faucet-close-v1/NumTrajs,MetaTest/Average/TerminationRate,MetaTest/faucet-close-v1/AverageReturn,MetaTest/Average/AverageReturn,MetaTest/faucet-close-v1/MinReturn,MetaTrain/Average/ContrastiveLoss,MetaTrain/Average/PolicyLoss
43,43,0.0,1256000,27485.346783288784,-15.40841,108779.87852162684,36859.33993619341,27485.346783288784,108779.87852162684,0.3,36859.33993619341,-52.21852101851246,59102256.0,nan,0.3,10,10,0.0,27485.346783288776,27485.346783288776,-52.21852101851246,91.37395,-70169.734
44,44,0.0,1280000,6710.536055934201,-15.550041,28597.147400067697,10021.944433333349,6710.536055934201,28597.147400067697,0.1,10021.944433333349,-52.10371145374202,62386880.0,nan,0.1,10,10,0.0,6710.536055934201,6710.536055934201,-52.10371145374202,73.23515,-74294.75
45,45,0.0,1304000,39497.53572639027,-15.871663,125185.90813342386,52327.153274402095,39497.53572639027,125185.90813342386,0.4,52327.153274402095,-44.64180245683267,67346670.0,nan,0.4,10,10,0.0,39497.53572639028,39497.53572639028,-44.64180245683267,61.08698,-79585.086
46,46,0.0,1328000,14139.75434527022,-15.978555,117570.86013499224,34666.25610609227,14139.75434527022,117570.86013499224,0.2,34666.25610609227,-55.28979140421265,78379384.0,nan,0.2,10,10,0.0,14139.754345270232,14139.754345270232,-55.28979140421265,51.68387,-88443.55
47,47,0.0,1352000,9142.083781172281,-16.496832,68624.70668970593,20902.327811919688,9142.083781172281,68624.70668970593,0.1,20902.327811919688,-52.87519384416196,81206850.0,nan,0.1,10,10,0.0,9142.083781172289,9142.083781172289,-52.87519384416196,54.590607,-90484.43
48,48,0.0,1376000,7357.862599552596,-16.923223,35160.46567017019,12031.96142321511,7357.862599552596,35160.46567017019,0.2,12031.96142321511,-56.40423418369013,88720264.0,nan,0.2,10,10,0.0,7357.86259955259,7357.86259955259,-56.40423418369013,52.233574,-96813.234
49,49,0.0,1400000,8896.79181436518,-17.06645,54099.51108759004,16295.219178613355,8896.79181436518,54099.51108759004,0.2,16295.219178613355,-53.54633583889831,88508520.0,nan,0.2,10,10,0.0,8896.791814365182,8896.791814365182,-53.54633583889831,54.37621,-98860.336
50,50,0.0,1424000,27348.744665091428,-17.958368,130724.50729186127,43378.77187857809,27348.744665091428,130724.50729186127,0.2,43378.77187857809,-65.18334595157278,83339520.0,nan,0.2,10,10,0.0,27348.744665091428,27348.744665091428,-65.18334595157278,115.727936,-97952.79
51,51,0.0,1448000,21007.20087952006,-18.078695,131721.69876164102,39461.36065555789,21007.20087952006,131721.69876164102,0.3,39461.36065555789,-52.72019443241157,104143190.0,nan,0.3,10,10,0.0,21007.20087952006,21007.20087952006,-52.72019443241157,96.7655,-106253.42
52,52,0.0,1472000,32302.9726326801,-18.087057,92381.3298365146,36514.81833745552,32302.9726326801,92381.3298365146,0.4,36514.81833745552,-60.15588075559949,116042056.0,nan,0.4,10,10,0.0,32302.972632680117,32302.972632680117,-60.15588075559949,98.48348,-115194.45
53,53,0.0,1496000,23482.4530989046,-18.349747,74271.809304942,28301.577302685502,23482.4530989046,74271.809304942,0.4,28301.577302685502,-62.11469767471474,134237250.0,nan,0.4,10,10,0.0,23482.453098904585,23482.453098904585,-62.11469767471474,134.9552,-116527.22
54,54,0.0,1520000,15384.64713298476,-18.454926,120851.2991389466,36540.953403961896,15384.64713298476,120851.2991389466,0.1,36540.953403961896,-52.15392513421685,1195438300.0,nan,0.1,10,10,0.0,15384.647132984765,15384.647132984765,-52.15392513421685,1920.4248,-124627.516
55,55,0.0,1544000,13518.49604742112,-19.718397,103649.04133210199,31517.059156243366,13518.49604742112,103649.04133210199,0.1,31517.059156243366,-56.73451525744087,256039060.0,nan,0.1,10,10,0.0,13518.496047421122,13518.496047421122,-56.73451525744087,5704.788,-45466.215
56,56,0.0,1568000,-91.90636479468552,-28.816502,-60.467206041398384,15.343130302396066,-91.90636479468552,-60.467206041398384,0.0,15.343130302396066,-110.42457864390107,13276387000.0,nan,0.0,10,10,0.0,-91.90636479468553,-91.90636479468553,-110.42457864390107,63806.348,502531.8
57,57,0.0,1592000,-66.37867450682043,-37.42107,-38.1820585518827,16.63603213814682,-66.37867450682043,-38.1820585518827,0.0,16.63603213814682,-106.94889605392855,38356830.0,nan,0.0,10,10,0.0,-66.37867450682043,-66.37867450682043,-106.94889605392855,57225.434,9953.965
58,58,0.0,1616000,-83.49395675947567,-37.37324,-27.30634053812924,28.40946786208687,-83.49395675947567,-27.30634053812924,0.0,28.40946786208687,-121.08032220750339,19564490.0,nan,0.0,10,10,0.0,-83.4939567594757,-83.4939567594757,-121.08032220750339,46397.992,-11914.462
59,59,0.0,1640000,-77.48535796976246,-35.036015,-26.05778679896463,29.975168451461155,-77.48535796976246,-26.05778679896463,0.0,29.975168451461155,-137.41868054092603,426333760.0,nan,0.0,10,10,0.0,-77.48535796976249,-77.48535796976249,-137.41868054092603,27046.271,55267.84
60,60,0.0,1664000,-71.43233341831301,-29.450565,-46.31184668408486,19.766012859679762,-71.43233341831301,-46.31184668408486,0.0,19.766012859679762,-104.43699408828783,294933500.0,nan,0.0,10,10,0.0,-71.43233341831304,-71.43233341831304,-104.43699408828783,34715.457,386429.8
61,61,0.0,1688000,12434.234330042162,-19.913347,78918.66581612764,23868.456603651604,12434.234330042162,78918.66581612764,0.1,23868.456603651604,-86.89414837119602,18868622.0,nan,0.1,10,10,0.0,12434.234330042167,12434.234330042167,-86.89414837119602,12174.65,-2807.8303
62,62,0.0,1712000,-32.88685703389085,-36.074757,369.4956858744622,136.87484449200107,-32.88685703389085,369.4956858744622,0.0,136.87484449200107,-113.463757926239,693279360.0,nan,0.0,10,10,0.0,-32.88685703389077,-32.88685703389077,-113.463757926239,265916.28,2968576.0
63,63,0.0,1736000,807.715845674025,-33.467766,8514.654469608815,2569.082264540448,807.715845674025,8514.654469608815,0.0,2569.082264540448,-72.0496524328712,22447546.0,nan,0.0,10,10,0.0,807.7158456740244,807.7158456740244,-72.0496524328712,33456.305,922862.75
64,64,0.0,1760000,2173.4563751962414,-24.173227,14840.387298150328,4547.96576011522,2173.4563751962414,14840.387298150328,0.1,4547.96576011522,-65.20421763156382,33609020.0,nan,0.1,10,10,0.0,2173.4563751962414,2173.4563751962414,-65.20421763156382,2214.7593,74632.734
65,65,0.0,1784000,7451.926407901477,-20.306276,35749.23934693301,11324.47260128526,7451.926407901477,35749.23934693301,0.1,11324.47260128526,-70.93593834538969,43859600.0,nan,0.1,10,10,0.0,7451.926407901478,7451.926407901478,-70.93593834538969,2140.7053,11651.474
66,66,0.0,1808000,39181.51612993045,-17.02475,148631.48797662286,51427.20138892379,39181.51612993045,148631.48797662286,0.4,51427.20138892379,-65.22687918838386,56866308.0,nan,0.4,10,10,0.0,39181.51612993043,39181.51612993043,-65.22687918838386,5808.389,-1269.6737
67,67,0.0,1832000,12417.25154280743,-21.387493,108320.69833914118,32080.25054185821,12417.25154280743,108320.69833914118,0.1,32080.25054185821,-103.75999171461535,108164296.0,nan,0.1,10,10,0.0,12417.25154280743,12417.25154280743,-103.75999171461535,21748.84,92005.47
68,68,0.0,1856000,32860.45771241376,-16.642908,142689.6635736721,41186.354837912426,32860.45771241376,142689.6635736721,0.4,41186.354837912426,1239.7774564342874,31708524.0,nan,0.4,10,10,0.0,32860.457712413765,32860.457712413765,1239.7774564342874,9026.372,-1471.6785
69,69,0.0,1880000,-86.37860317484623,-20.622831,-46.28620525743359,20.11931101152717,-86.37860317484623,-46.28620525743359,0.0,20.11931101152717,-112.76228359426281,135589700.0,nan,0.0,10,10,0.0,-86.37860317484626,-86.37860317484626,-112.76228359426281,33587.992,164062.89
70,70,0.0,1904000,-76.76257811634991,-23.345943,-71.20994207976156,2.9846349954445284,-76.76257811634991,-71.20994207976156,0.0,2.9846349954445284,-81.25444706943841,25029403000.0,nan,0.0,10,10,0.0,-76.76257811634993,-76.76257811634993,-81.25444706943841,515215.1,240338.08
71,71,0.0,1928000,-69.59431981522326,-36.147827,-63.09746351101117,3.4522679593523975,-69.59431981522326,-63.09746351101117,0.0,3.4522679593523975,-75.40697098079927,1336510500.0,nan,0.0,10,10,0.0,-69.59431981522323,-69.59431981522323,-75.40697098079927,1941042.1,953818.0
72,72,0.0,1952000,-96.01700282918489,-37.583538,-86.66404168145932,7.893175778178697,-96.01700282918489,-86.66404168145932,0.0,7.893175778178697,-109.00874099348617,26088966000.0,nan,0.0,10,10,0.0,-96.01700282918483,-96.01700282918483,-109.00874099348617,1775708.9,2168430.5
73,73,0.0,1976000,-2.9426683846958896,-37.26926,591.3253342233297,198.12216321238046,-2.9426683846958896,591.3253342233297,0.0,198.12216321238046,-74.88425020776629,38600760.0,nan,0.0,10,10,0.0,-2.942668384695888,-2.942668384695888,-74.88425020776629,3600605.2,28677.592
74,74,0.0,2000000,-90.83126343533557,-36.238483,-71.20473973206767,13.356078283434996,-90.83126343533557,-71.20473973206767,0.0,13.356078283434996,-113.71742145994004,109360610.0,nan,0.0,10,10,0.0,-90.83126343533554,-90.83126343533554,-113.71742145994004,1560020.4,71497.69
75,75,0.0,2024000,-74.95116925913433,-37.02834,-63.477651116266834,7.943024103442061,-74.95116925913433,-63.477651116266834,0.0,7.943024103442061,-93.82253490598113,242877730.0,nan,0.0,10,10,0.0,-74.9511692591343,-74.9511692591343,-93.82253490598113,1111557.9,401342.47
76,76,0.0,2048000,419.6161812700305,-25.129566,4499.515203558668,1360.0629294030327,419.6161812700305,4499.515203558668,0.0,1360.0629294030327,-69.77328516053784,11097229.0,nan,0.0,10,10,0.0,419.6161812700305,419.6161812700305,-69.77328516053784,128165.984,98129.41
77,77,0.0,2072000,3262.095996122568,-14.969466,18934.034559820208,5732.507566640977,3262.095996122568,18934.034559820208,0.0,5732.507566640977,-73.09264680671858,13276894.0,nan,0.0,10,10,0.0,3262.095996122566,3262.095996122566,-73.09264680671858,31796.436,33770.535
78,78,0.0,2096000,9889.405064651566,-13.354853,61687.88756373011,19402.493731278304,9889.405064651566,61687.88756373011,0.1,19402.493731278304,-75.97114249873422,21301392.0,nan,0.1,10,10,0.0,9889.405064651562,9889.405064651562,-75.97114249873422,8545.671,25328.334
79,79,0.0,2120000,5891.597574870606,-13.161981,24934.513418177467,9370.610752066339,5891.597574870606,24934.513418177467,0.0,9370.610752066339,-66.54506408243223,27467712.0,nan,0.0,10,10,0.0,5891.597574870606,5891.597574870606,-66.54506408243223,840.7901,10538.323
80,80,0.0,2144000,12443.538908877188,-13.436303,74234.48393657104,22940.726978373372,12443.538908877188,74234.48393657104,0.1,22940.726978373372,-64.84560917649544,32697346.0,nan,0.1,10,10,0.0,12443.538908877186,12443.538908877186,-64.84560917649544,735.79517,-243.18312
81,81,0.0,2168000,8777.881591878819,-14.71242,45616.55860290085,13383.117144295591,8777.881591878819,45616.55860290085,0.1,13383.117144295591,-128.03510241861375,51533676.0,nan,0.1,10,10,0.0,8777.881591878819,8777.881591878819,-128.03510241861375,2298.0376,-10442.906
82,82,0.0,2192000,15484.75222679897,-16.642076,75094.44969571906,25696.186661637385,15484.75222679897,75094.44969571906,0.2,25696.186661637385,-61.811292682435955,56238370.0,nan,0.2,10,10,0.0,15484.752226798966,15484.752226798966,-61.811292682435955,88589.24,-11639.891
83,83,0.0,2216000,-38.569153542761754,-16.877361,257.01617148018096,100.4302871350562,-38.569153542761754,257.01617148018096,0.0,100.4302871350562,-111.56499875436481,62986820.0,nan,0.0,10,10,0.0,-38.56915354276174,-38.56915354276174,-111.56499875436481,1617.7021,-7359.5044
84,84,0.0,2240000,633.4237127919746,-24.055567,6813.537991504702,2060.1770789682787,633.4237127919746,6813.537991504702,0.0,2060.1770789682787,-86.27731791484284,282437760.0,nan,0.0,10,10,0.0,633.4237127919745,633.4237127919745,-86.27731791484284,2306004.2,219153.92
85,85,0.0,2264000,8645.027888234956,-19.107985,66864.03274314644,19742.238415397096,8645.027888234956,66864.03274314644,0.1,19742.238415397096,-64.19298179016923,53428420.0,nan,0.1,10,10,0.0,8645.027888234948,8645.027888234948,-64.19298179016923,853709.06,23672.936
86,86,0.0,2288000,10854.831658051882,-16.64059,103504.21464825187,30925.679250844303,10854.831658051882,103504.21464825187,0.2,30925.679250844303,-57.09566505178171,75039780.0,nan,0.2,10,10,0.0,10854.831658051877,10854.831658051877,-57.09566505178171,63273.137,-38576.26
87,87,0.0,2312000,32457.46510480284,-16.889053,160267.88955826624,56654.18370642903,32457.46510480284,160267.88955826624,0.2,56654.18370642903,-56.112242817596346,93188280.0,nan,0.2,10,10,0.0,32457.46510480285,32457.46510480285,-56.112242817596346,25138.404,-46430.8
88,88,0.0,2336000,5953.6232380941065,-17.287374,59226.89698254306,17759.25149226534,5953.6232380941065,59226.89698254306,0.1,17759.25149226534,-63.42620306339524,127396640.0,nan,0.1,10,10,0.0,5953.62323809411,5953.62323809411,-63.42620306339524,2842.105,-67188.664
89,89,0.0,2360000,35070.635655781436,-17.436703,144166.17124794438,46976.02111711471,35070.635655781436,144166.17124794438,0.5,46976.02111711471,-55.98347775306681,149191470.0,nan,0.5,10,10,0.0,35070.63565578144,35070.63565578144,-55.98347775306681,1836.9264,-83303.1
90,90,0.0,2384000,13436.338414916743,-17.010698,40776.14722944727,16406.299079535842,13436.338414916743,40776.14722944727,0.3,16406.299079535842,-56.936691826452204,170775000.0,nan,0.3,10,10,0.0,13436.33841491674,13436.33841491674,-56.936691826452204,869.66266,-104375.125
91,91,0.0,2408000,25212.476549490668,-17.264076,132031.49605375936,50594.74733527393,25212.476549490668,132031.49605375936,0.2,50594.74733527393,-54.38160333336341,172445140.0,nan,0.2,10,10,0.0,25212.476549490686,25212.476549490686,-54.38160333336341,1964.9885,-113544.27
92,92,0.0,2432000,8126.764950276105,-17.96573,27338.174820373188,10649.373691606292,8126.764950276105,27338.174820373188,0.2,10649.373691606292,-56.07771096969424,177314560.0,nan,0.2,10,10,0.0,8126.764950276103,8126.764950276103,-56.07771096969424,1745.4971,-116794.17
93,93,0.0,2456000,11937.685559576235,-18.211063,55497.42416031305,16780.06901109619,11937.685559576235,55497.42416031305,0.1,16780.06901109619,-60.274565785974396,182558530.0,nan,0.1,10,10,0.0,11937.685559576237,11937.685559576237,-60.274565785974396,1489.2118,-122759.57
94,94,0.0,2480000,15621.433451634923,-18.108019,107006.43768379393,32005.146312790785,15621.433451634923,107006.43768379393,0.1,32005.146312790785,-52.38657687499124,191404940.0,nan,0.1,10,10,0.0,15621.43345163491,15621.43345163491,-52.38657687499124,1540.5671,-134328.55
