MetaTest/soccer-v1/StdReturn,MetaTest/soccer-v1/MaxReturn,MetaTrain/Average/QfLoss,TotalEnvSteps,MetaTest/soccer-v1/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/soccer-v1/SuccessRate,MetaTrain/Average/Alpha,MetaTest/soccer-v1/MinReturn,MetaTest/Average/AverageReturn,MetaTest/Average/MaxReturn,MetaTest/Average/NumTrajs,MetaTrain/Average/ContrastiveLoss,MetaTest/soccer-v1/AverageReturn,MetaTest/Average/TerminationRate,MetaTest/soccer-v1/NumTrajs,MetaTest/Average/SuccessRate,MetaTest/Average/MinReturn,MetaTrain/Average/AlphaLoss,MetaTest/Average/Iteration,MetaTest/soccer-v1/TerminationRate,MetaTest/soccer-v1/AverageDiscountedReturn,MetaTrain/Average/PolicyLoss,MetaTest/Average/StdReturn
4256.426045013488,14600.216523922445,18604.166,224000,0,1950.1955472111244,0.0,nan,-74.45556019896073,1950.195547211124,14600.216523922445,10,21.580807,1950.195547211124,0.0,10,0.0,-74.45556019896073,5.7082367,0,0.0,1950.1955472111244,-51.67592,4256.426045013488
7344.6710265285665,24451.16102175607,23610.982,248000,1,2417.219412224081,0.0,nan,-71.2657954408362,2417.2194122240826,24451.16102175607,10,110.750565,2417.2194122240826,0.0,10,0.0,-71.2657954408362,4.3045273,1,0.0,2417.219412224081,-183.28868,7344.6710265285665
24681.55314524341,82270.99697249218,258983.94,272000,2,8226.606390898563,0.0,nan,-35.72667347943758,8226.606390898562,82270.99697249218,10,888.572,8226.606390898562,0.0,10,0.0,-35.72667347943758,-3.379581,2,0.0,8226.606390898563,-3685.083,24681.55314524341
26615.667440903133,85117.78388607597,647516.8,296000,3,13994.95950461716,0.1,nan,-31.520191450672357,13994.959504617163,85117.78388607597,10,146.44681,13994.959504617163,0.0,10,0.1,-31.520191450672357,-14.37432,3,0.0,13994.95950461716,-20304.26,26615.667440903133
19476.600874564534,65618.62551752517,743624.8,320000,4,8054.6833061924135,0.1,nan,-62.79904540712077,8054.68330619241,65618.62551752517,10,240.81613,8054.68330619241,0.0,10,0.1,-62.79904540712077,-16.434044,4,0.0,8054.6833061924135,-26220.588,19476.600874564534
35659.052465511835,100586.92371193197,1473715.8,344000,5,30635.547104527952,0.0,nan,-19.762037424364372,30635.54710452796,100586.92371193197,10,336.35785,30635.54710452796,0.0,10,0.0,-19.762037424364372,-19.303383,5,0.0,30635.547104527952,-37812.19,35659.052465511835
743.1874856181925,2447.9873951015875,1915455.8,368000,6,218.64309639927828,0.2,nan,-56.258710833801125,218.64309639927833,2447.9873951015875,10,445.64096,218.64309639927833,0.0,10,0.2,-56.258710833801125,-20.18912,6,0.0,218.64309639927828,-47129.605,743.1874856181925
6.110990685559197,-14.331567982032258,2146041.2,392000,7,-19.753601840614913,0.6,nan,-37.73140205247006,-19.75360184061491,-14.331567982032258,10,617.43665,-19.75360184061491,0.0,10,0.6,-37.73140205247006,-21.59696,7,0.0,-19.753601840614913,-54117.52,6.110990685559197
56.644960728449554,149.40710189369835,2509953.2,416000,8,-15.225693748365197,0.1,nan,-55.72333719663835,-15.225693748365199,149.40710189369835,10,3575.248,-15.225693748365199,0.0,10,0.1,-55.72333719663835,-21.228825,8,0.0,-15.225693748365197,-60357.31,56.644960728449554
23184.17392591915,71916.9231054493,2786539.0,440000,9,13132.83803533378,0.4,nan,-34.66083987859819,13132.83803533378,71916.9231054493,10,4090.3086,13132.83803533378,0.0,10,0.4,-34.66083987859819,-20.641531,9,0.0,13132.83803533378,-72545.66,23184.17392591915
