Average/NumEpisodes,MetaTest/sweep-into-v1/SuccessRate,sweep-into-v1/MinReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/TerminationRate,MetaTest/sweep-into-v1/AverageReturn,sweep-into-v1/SuccessRate,GaussianMLPPolicy/KLBefore,MetaTest/sweep-into-v1/TerminationRate,Average/SuccessRate,MetaTest/sweep-into-v1/StdReturn,MetaTest/Average/SuccessRate,sweep-into-v1/StdReturn,sweep-into-v1/TerminationRate,sweep-into-v1/MaxReturn,GaussianMLPPolicy/Entropy,Average/MaxReturn,MetaTest/sweep-into-v1/NumEpisodes,MetaTest/sweep-into-v1/Iteration,MetaTest/Average/MinReturn,MetaTest/Average/AverageReturn,MetaTest/Average/MaxReturn,sweep-into-v1/Iteration,TotalEnvSteps,GaussianMLPPolicy/LossBefore,MetaTest/Average/Iteration,sweep-into-v1/AverageReturn,MetaTest/sweep-into-v1/MaxReturn,GaussianMLPPolicy/KLAfter,MetaTest/Average/AverageDiscountedReturn,Average/AverageDiscountedReturn,Average/StdReturn,GaussianMLPPolicy/LossAfter,Average/TerminationRate,sweep-into-v1/AverageDiscountedReturn,GaussianMLPPolicy/dLoss,Average/AverageReturn,MetaTest/sweep-into-v1/AverageDiscountedReturn,sweep-into-v1/NumEpisodes,Average/Iteration,MetaTest/Average/StdReturn,Iteration,MetaTest/sweep-into-v1/MinReturn,Average/MinReturn
200,0.0,-55.11428380041445,50,0.0,299.8626893140437,0.01,0.0,0.0,0.01,711.9744866222087,0.0,360.9209683311268,0.0,3603.043202139974,5.6643900871276855,3603.043202139974,50,0,-40.021391113323936,299.8626893140437,3396.2310997402624,0,80000,-0.00048104627057909966,0,26.560566268813044,3396.2310997402624,0.00934116542339325,299.8626893140436,8.611215919744739,360.9209683311268,-0.0013901513302698731,0.0,8.611215919744739,0.0009091050596907735,26.560566268813044,299.8626893140436,200,0,711.9744866222087,0,-40.021391113323936,-55.11428380041445
200,,-48.47268850932676,,,,0.025,0.0,,0.025,,,1474.6610115248775,0.0,17770.55983594034,5.7020440101623535,17770.55983594034,,,,,,1,160000,0.0007923976518213749,,300.0491732854465,,0.007271499373018742,,88.53797301365306,1474.6610115248775,0.00044527207501232624,0.0,88.53797301365306,0.00034712557680904865,300.0491732854465,,200,1,,1,,-48.47268850932676
200,,-36.61558431513101,,,,0.03,0.0,,0.03,,,4223.523756072383,0.0,31152.119540693584,5.712844371795654,31152.119540693584,,,,,,2,240000,4.888856710749678e-05,,1485.8622423175793,,0.00782548263669014,,426.5683770971952,4223.523756072383,1.2436711585905869e-05,0.0,426.5683770971952,3.6451855521590915e-05,1485.8622423175793,,200,2,,2,,-36.61558431513101
200,,-37.554467778828894,,,,0.06,0.0,,0.06,,,3698.577470337342,0.0,30512.598951077794,5.691653251647949,30512.598951077794,,,,,,3,320000,-2.4503427994204685e-05,,1317.2436774885773,,0.008233527652919292,,375.1599064683979,3698.577470337342,-4.403616549097933e-05,0.0,375.1599064683979,1.9532737496774644e-05,1317.2436774885773,,200,3,,3,,-37.554467778828894
200,,-27.096110441803475,,,,0.055,0.0,,0.055,,,7270.803000089769,0.0,44365.093613838144,5.6792378425598145,44365.093613838144,,,,,,4,400000,-9.031145964399911e-06,,4427.921974848963,,0.00030097083072178066,,1242.5291723397638,7270.803000089769,-9.462470188736916e-06,0.0,1242.5291723397638,4.313242243370041e-07,4427.921974848963,,200,4,,4,,-27.096110441803475
200,,-25.822503785671756,,,,0.08,0.0,,0.08,,,8655.54853026581,0.0,52126.76844521472,5.6826629638671875,52126.76844521472,,,,,,5,480000,2.775499297058559e-06,,5318.412941958464,,0.00011558462574612349,,1523.7608143896753,8655.54853026581,2.611267973406939e-06,0.0,1523.7608143896753,1.642313236516202e-07,5318.412941958464,,200,5,,5,,-25.822503785671756
200,,-29.23476185422061,,,,0.07,0.0,,0.07,,,9544.935412162966,0.0,42461.600296503406,5.722740650177002,42461.600296503406,,,,,,6,560000,3.555107832653448e-05,,6939.988864170282,,0.0034900240134447813,,1885.017753371455,9544.935412162966,2.9849452403141186e-05,0.0,1885.017753371455,5.701625923393294e-06,6939.988864170282,,200,6,,6,,-29.23476185422061
200,,-31.406806620971814,,,,0.1,0.0,,0.1,,,9368.742318510524,0.0,47043.17167871855,5.721878528594971,47043.17167871855,,,,,,7,640000,-7.154209811233159e-07,,5715.807855830427,,8.071187767200172e-05,,1630.7849789798324,9368.742318510524,-8.299027172142814e-07,0.0,1630.7849789798324,1.1448173609096557e-07,5715.807855830427,,200,7,,7,,-31.406806620971814
200,,-37.098594702242714,,,,0.095,0.0,,0.095,,,9360.919072738756,0.0,71198.36444220284,5.719632148742676,71198.36444220284,,,,,,8,720000,-1.6921578662731918e-06,,5703.484876763046,,0.00012110902753192931,,1595.0831877509006,9360.919072738756,-1.8642653003553278e-06,0.0,1595.0831877509006,1.7210743408213602e-07,5703.484876763046,,200,8,,8,,-37.098594702242714
200,,-34.96683279443584,,,,0.09,0.0,,0.09,,,12464.464905284882,0.0,61280.085602274994,5.720000267028809,61280.085602274994,,,,,,9,800000,3.0881162160767417e-07,,8483.732323975059,,7.589287997689098e-05,,2399.6899623447257,12464.464905284882,2.012481701285651e-07,0.0,2399.6899623447257,1.0756345147910906e-07,8483.732323975059,,200,9,,9,,-34.96683279443584
