MetaTrain/Average/Alpha,MetaTrain/Average/PolicyLoss,MetaTest/door-close-v1/AverageReturn,MetaTest/door-close-v1/NumEpisodes,MetaTest/door-close-v1/SuccessRate,MetaTest/door-close-v1/MaxReturn,MetaTest/door-close-v1/Iteration,MetaTest/door-close-v1/AverageDiscountedReturn,MetaTest/Average/TerminationRate,MetaTest/Average/Iteration,MetaTest/Average/NumEpisodes,MetaTest/door-close-v1/StdReturn,MetaTest/door-close-v1/MinReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MaxReturn,MetaTest/Average/MinReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/door-close-v1/TerminationRate,TotalEnvSteps,MetaTrain/Average/AlphaLoss,MetaTest/Average/AverageReturn,MetaTest/Average/SuccessRate,MetaTest/Average/StdReturn,MetaTrain/Average/QfLoss
0.93091685,-0.96524924,-50.28560076244545,10,0.0,-37.99907659465928,0,-50.28560076244544,0.0,0,10,8.247366151291535,-61.530129293505226,-50.28560076244544,-37.99907659465928,-61.530129293505226,8.329141,0.0,56000,6.267497,-50.28560076244545,0.0,8.247366151291535,0.40077373
0.80904335,2.9316292,-52.453491522835385,10,0.0,-44.068979065522065,1,-52.45349152283539,0.0,1,10,6.194903937016219,-63.11893662802811,-52.45349152283539,-44.068979065522065,-63.11893662802811,10.330978,0.0,62000,5.444372,-52.453491522835385,0.0,6.194903937016219,35.24854
0.707,7.682715,-50.67047710924204,10,0.1,-37.96308509174274,2,-50.67047710924204,0.0,2,10,10.479796001258796,-72.6659513725722,-50.67047710924204,-37.96308509174274,-72.6659513725722,7.643483,0.0,68000,4.7406855,-50.67047710924204,0.1,10.479796001258796,32.45206
0.6208507,12.769914,-49.9302869734628,10,0.1,-27.962673754035244,3,-49.930286973462806,0.0,3,10,13.521467122504072,-75.0384744438069,-49.930286973462806,-27.962673754035244,-75.0384744438069,773.056,0.0,74000,3.948927,-49.9302869734628,0.1,13.521467122504072,887.35126
0.55067205,14.876006,-52.878152100110455,10,0.3,-40.10460597471126,4,-52.878152100110455,0.0,4,10,8.881442605114724,-68.19466169847801,-52.878152100110455,-40.10460597471126,-68.19466169847801,8.640683,0.0,80000,3.0845327,-52.878152100110455,0.3,8.881442605114724,979.5817
0.48891234,21.785824,-49.70427639058771,10,0.3,-38.7361081355573,5,-49.70427639058771,0.0,5,10,4.197964652370892,-54.2579326255889,-49.70427639058771,-38.7361081355573,-54.2579326255889,7.7430587,0.0,86000,2.676922,-49.70427639058771,0.3,4.197964652370892,497.81134
0.43332094,21.03548,-43.686212485620246,10,0.7,-31.664755017215775,6,-43.686212485620246,0.0,6,10,6.480571229471863,-52.20355601562829,-43.686212485620246,-31.664755017215775,-52.20355601562829,8.433642,0.0,92000,2.2441566,-43.686212485620246,0.7,6.480571229471863,467.11972
0.38479853,18.594994,-48.34111590328773,10,0.4,-38.725010458419966,7,-48.34111590328773,0.0,7,10,10.516156318220194,-75.62742854327398,-48.34111590328773,-38.725010458419966,-75.62742854327398,9.088895,0.0,98000,1.814271,-48.34111590328773,0.4,10.516156318220194,472.50375
0.34478208,10.351345,-50.88072222507314,10,0.2,-40.02300776749856,8,-50.88072222507314,0.0,8,10,8.976696126379306,-72.15282872973748,-50.88072222507314,-40.02300776749856,-72.15282872973748,9.451162,0.0,104000,1.3208658,-50.88072222507314,0.2,8.976696126379306,653.9566
0.31039268,-0.30264068,-58.01504617657456,10,0.0,-46.478609258382676,9,-58.01504617657456,0.0,9,10,6.918975936585061,-66.13507861976258,-58.01504617657456,-46.478609258382676,-66.13507861976258,10.541442,0.0,110000,1.0367248,-58.01504617657456,0.0,6.918975936585061,844.0267
0.27884766,-10.651148,-43.94454348014778,10,0.0,-40.54785522100096,10,-43.944543480147786,0.0,10,10,3.14962222637914,-49.560477269844725,-43.944543480147786,-40.54785522100096,-49.560477269844725,13.78978,0.0,116000,0.83051705,-43.94454348014778,0.0,3.14962222637914,727.8373
0.25443769,-58.603157,-56.89055227039972,10,0.0,-47.1511540924654,11,-56.89055227039974,0.0,11,10,5.735634023471372,-65.84339523006771,-56.89055227039974,-47.1511540924654,-65.84339523006771,13.590353,0.0,122000,0.39805236,-56.89055227039972,0.0,5.735634023471372,1386.7183
0.25019982,-145.93211,-67.06038955728249,10,0.5,-33.02825357206626,12,-67.06038955728249,0.0,12,10,38.1058511525665,-143.79103605384444,-67.06038955728249,-33.02825357206626,-143.79103605384444,13.07155,0.0,128000,-0.13091111,-67.06038955728249,0.5,38.1058511525665,1182.419
0.28293842,-391.1099,-63.31479247639419,10,0.2,-28.854116918237754,13,-63.314792476394175,0.0,13,10,37.07861544959196,-144.11866797723388,-63.314792476394175,-28.854116918237754,-144.11866797723388,35.442154,0.0,134000,-1.0268627,-63.31479247639419,0.2,37.07861544959196,2134.9246
0.35388824,-741.099,-53.84715910678485,10,0.1,-44.53902358558677,14,-53.847159106784844,0.0,14,10,5.78930903434639,-62.110450873877674,-53.847159106784844,-44.53902358558677,-62.110450873877674,39.494312,0.0,140000,-2.1610506,-53.84715910678485,0.1,5.78930903434639,3325.8884
0.43040848,-1001.997,-58.911600652311975,10,0.3,-52.908640417349126,15,-58.91160065231198,0.0,15,10,4.785841920738169,-67.16187685165326,-58.91160065231198,-52.908640417349126,-67.16187685165326,35.99782,0.0,146000,-2.495951,-58.911600652311975,0.3,4.785841920738169,3565.3967
0.5162711,-1703.5458,-60.42956801177532,10,0.1,-41.081493318263206,16,-60.42956801177529,0.0,16,10,7.182151222356578,-67.44743922608035,-60.42956801177529,-41.081493318263206,-67.44743922608035,96.985954,0.0,152000,-3.537073,-60.42956801177532,0.1,7.182151222356578,11923.621
0.613303,-2076.2732,-61.736408890902965,10,0.1,-40.98530910003533,17,-61.736408890902965,0.0,17,10,9.060735429708819,-77.46061938900175,-61.736408890902965,-40.98530910003533,-77.46061938900175,49.34327,0.0,158000,-3.778929,-61.736408890902965,0.1,9.060735429708819,12350.318
0.71878225,-2328.0369,-55.073126785700346,10,0.0,-31.907014691260347,18,-55.07312678570035,0.0,18,10,31.393450934506397,-147.50515133053185,-55.07312678570035,-31.907014691260347,-147.50515133053185,26.719786,0.0,164000,-3.906045,-55.073126785700346,0.0,31.393450934506397,13157.223
0.8328911,-2147.1226,-72.98455359314316,10,0.2,-34.06114232356702,19,-72.98455359314315,0.0,19,10,26.67777525012791,-113.21711660705216,-72.98455359314315,-34.06114232356702,-113.21711660705216,42.97959,0.0,170000,-3.445263,-72.98455359314316,0.2,26.67777525012791,9497.022
0.9621173,-2417.53,-68.0980930545995,10,0.0,-42.963238179757134,20,-68.0980930545995,0.0,20,10,22.36488392539251,-113.50201677808033,-68.0980930545995,-42.963238179757134,-113.50201677808033,33.43119,0.0,176000,-3.590724,-68.0980930545995,0.0,22.36488392539251,11417.074
1.0913819,-2050.2856,-79.28695767077075,10,0.1,-46.96140949357466,21,-79.28695767077073,0.0,21,10,21.34703217365594,-109.76158234913161,-79.28695767077073,-46.96140949357466,-109.76158234913161,58.78631,0.0,182000,-2.4824252,-79.28695767077075,0.1,21.34703217365594,15596.838
1.2072659,-1567.3478,-84.11488011893985,10,0.0,-53.34102445649426,22,-84.11488011893982,0.0,22,10,28.350526054428094,-131.14782829602063,-84.11488011893982,-53.34102445649426,-131.14782829602063,45.338486,0.0,188000,-1.3732148,-84.11488011893985,0.0,28.350526054428094,10745.868
1.2206057,-1412.4945,-50.81352027871923,10,0.0,-43.60676968609758,23,-50.81352027871921,0.0,23,10,4.863733425198699,-60.26969485529671,-50.81352027871921,-43.60676968609758,-60.26969485529671,65.79728,0.0,194000,0.3148212,-50.81352027871923,0.0,4.863733425198699,11261.472
1.1460615,-1179.8514,-49.21048924096176,10,0.2,-44.47296657039752,24,-49.21048924096176,0.0,24,10,4.137577798001306,-60.49079005956091,-49.21048924096176,-44.47296657039752,-60.49079005956091,140.94466,0.0,200000,1.4527957,-49.21048924096176,0.2,4.137577798001306,11221.355
1.0307593,-1059.9055,-59.348986667091026,10,0.0,-51.80191488672401,25,-59.34898666709104,0.0,25,10,7.3803806628900706,-78.03866744266826,-59.34898666709104,-51.80191488672401,-78.03866744266826,90.44699,0.0,206000,1.3571904,-59.348986667091026,0.0,7.3803806628900706,10704.765
1.0244017,-1550.764,-54.60538580612193,10,0.3,-44.25250104762947,26,-54.60538580612192,0.0,26,10,11.533833964480626,-80.90539623301774,-54.60538580612192,-44.25250104762947,-80.90539623301774,38.21805,0.0,212000,-1.0320368,-54.60538580612193,0.3,11.533833964480626,9963.35
1.0419465,-1360.9877,-74.5590035360876,10,0.1,-42.95963722988959,27,-74.5590035360876,0.0,27,10,26.772889685391082,-114.74426563649202,-74.5590035360876,-42.95963722988959,-114.74426563649202,88.276115,0.0,218000,0.30797017,-74.5590035360876,0.1,26.772889685391082,8189.011
1.0059438,-1359.109,-79.33686974960906,10,0.0,-67.39092020067447,28,-79.33686974960904,0.0,28,10,8.812909856119616,-97.74361378471484,-79.33686974960904,-67.39092020067447,-97.74361378471484,84.719315,0.0,224000,0.5315835,-79.33686974960906,0.0,8.812909856119616,6721.584
