MetaTrain/Average/Alpha,MetaTrain/Average/PolicyLoss,MetaTest/door-close-v1/AverageReturn,MetaTest/door-close-v1/NumEpisodes,MetaTest/door-close-v1/SuccessRate,MetaTest/door-close-v1/MaxReturn,MetaTest/door-close-v1/Iteration,MetaTest/door-close-v1/AverageDiscountedReturn,MetaTest/Average/TerminationRate,MetaTest/Average/Iteration,MetaTest/Average/NumEpisodes,MetaTest/door-close-v1/StdReturn,MetaTest/door-close-v1/MinReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MaxReturn,MetaTest/Average/MinReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/door-close-v1/TerminationRate,TotalEnvSteps,MetaTrain/Average/AlphaLoss,MetaTest/Average/AverageReturn,MetaTest/Average/SuccessRate,MetaTest/Average/StdReturn,MetaTrain/Average/QfLoss
0.89994186,-816.4078,-52.536275701560555,10,0.0,-40.38517556272836,29,-52.536275701560555,0.0,29,10,9.044416174895044,-75.33642273490551,-52.536275701560555,-40.38517556272836,-75.33642273490551,89.99502,0.0,230000,1.8558257,-52.536275701560555,0.0,9.044416174895044,5450.3047
0.805697,-930.1585,-54.937107134980955,10,0.0,-48.51205093483432,30,-54.93710713498096,0.0,30,10,4.426537675606297,-64.1750008957376,-54.93710713498096,-48.51205093483432,-64.1750008957376,94.53575,0.0,236000,1.3189099,-54.937107134980955,0.0,4.426537675606297,6183.443
0.7032444,-555.33057,-63.01405145387719,10,0.1,-22.715713332422986,31,-63.01405145387715,0.0,31,10,42.43150032751477,-152.49601768779831,-63.01405145387715,-22.715713332422986,-152.49601768779831,103.928,0.0,242000,1.6693817,-63.01405145387719,0.1,42.43150032751477,32509.045
0.68093866,-1223.1958,-48.469107656733385,10,0.0,-40.14236898534836,32,-48.469107656733385,0.0,32,10,6.33072665157319,-60.943917118377676,-48.469107656733385,-40.14236898534836,-60.943917118377676,62.172676,0.0,248000,-0.6307232,-48.469107656733385,0.0,6.33072665157319,24789.66
0.7867538,-2706.3599,-43.62354553895905,10,0.0,-40.18592873515088,33,-43.62354553895905,0.0,33,10,2.0686649052215267,-46.803445887175364,-43.62354553895905,-40.18592873515088,-46.803445887175364,27797.316,0.0,254000,-3.136084,-43.62354553895905,0.0,2.0686649052215267,6016969.0
0.9337487,-2829.842,-51.258736926573874,10,0.1,-38.33251740641737,34,-51.25873692657386,0.0,34,10,15.437508908546201,-86.50870184355821,-51.25873692657386,-38.33251740641737,-86.50870184355821,123.357376,0.0,260000,-3.0443337,-51.258736926573874,0.1,15.437508908546201,29934.016
1.0452673,-1877.4008,-67.84641226601815,10,0.2,-31.01503105403107,35,-67.84641226601815,0.0,35,10,32.929782493721696,-127.12134880275626,-67.84641226601815,-31.01503105403107,-127.12134880275626,4631.04,0.0,266000,-1.2107698,-67.84641226601815,0.2,32.929782493721696,117097.734
1.0997869,-1620.2623,-89.13542501217543,10,0.2,-70.6537948598116,36,-89.13542501217543,0.0,36,10,16.7520870446923,-133.60530180797974,-89.13542501217543,-70.6537948598116,-133.60530180797974,17019.111,0.0,272000,0.8599666,-89.13542501217543,0.2,16.7520870446923,99522.22
1.0896081,-2744.5845,-107.6251169413633,10,0.1,-49.2549565492344,37,-107.62511694136333,0.0,37,10,36.185408803249004,-148.15326246264874,-107.62511694136333,-49.2549565492344,-148.15326246264874,5601.549,0.0,278000,-1.4705127,-107.6251169413633,0.1,36.185408803249004,101472.73
1.123711,-2241.9863,-88.93498058379635,10,0.0,-38.78293295721565,38,-88.93498058379637,0.0,38,10,36.792707573882936,-138.78677808642436,-88.93498058379637,-38.78293295721565,-138.78677808642436,2876.553,0.0,284000,0.17698874,-88.93498058379635,0.0,36.792707573882936,90443.37
1.0249431,357.6857,-133.79252175397048,10,0.0,-125.21888512947056,39,-133.79252175397048,0.0,39,10,7.962627811813217,-152.65065625088516,-133.79252175397048,-125.21888512947056,-152.65065625088516,3229.7417,0.0,290000,3.156357,-133.79252175397048,0.0,7.962627811813217,81894.8
0.8708135,458.3367,-73.21441076985812,10,0.1,-61.05521448790737,40,-73.21441076985813,0.0,40,10,14.500051276799088,-113.0422684803406,-73.21441076985813,-61.05521448790737,-113.0422684803406,2775.4685,0.0,296000,2.8848138,-73.21441076985812,0.1,14.500051276799088,78364.87
0.7745577,384.4752,-99.45331897408404,10,1.0,-86.37038361572932,41,-99.45331897408403,0.0,41,10,9.018515924690165,-120.1034481504746,-99.45331897408403,-86.37038361572932,-120.1034481504746,2051.8535,0.0,302000,1.9527695,-99.45331897408404,1.0,9.018515924690165,94222.88
0.6898108,561.97577,-83.15661334847191,10,0.2,-58.506786812382366,42,-83.15661334847194,0.0,42,10,16.862158721830834,-112.116791611282,-83.15661334847194,-58.506786812382366,-112.116791611282,4347.406,0.0,308000,1.9531244,-83.15661334847191,0.2,16.862158721830834,86895.65
0.62136656,564.9894,-133.66488195989726,10,0.0,-71.00755096546888,43,-133.66488195989723,0.0,43,10,26.245825535043725,-155.12971196022974,-133.66488195989723,-71.00755096546888,-155.12971196022974,3408.7185,0.0,314000,0.961923,-133.66488195989726,0.0,26.245825535043725,82939.57
0.59725755,-241.39235,-141.1136432650936,10,0.0,-132.44555143213205,44,-141.11364326509357,0.0,44,10,6.637398335245733,-154.23312889090218,-141.11364326509357,-132.44555143213205,-154.23312889090218,3802.697,0.0,320000,-0.064747006,-141.1136432650936,0.0,6.637398335245733,124259.38
0.59567356,-221.44196,-133.64778265753165,10,0.0,-119.04677449105448,45,-133.64778265753168,0.0,45,10,7.257999522575538,-144.68844240596147,-133.64778265753168,-119.04677449105448,-144.68844240596147,1340.0573,0.0,326000,0.57577294,-133.64778265753165,0.0,7.257999522575538,89346.59
0.5396212,200.48726,-92.38774453996523,10,0.0,-34.12297695172301,46,-92.38774453996523,0.0,46,10,47.53332545674846,-148.08122711693312,-92.38774453996523,-34.12297695172301,-148.08122711693312,940.9232,0.0,332000,0.52191436,-92.38774453996523,0.0,47.53332545674846,81797.805
0.559641,-446.17682,-88.01773191873373,10,0.1,-34.86418902050411,47,-88.01773191873369,0.0,47,10,48.9122992309151,-141.7294345551837,-88.01773191873369,-34.86418902050411,-141.7294345551837,1104.5516,0.0,338000,-0.9037441,-88.01773191873373,0.1,48.9122992309151,97127.914
0.58848083,39.51728,-69.56631617529307,10,0.0,-53.83761329233742,48,-69.56631617529305,0.0,48,10,11.074500405345582,-96.10391777071177,-69.56631617529305,-53.83761329233742,-96.10391777071177,1101.2478,0.0,344000,0.32139012,-69.56631617529307,0.0,11.074500405345582,83701.54
0.52922,583.2542,-79.05962065773022,10,0.1,-70.13180720918061,49,-79.05962065773022,0.0,49,10,11.571711577913538,-110.67970739221127,-79.05962065773022,-70.13180720918061,-110.67970739221127,2504.9812,0.0,350000,1.2536911,-79.05962065773022,0.1,11.571711577913538,81344.516
0.4608742,879.7865,-129.77678680128113,10,0.0,-84.78039751828351,50,-129.77678680128116,0.0,50,10,16.674012381795997,-149.83551193873072,-129.77678680128116,-84.78039751828351,-149.83551193873072,1620.8416,0.0,356000,1.0273852,-129.77678680128113,0.0,16.674012381795997,69118.59
0.42538592,761.6794,-93.77638338288179,10,0.0,-47.203315292247765,51,-93.7763833828818,0.0,51,10,34.57093504016352,-141.37899745135837,-93.7763833828818,-47.203315292247765,-141.37899745135837,2103.732,0.0,362000,0.3854814,-93.77638338288179,0.0,34.57093504016352,73492.87
0.39353853,740.398,-139.18894931676567,10,0.0,-123.98126402265665,52,-139.18894931676564,0.0,52,10,6.832819901785807,-148.84697763056735,-139.18894931676564,-123.98126402265665,-148.84697763056735,2754.0488,0.0,368000,-0.21144138,-139.18894931676567,0.0,6.832819901785807,133154.86
0.45310512,-5284.623,-106.87606588432675,10,0.0,-85.2114675184946,53,-106.87606588432675,0.0,53,10,13.47817277898459,-136.4062845946498,-106.87606588432675,-85.2114675184946,-136.4062845946498,1319.5608,0.0,374000,-4.569086,-106.87606588432675,0.0,13.47817277898459,298854.53
0.5671581,-9533.122,-73.07706086143716,10,0.2,-43.14325196715757,54,-73.07706086143713,0.0,54,10,22.11656031255793,-113.48492145820946,-73.07706086143713,-43.14325196715757,-113.48492145820946,1278.13,0.0,380000,-7.557131,-73.07706086143716,0.2,22.11656031255793,417346.12
0.6821521,-11320.05,-77.16102951071107,10,0.1,-46.50399598540928,55,-77.16102951071107,0.0,55,10,14.667083257557305,-95.8078545459506,-77.16102951071107,-46.50399598540928,-95.8078545459506,659.979,0.0,386000,-9.495905,-77.16102951071107,0.1,14.667083257557305,460509.25
0.82502514,-13240.863,-79.90894747170077,10,0.1,-56.499895146981494,56,-79.90894747170078,0.0,56,10,19.12940331296167,-116.12194383822407,-79.90894747170078,-56.499895146981494,-116.12194383822407,611.958,0.0,392000,-12.902299,-79.90894747170077,0.1,19.12940331296167,526728.3
0.98253363,-14232.056,-52.53536439314762,10,0.8,-22.28119715539716,57,-52.53536439314762,0.0,57,10,41.043108632465746,-159.84935029283915,-52.53536439314762,-22.28119715539716,-159.84935029283915,594.758,0.0,398000,-15.221761,-52.53536439314762,0.8,41.043108632465746,535366.8
1.173543,-15216.188,-49.84283441462209,10,0.8,-28.3045545736646,58,-49.8428344146221,0.0,58,10,25.693760290940862,-96.8903042608858,-49.8428344146221,-28.3045545736646,-96.8903042608858,458.82846,0.0,404000,-19.447563,-49.84283441462209,0.8,25.693760290940862,523479.72
1.3944426,-16506.969,-39.96079869104215,10,0.7,-31.539788263597764,59,-39.96079869104216,0.0,59,10,11.894812136844774,-68.88710216258906,-39.96079869104216,-31.539788263597764,-68.88710216258906,319.49075,0.0,410000,-21.142973,-39.96079869104215,0.7,11.894812136844774,506003.9
1.6421287,-10599.494,-44.30997055653527,10,0.3,-34.88581457974158,60,-44.30997055653527,0.0,60,10,5.917408025670333,-52.97559429048071,-44.30997055653527,-34.88581457974158,-52.97559429048071,12072.3,0.0,416000,-22.017368,-44.30997055653527,0.3,5.917408025670333,2031034.8
1.890355,-14927.922,-47.334791727434535,10,0.4,-33.65833862604011,61,-47.334791727434535,0.0,61,10,5.909709035924942,-54.86485041253261,-47.334791727434535,-33.65833862604011,-54.86485041253261,96.860435,0.0,422000,-18.16925,-47.334791727434535,0.4,5.909709035924942,309377.66
2.1707115,-13818.07,-41.90697444161896,10,0.0,-38.35898271614749,62,-41.906974441618964,0.0,62,10,3.7370452884144862,-50.43848425195955,-41.906974441618964,-38.35898271614749,-50.43848425195955,132.46007,0.0,428000,-16.770756,-41.90697444161896,0.0,3.7370452884144862,169169.95
2.453017,-9532.258,-65.62160995168688,10,0.2,-43.896736426529976,63,-65.62160995168689,0.0,63,10,24.660820243051287,-112.9409131558152,-65.62160995168689,-43.896736426529976,-112.9409131558152,321.1844,0.0,434000,-12.944621,-65.62160995168688,0.2,24.660820243051287,103261.695
2.6325948,-1381.4342,-58.01835537201716,10,0.2,-21.424943749817615,64,-58.018355372017176,0.0,64,10,30.314667323663205,-114.31725362591283,-58.018355372017176,-21.424943749817615,-114.31725362591283,1608.4329,0.0,440000,-0.4869164,-58.01835537201716,0.2,30.314667323663205,113027.586
2.6058314,-338.7476,-64.43658288210791,10,0.2,-42.152589001948,65,-64.4365828821079,0.0,65,10,18.13848175748179,-97.84127547229336,-64.4365828821079,-42.152589001948,-97.84127547229336,2940.5044,0.0,446000,2.1326065,-64.43658288210791,0.2,18.13848175748179,78887.28
2.2972572,2251.805,-42.48552747388201,10,0.3,-34.76740634334683,66,-42.48552747388203,0.0,66,10,5.485111154653017,-50.69930963705974,-42.48552747388203,-34.76740634334683,-50.69930963705974,2345.335,0.0,452000,9.981824,-42.48552747388201,0.3,5.485111154653017,92045.516
1.9645447,2872.7715,-72.57312937182897,10,0.3,-57.54791460722073,67,-72.573129371829,0.0,67,10,5.747443244790429,-80.51591623220295,-72.573129371829,-57.54791460722073,-80.51591623220295,3971.518,0.0,458000,9.650191,-72.57312937182897,0.3,5.747443244790429,80147.73
1.710008,1841.0536,-74.66838702838541,10,0.2,-60.18126860529848,68,-74.66838702838541,0.0,68,10,11.550148128234067,-95.3245708395319,-74.66838702838541,-60.18126860529848,-95.3245708395319,2108.2014,0.0,464000,7.2425528,-74.66838702838541,0.2,11.550148128234067,121912.64
1.5040182,2642.4524,-65.7563091119938,10,0.1,-47.69832649034175,69,-65.75630911199382,0.0,69,10,9.939145342431102,-81.51463611463011,-65.75630911199382,-47.69832649034175,-81.51463611463011,1864.2278,0.0,470000,6.631163,-65.7563091119938,0.1,9.939145342431102,55193.246
1.3245271,3601.4312,-53.19778529083205,10,0.0,-34.60236859017285,70,-53.19778529083209,0.0,70,10,9.659746169458666,-67.41287460145267,-53.19778529083209,-34.60236859017285,-67.41287460145267,1763.4227,0.0,476000,6.90424,-53.19778529083205,0.0,9.659746169458666,61810.785
1.152474,3433.6826,-53.30976719051398,10,0.2,-47.36704007928512,71,-53.309767190513966,0.0,71,10,4.65629955470886,-63.36200253735067,-53.309767190513966,-47.36704007928512,-63.36200253735067,824.16376,0.0,482000,6.033358,-53.30976719051398,0.2,4.65629955470886,58926.312
1.0105247,3723.5354,-66.13110377551203,10,0.2,-46.549869693522496,72,-66.13110377551202,0.0,72,10,11.330612439575715,-84.65642752121295,-66.13110377551202,-46.549869693522496,-84.65642752121295,2525.1655,0.0,488000,5.0201817,-66.13110377551203,0.2,11.330612439575715,63858.336
0.8932063,2874.5515,-49.77232162928386,10,0.0,-39.36550087009317,73,-49.77232162928385,0.0,73,10,13.640662169032787,-81.26583293735511,-49.77232162928385,-39.36550087009317,-81.26583293735511,847.389,0.0,494000,4.118217,-49.77232162928386,0.0,13.640662169032787,61648.223
0.7977048,2555.9639,-64.94130931846878,10,0.1,-56.82004534555099,74,-64.94130931846875,0.0,74,10,4.929103737249289,-71.19677402686193,-64.94130931846875,-56.82004534555099,-71.19677402686193,687.6536,0.0,500000,2.8505292,-64.94130931846878,0.1,4.929103737249289,60964.934
0.73296463,2537.123,-58.59787429661617,10,0.1,-51.22385590679867,75,-58.59787429661618,0.0,75,10,5.602313061598312,-68.12928500133627,-58.59787429661618,-51.22385590679867,-68.12928500133627,2365.8796,0.0,506000,1.6418762,-58.59787429661617,0.1,5.602313061598312,63957.04
0.66376585,2778.125,-59.95662522566681,10,0.6,-47.897259659353004,76,-59.95662522566681,0.0,76,10,8.054669578701107,-73.57999794512438,-59.95662522566681,-47.897259659353004,-73.57999794512438,1235.1322,0.0,512000,2.1299787,-59.95662522566681,0.6,8.054669578701107,55975.65
0.60262746,2100.8865,-54.317084564648574,10,0.3,-35.18880955002081,77,-54.317084564648596,0.0,77,10,9.453390560738901,-70.1296137768566,-54.317084564648596,-35.18880955002081,-70.1296137768566,645.8374,0.0,518000,1.0896053,-54.317084564648574,0.3,9.453390560738901,53947.875
0.5370592,2382.707,-87.188208877221,10,0.0,-71.19922225043732,78,-87.18820887722102,0.0,78,10,8.68040088763107,-104.21342290642002,-87.18820887722102,-71.19922225043732,-104.21342290642002,562.86414,0.0,524000,1.7007427,-87.188208877221,0.0,8.68040088763107,47563.496
0.46886718,2085.7983,-79.08313472379321,10,0.7,-55.52930541432126,79,-79.08313472379321,0.0,79,10,13.843099097250958,-105.55910756660414,-79.08313472379321,-55.52930541432126,-105.55910756660414,429.3056,0.0,530000,1.2998853,-79.08313472379321,0.7,13.843099097250958,53048.85
0.4222871,2360.5398,-58.706727183362844,10,0.0,-47.66046502043124,80,-58.70672718336283,0.0,80,10,7.626369297765564,-74.61185906602947,-58.70672718336283,-47.66046502043124,-74.61185906602947,771.8127,0.0,536000,0.774041,-58.706727183362844,0.0,7.626369297765564,45571.07
0.38467354,2765.3145,-76.38781354471159,10,0.0,-41.16608628673428,81,-76.38781354471158,0.0,81,10,12.617880664063968,-85.2692674423113,-76.38781354471158,-41.16608628673428,-85.2692674423113,707.93335,0.0,542000,0.80284274,-76.38781354471159,0.0,12.617880664063968,51984.977
0.35149834,3237.6147,-99.79506262308924,10,0.0,-67.13478917007234,82,-99.79506262308924,0.0,82,10,18.980799632840252,-127.8496505411209,-99.79506262308924,-67.13478917007234,-127.8496505411209,1510.4248,0.0,548000,0.39380786,-99.79506262308924,0.0,18.980799632840252,63428.36
0.3186721,3112.9902,-95.99935223079827,10,0.0,-71.03698202882346,83,-95.99935223079824,0.0,83,10,16.81306076027468,-117.08420917305165,-95.99935223079824,-71.03698202882346,-117.08420917305165,1191.9318,0.0,554000,0.60197425,-95.99935223079827,0.0,16.81306076027468,53035.26
0.3125356,2362.8303,-93.5811924030543,10,0.0,-84.18638157306036,84,-93.5811924030543,0.0,84,10,5.884125197789754,-101.5978833733892,-93.5811924030543,-84.18638157306036,-101.5978833733892,767.86676,0.0,560000,-0.14526358,-93.5811924030543,0.0,5.884125197789754,61658.19
0.31204695,2431.2957,-58.316940703199705,10,0.1,-52.450042909967934,85,-58.31694070319969,0.0,85,10,4.309795193191629,-66.44835171916056,-58.31694070319969,-52.450042909967934,-66.44835171916056,690.5562,0.0,566000,0.03798447,-58.316940703199705,0.1,4.309795193191629,50789.574
0.29029718,2975.7786,-73.87349386373654,10,0.0,-70.82117825552714,86,-73.87349386373654,0.0,86,10,1.4627727517452112,-76.35498980912311,-73.87349386373654,-70.82117825552714,-76.35498980912311,2264.2417,0.0,572000,0.6048823,-73.87349386373654,0.0,1.4627727517452112,48584.5
0.25571978,2215.6326,-91.30723966889924,10,0.0,-85.93132996914343,87,-91.30723966889923,0.0,87,10,3.4850186302325934,-96.99034341971365,-91.30723966889923,-85.93132996914343,-96.99034341971365,1075.3389,0.0,578000,0.23798327,-91.30723966889924,0.0,3.4850186302325934,46035.047
0.24392866,2009.8645,-119.87590035969012,10,0.0,-79.94808153101175,88,-119.8759003596901,0.0,88,10,15.379600349782098,-139.00963801846868,-119.8759003596901,-79.94808153101175,-139.00963801846868,987.7817,0.0,584000,0.17127228,-119.87590035969012,0.0,15.379600349782098,50583.727
0.23272176,3786.125,-83.69517163630817,10,0.1,-42.76108349664746,89,-83.69517163630817,0.0,89,10,32.174740095422905,-137.89127886152576,-83.69517163630817,-42.76108349664746,-137.89127886152576,4170.819,0.0,590000,0.037890214,-83.69517163630817,0.1,32.174740095422905,84710.305
0.21755755,2771.9395,-65.62458223282812,10,0.1,-52.453390640155796,90,-65.62458223282813,0.0,90,10,6.000988979275094,-76.02403747249058,-65.62458223282813,-52.453390640155796,-76.02403747249058,1190.077,0.0,596000,0.3987746,-65.62458223282812,0.1,6.000988979275094,41966.797
