MetaTest/Average/MaxReturn,TotalEnvSteps,MetaTest/lever-pull-v1/Iteration,MetaTest/lever-pull-v1/NumTrajs,MetaTest/lever-pull-v1/StdReturn,MetaTest/Average/SuccessRate,MetaTest/lever-pull-v1/TerminationRate,MetaTest/Average/StdReturn,MetaTest/Average/TerminationRate,MetaTest/lever-pull-v1/AverageReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/NumTrajs,MetaTest/lever-pull-v1/AverageDiscountedReturn,MetaTest/lever-pull-v1/MinReturn,MetaTest/lever-pull-v1/SuccessRate,MetaTest/Average/MinReturn,MetaTest/lever-pull-v1/MaxReturn,MetaTest/Average/AverageReturn,MetaTest/Average/Iteration
-13.987738708828333,224000,0,10,2.645928390276642,0.0,0.0,2.645928390276642,0.0,-17.846261243135565,-17.84626124313556,10,-17.84626124313556,-22.58218560914546,0.0,-22.58218560914546,-13.987738708828333,-17.846261243135565,0
-9.91461468918478,248000,1,10,2.3757185124688505,0.0,0.0,2.3757185124688505,0.0,-13.607350013366226,-13.607350013366226,10,-13.607350013366226,-18.314876475483167,0.0,-18.314876475483167,-9.91461468918478,-13.607350013366226,1
-8.023377388417002,272000,2,10,2.6099854796773685,0.0,0.0,2.6099854796773685,0.0,-12.153715724416056,-12.153715724416053,10,-12.153715724416053,-17.5932168285369,0.0,-17.5932168285369,-8.023377388417002,-12.153715724416056,2
-15.911201351065458,296000,3,10,2.952854927771669,0.0,0.0,2.952854927771669,0.0,-19.33179988778211,-19.331799887782108,10,-19.331799887782108,-24.797603304877672,0.0,-24.797603304877672,-15.911201351065458,-19.33179988778211,3
-9.752330903062791,320000,4,10,2.5231683868879036,0.0,0.0,2.5231683868879036,0.0,-14.060502831745044,-14.06050283174504,10,-14.06050283174504,-17.96876435870154,0.0,-17.96876435870154,-9.752330903062791,-14.060502831745044,4
-5.947689734675018,344000,5,10,1.79930764284299,0.0,0.0,1.79930764284299,0.0,-8.715204700215306,-8.715204700215306,10,-8.715204700215306,-11.79794966249788,0.0,-11.79794966249788,-5.947689734675018,-8.715204700215306,5
-5.385078067947857,368000,6,10,1.3047574807654736,0.0,0.0,1.3047574807654736,0.0,-7.192230959875121,-7.192230959875123,10,-7.192230959875123,-9.315112621658976,0.0,-9.315112621658976,-5.385078067947857,-7.192230959875121,6
-4.087585263719173,392000,7,10,1.4045147872102082,0.0,0.0,1.4045147872102082,0.0,-6.486443049708756,-6.486443049708757,10,-6.486443049708757,-8.038227247313765,0.0,-8.038227247313765,-4.087585263719173,-6.486443049708756,7
-4.688129760329918,416000,8,10,1.3626912558619788,0.0,0.0,1.3626912558619788,0.0,-6.476966095601699,-6.476966095601699,10,-6.476966095601699,-9.081941792430955,0.0,-9.081941792430955,-4.688129760329918,-6.476966095601699,8
-4.683948606471061,440000,9,10,1.3471807370898432,0.0,0.0,1.3471807370898432,0.0,-6.275934126094834,-6.275934126094833,10,-6.275934126094833,-9.58797216240906,0.0,-9.58797216240906,-4.683948606471061,-6.275934126094834,9
-4.032858401011712,464000,10,10,1.6983717445889097,0.0,0.0,1.6983717445889097,0.0,-6.571653095426806,-6.571653095426806,10,-6.571653095426806,-8.831637145165553,0.0,-8.831637145165553,-4.032858401011712,-6.571653095426806,10
-4.222369455241579,488000,11,10,1.3596032502899578,0.0,0.0,1.3596032502899578,0.0,-6.363734717243955,-6.363734717243956,10,-6.363734717243956,-8.1994223115176,0.0,-8.1994223115176,-4.222369455241579,-6.363734717243955,11
-4.28885755166083,512000,12,10,1.2328229503132448,0.0,0.0,1.2328229503132448,0.0,-5.638808346077853,-5.6388083460778535,10,-5.6388083460778535,-7.719576021736445,0.0,-7.719576021736445,-4.28885755166083,-5.638808346077853,12
-5.138365106460557,536000,13,10,1.2719786809398337,0.0,0.0,1.2719786809398337,0.0,-7.24379380677467,-7.24379380677467,10,-7.24379380677467,-9.93966953344417,0.0,-9.93966953344417,-5.138365106460557,-7.24379380677467,13
-4.981426677579431,560000,14,10,1.5093303214098432,0.0,0.0,1.5093303214098432,0.0,-6.821519324155455,-6.821519324155453,10,-6.821519324155453,-8.939951474619578,0.0,-8.939951474619578,-4.981426677579431,-6.821519324155455,14
-3.922647070892792,584000,15,10,1.0799358606917122,0.0,0.0,1.0799358606917122,0.0,-5.3499533631541105,-5.34995336315411,10,-5.34995336315411,-7.020286515578156,0.0,-7.020286515578156,-3.922647070892792,-5.3499533631541105,15
-3.3981788133090163,608000,16,10,1.77746078658315,0.0,0.0,1.77746078658315,0.0,-5.794916784187343,-5.7949167841873415,10,-5.7949167841873415,-8.877815831370484,0.0,-8.877815831370484,-3.3981788133090163,-5.794916784187343,16
-3.161096842539374,632000,17,10,1.3765205764905823,0.0,0.0,1.3765205764905823,0.0,-5.538561532786793,-5.538561532786793,10,-5.538561532786793,-7.350347964501421,0.0,-7.350347964501421,-3.161096842539374,-5.538561532786793,17
-4.35483652003175,656000,18,10,1.0050715211365926,0.0,0.0,1.0050715211365926,0.0,-5.728515946282095,-5.728515946282095,10,-5.728515946282095,-7.643451351791067,0.0,-7.643451351791067,-4.35483652003175,-5.728515946282095,18
-2.7114279355423423,680000,19,10,1.1977229262244804,0.0,0.0,1.1977229262244804,0.0,-4.483741040664454,-4.483741040664453,10,-4.483741040664453,-6.617949691598865,0.0,-6.617949691598865,-2.7114279355423423,-4.483741040664454,19
-2.7583760528128285,704000,20,10,0.8788196720781252,0.0,0.0,0.8788196720781252,0.0,-3.7240678991817746,-3.7240678991817746,10,-3.7240678991817746,-5.482783821786223,0.0,-5.482783821786223,-2.7583760528128285,-3.7240678991817746,20
-2.821866636781591,728000,21,10,1.2396003690255866,0.0,0.0,1.2396003690255866,0.0,-4.345334481072901,-4.345334481072901,10,-4.345334481072901,-6.638359347202829,0.0,-6.638359347202829,-2.821866636781591,-4.345334481072901,21
-3.069046391220842,752000,22,10,0.7200048282885616,0.0,0.0,0.7200048282885616,0.0,-4.397803876141581,-4.39780387614158,10,-4.39780387614158,-5.692528745228219,0.0,-5.692528745228219,-3.069046391220842,-4.397803876141581,22
-3.5278307566293865,776000,23,10,1.0293796137231344,0.0,0.0,1.0293796137231344,0.0,-5.058043175902179,-5.058043175902178,10,-5.058043175902178,-6.803679045423299,0.0,-6.803679045423299,-3.5278307566293865,-5.058043175902179,23
-3.3980153809026135,800000,24,10,0.9828522133213223,0.0,0.0,0.9828522133213223,0.0,-4.53583740956436,-4.53583740956436,10,-4.53583740956436,-6.2746188973594,0.0,-6.2746188973594,-3.3980153809026135,-4.53583740956436,24
-2.390639772288683,824000,25,10,1.2766857546307149,0.0,0.0,1.2766857546307149,0.0,-3.965462499298758,-3.9654624992987557,10,-3.9654624992987557,-6.924329478078839,0.0,-6.924329478078839,-2.390639772288683,-3.965462499298758,25
-2.6745487335868807,848000,26,10,1.3024224239217568,0.0,0.0,1.3024224239217568,0.0,-4.544061806625319,-4.544061806625319,10,-4.544061806625319,-6.183875150894852,0.0,-6.183875150894852,-2.6745487335868807,-4.544061806625319,26
-2.516286881246453,872000,27,10,1.5282632525803352,0.0,0.0,1.5282632525803352,0.0,-4.289885375863599,-4.289885375863598,10,-4.289885375863598,-6.923089522264887,0.0,-6.923089522264887,-2.516286881246453,-4.289885375863599,27
-2.5947574658654395,896000,28,10,0.6062107217537179,0.0,0.0,0.6062107217537179,0.0,-3.7329510117738023,-3.732951011773804,10,-3.732951011773804,-4.484806019385258,0.0,-4.484806019385258,-2.5947574658654395,-3.7329510117738023,28
-2.271905414472737,920000,29,10,1.1147267189092367,0.0,0.0,1.1147267189092367,0.0,-3.6131920153229777,-3.613192015322979,10,-3.613192015322979,-6.168831132303557,0.0,-6.168831132303557,-2.271905414472737,-3.6131920153229777,29
-2.7129524245927255,944000,30,10,1.2269063220955876,0.0,0.0,1.2269063220955876,0.0,-4.25628690875158,-4.256286908751581,10,-4.256286908751581,-6.740504682849537,0.0,-6.740504682849537,-2.7129524245927255,-4.25628690875158,30
-2.885698125060139,968000,31,10,0.7117189690031439,0.0,0.0,0.7117189690031439,0.0,-3.7515995060783736,-3.7515995060783736,10,-3.7515995060783736,-5.152530720877707,0.0,-5.152530720877707,-2.885698125060139,-3.7515995060783736,31
-2.7252138891158273,992000,32,10,0.6524246249932705,0.0,0.0,0.6524246249932705,0.0,-3.436795517747664,-3.436795517747664,10,-3.436795517747664,-4.969292003245281,0.0,-4.969292003245281,-2.7252138891158273,-3.436795517747664,32
-2.6188607999792266,1016000,33,10,0.5528251649632734,0.0,0.0,0.5528251649632734,0.0,-3.2704113573343045,-3.2704113573343037,10,-3.2704113573343037,-4.307227698072124,0.0,-4.307227698072124,-2.6188607999792266,-3.2704113573343045,33
-2.496867601562113,1040000,34,10,1.0946378541217185,0.0,0.0,1.0946378541217185,0.0,-4.103061369982813,-4.103061369982811,10,-4.103061369982811,-5.874731281378347,0.0,-5.874731281378347,-2.496867601562113,-4.103061369982813,34
-2.8554639164957036,1064000,35,10,0.9195364047841099,0.0,0.0,0.9195364047841099,0.0,-3.963627234044118,-3.963627234044118,10,-3.963627234044118,-5.514222325684768,0.0,-5.514222325684768,-2.8554639164957036,-3.963627234044118,35
-2.4915875507525076,1088000,36,10,0.9118843164017724,0.0,0.0,0.9118843164017724,0.0,-3.4914142962087986,-3.4914142962087986,10,-3.4914142962087986,-5.725282033738133,0.0,-5.725282033738133,-2.4915875507525076,-3.4914142962087986,36
-2.802594576512337,1112000,37,10,0.6206987737293166,0.0,0.0,0.6206987737293166,0.0,-3.784527096339695,-3.784527096339695,10,-3.784527096339695,-4.875153342757789,0.0,-4.875153342757789,-2.802594576512337,-3.784527096339695,37
-2.6136731939829487,1136000,38,10,0.9323834613960617,0.0,0.0,0.9323834613960617,0.0,-3.8305675214581525,-3.8305675214581543,10,-3.8305675214581543,-5.112810155749537,0.0,-5.112810155749537,-2.6136731939829487,-3.8305675214581525,38
