MetaTest/soccer-v1/SuccessRate,MetaTest/Average/Iteration,MetaTest/Average/NumTrajs,MetaTest/Average/StdReturn,MetaTest/soccer-v1/MinReturn,MetaTest/soccer-v1/NumTrajs,MetaTest/soccer-v1/MaxReturn,MetaTest/Average/SuccessRate,TotalEnvSteps,MetaTest/soccer-v1/AverageDiscountedReturn,MetaTest/Average/TerminationRate,MetaTest/Average/MaxReturn,MetaTest/soccer-v1/AverageReturn,MetaTest/soccer-v1/Iteration,MetaTest/soccer-v1/TerminationRate,MetaTest/soccer-v1/StdReturn,MetaTest/Average/AverageReturn,MetaTest/Average/MinReturn,MetaTest/Average/AverageDiscountedReturn
0.0,0,10,504.4553869744926,-31.64116970908463,10,1410.961386047921,0.0,224000,219.55633282603085,0.0,1410.961386047921,219.556332826031,0,0.0,504.4553869744926,219.556332826031,-31.64116970908463,219.55633282603085
0.0,1,10,5.650332394826814,-58.475060771646184,10,-38.69119922102335,0.0,248000,-51.246422127758805,0.0,-38.69119922102335,-51.246422127758805,1,0.0,5.650332394826814,-51.246422127758805,-58.475060771646184,-51.246422127758805
0.0,2,10,21.7969105467587,-110.4176237039931,10,-35.70242095754393,0.0,272000,-90.39297092585419,0.0,-35.70242095754393,-90.3929709258542,2,0.0,21.7969105467587,-90.3929709258542,-110.4176237039931,-90.39297092585419
0.0,3,10,27.977318564092897,-113.372250525198,10,-37.74551231449992,0.0,296000,-83.7262089315398,0.0,-37.74551231449992,-83.72620893153976,3,0.0,27.977318564092897,-83.72620893153976,-113.372250525198,-83.7262089315398
0.0,4,10,6.331483759418494,-124.91649499856433,10,-101.02345845489222,0.0,320000,-110.86545142706677,0.0,-101.02345845489222,-110.8654514270668,4,0.0,6.331483759418494,-110.8654514270668,-124.91649499856433,-110.86545142706677
0.0,5,10,12.547275843223806,-116.93437748698074,10,-71.93689130255,0.0,344000,-85.89334832789362,0.0,-71.93689130255,-85.89334832789362,5,0.0,12.547275843223806,-85.89334832789362,-116.93437748698074,-85.89334832789362
0.0,6,10,17.32802616138745,-79.63947729052357,10,-20.03304236277547,0.0,368000,-43.284957082202425,0.0,-20.03304236277547,-43.28495708220244,6,0.0,17.32802616138745,-43.28495708220244,-79.63947729052357,-43.284957082202425
0.0,7,10,8.968815047526283,-107.05433485014869,10,-74.22517508794031,0.0,392000,-95.35450377750094,0.0,-74.22517508794031,-95.35450377750094,7,0.0,8.968815047526283,-95.35450377750094,-107.05433485014869,-95.35450377750094
0.0,8,10,27.284228219671043,-91.01070931240756,10,-19.290524980527344,0.0,416000,-51.17632443217654,0.0,-19.290524980527344,-51.17632443217657,8,0.0,27.284228219671043,-51.17632443217657,-91.01070931240756,-51.17632443217654
0.0,9,10,197.85973120036607,-103.14633128039392,10,587.9519123275938,0.0,440000,1.9603676812505426,0.0,587.9519123275938,1.9603676812504944,9,0.0,197.85973120036607,1.9603676812504944,-103.14633128039392,1.9603676812505426
0.0,10,10,28.703976921834432,-106.00856986207275,10,-24.58907205127566,0.0,464000,-58.39923579827384,0.0,-24.58907205127566,-58.3992357982738,10,0.0,28.703976921834432,-58.3992357982738,-106.00856986207275,-58.39923579827384
