MetaTrain/Average/Alpha,MetaTest/Average/NumTrajs,MetaTest/handle-press-v1/MaxReturn,TotalEnvSteps,MetaTest/handle-press-v1/AverageReturn,MetaTest/Average/MaxReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/handle-press-v1/AverageDiscountedReturn,MetaTrain/Average/AlphaLoss,MetaTest/handle-press-v1/SuccessRate,MetaTest/handle-press-v1/Iteration,MetaTest/Average/AverageReturn,MetaTest/handle-press-v1/TerminationRate,MetaTest/Average/Iteration,MetaTest/Average/MinReturn,MetaTest/handle-press-v1/NumTrajs,MetaTest/Average/SuccessRate,MetaTest/Average/StdReturn,MetaTest/Average/TerminationRate,MetaTest/handle-press-v1/StdReturn,MetaTrain/Average/QfLoss,MetaTrain/Average/PolicyLoss,MetaTest/handle-press-v1/MinReturn,MetaTrain/Average/ContrastiveLoss
nan,10,110340.22734544253,584000,64333.301721744414,110340.22734544253,64333.301721744414,64333.301721744414,-22.18528,0.1,15,64333.301721744414,0.0,15,1927.4598730923867,10,0.1,39346.01120649783,0.0,39346.01120649783,35024096.0,-102455.3,1927.4598730923867,432.2393
nan,10,114667.91675880377,608000,76166.97432825314,114667.91675880377,76166.97432825316,76166.97432825316,-22.082535,0.0,16,76166.97432825314,0.0,16,2168.613169724904,10,0.0,35822.30644786099,0.0,35822.30644786099,41442212.0,-120973.04,2168.613169724904,487.3881
nan,10,145758.13781562654,632000,65395.317808311236,145758.13781562654,65395.317808311236,65395.317808311236,-21.768637,0.4,17,65395.317808311236,0.0,17,1930.6278460026228,10,0.4,51119.18113158012,0.0,51119.18113158012,49348910.0,-134703.23,1930.6278460026228,521.7126
nan,10,130742.95542570432,656000,67929.76924260102,130742.95542570432,67929.76924260102,67929.76924260102,-22.11609,0.2,18,67929.76924260102,0.0,18,1906.2859878676018,10,0.2,36856.65076362884,0.0,36856.65076362884,56049320.0,-149027.9,1906.2859878676018,765.5825
nan,10,111934.82419566863,680000,44874.11759368598,111934.82419566863,44874.117593686,44874.117593686,-22.878891,0.2,19,44874.11759368598,0.0,19,-17.728760882943238,10,0.2,48023.393363687705,0.0,48023.393363687705,60867532.0,-168111.27,-17.728760882943238,698.6612
nan,10,160895.64003308612,704000,36610.43055525267,160895.64003308612,36610.430555252664,36610.430555252664,-21.514597,0.1,20,36610.43055525267,0.0,20,1433.1154534485415,10,0.1,48814.92667433236,0.0,48814.92667433236,67547510.0,-182728.95,1433.1154534485415,801.0452
nan,10,134103.36913655014,728000,30007.12131109728,134103.36913655014,30007.12131109726,30007.12131109726,-20.147896,0.2,21,30007.12131109728,0.0,21,-14.234157589071637,10,0.2,50863.123405274564,0.0,50863.123405274564,75797860.0,-192513.89,-14.234157589071637,828.1551
nan,10,121754.83998855304,752000,26567.54143853145,121754.83998855304,26567.54143853144,26567.54143853144,-19.588047,0.0,22,26567.54143853145,0.0,22,-83.58274062007605,10,0.0,43802.02301279829,0.0,43802.02301279829,79972770.0,-197931.39,-83.58274062007605,850.3265
nan,10,234842.89168679575,776000,100722.55582608201,234842.89168679575,100722.55582608201,100722.55582608201,-19.902393,0.5,23,100722.55582608201,0.0,23,3883.268716727003,10,0.5,75516.80153670668,0.0,75516.80153670668,84160420.0,-207198.8,3883.268716727003,856.2139
nan,10,240485.46825359153,800000,103390.25040886826,240485.46825359153,103390.25040886826,103390.25040886826,-20.600761,0.4,24,103390.25040886826,0.0,24,-76.76338072906437,10,0.4,80732.1292406757,0.0,80732.1292406757,89336520.0,-223801.88,-76.76338072906437,927.57227
nan,10,236585.20847420703,824000,47609.68590280218,236585.20847420703,47609.6859028022,47609.6859028022,-20.784542,0.4,25,47609.68590280218,0.0,25,-72.41387219571601,10,0.4,82579.77668812677,0.0,82579.77668812677,98159460.0,-238360.92,-72.41387219571601,850.2118
nan,10,206151.36056645567,848000,60286.03662629971,206151.36056645567,60286.03662629975,60286.03662629975,-20.921547,0.5,26,60286.03662629971,0.0,26,-56.28438630543895,10,0.5,76615.87526047627,0.0,76615.87526047627,106434290.0,-253155.42,-56.28438630543895,746.3139
nan,10,899.3502733260817,872000,37.2537445449759,899.3502733260817,37.25374454497583,37.25374454497583,-29.26654,0.0,27,37.2537445449759,0.0,27,-66.10093062270222,10,0.0,287.4038776237475,0.0,287.4038776237475,3271936300.0,-251025.5,-66.10093062270222,1336.7955
nan,10,-49.29582766153775,896000,-58.35892551472906,-49.29582766153775,-58.35892551472905,-58.35892551472905,-37.809658,0.0,28,-58.35892551472906,0.0,28,-66.5881782008875,10,0.0,5.526647732080739,0.0,5.526647732080739,113339816.0,-422683.1,-66.5881782008875,2635.4373
nan,10,1187.926130955116,920000,174.37426799660474,1187.926130955116,174.37426799660452,174.37426799660452,-36.505703,0.0,29,174.37426799660474,0.0,29,-20.99066513093682,10,0.0,400.4537411874095,0.0,400.4537411874095,41660050.0,-273794.34,-20.99066513093682,2096.2507
nan,10,1363.5543658181512,944000,436.98987403039234,1363.5543658181512,436.98987403039257,436.98987403039257,-36.46889,0.0,30,436.98987403039234,0.0,30,-64.40189865620425,10,0.0,537.312126681305,0.0,537.312126681305,87155690.0,-20814.06,-64.40189865620425,2177.4236
nan,10,112717.90624700792,968000,21077.853979895986,112717.90624700792,21077.853979895986,21077.853979895986,-36.703274,0.2,31,21077.853979895986,0.0,31,-45.54310358831876,10,0.2,35811.83421337712,0.0,35811.83421337712,11176198.0,-19959.377,-45.54310358831876,1105.425
nan,10,223650.41517002298,992000,132350.288467111,223650.41517002298,132350.28846711104,132350.28846711104,-29.69282,0.6,32,132350.288467111,0.0,32,61187.43121693385,10,0.6,68051.29372685321,0.0,68051.29372685321,23142952.0,-45205.176,61187.43121693385,743.3717
nan,10,238646.19373498624,1016000,128746.14196836548,238646.19373498624,128746.14196836545,128746.14196836545,-23.161015,0.9,33,128746.14196836548,0.0,33,9953.694505166324,10,0.9,80694.25064988472,0.0,80694.25064988472,38299988.0,-72515.63,9953.694505166324,649.94226
nan,10,259071.52354345057,1040000,125342.85720485557,259071.52354345057,125342.85720485561,125342.85720485561,-19.545872,0.5,34,125342.85720485557,0.0,34,28673.224277788056,10,0.5,71467.6196272499,0.0,71467.6196272499,55345036.0,-99992.64,28673.224277788056,492.35593
nan,10,145648.91278282847,1064000,112637.6378474319,145648.91278282847,112637.63784743189,112637.63784743189,-18.641602,0.3,35,112637.6378474319,0.0,35,94247.21092861745,10,0.3,13707.894592725857,0.0,13707.894592725857,72055780.0,-128699.01,94247.21092861745,358.3178
nan,10,238379.83061390082,1088000,149387.2498920575,238379.83061390082,149387.24989205747,149387.24989205747,-18.584896,0.6,36,149387.2498920575,0.0,36,71080.5180164011,10,0.6,58377.48730913873,0.0,58377.48730913873,89949144.0,-157575.69,71080.5180164011,291.9985
nan,10,281342.20901831036,1112000,214849.03765341188,281342.20901831036,214849.0376534119,214849.0376534119,-18.80323,1.0,37,214849.03765341188,0.0,37,91748.20757117166,10,1.0,61936.97132848341,0.0,61936.97132848341,108927230.0,-189693.95,91748.20757117166,280.03436
nan,10,269436.77476514375,1136000,181884.38712302275,269436.77476514375,181884.3871230227,181884.3871230227,-19.632233,1.0,38,181884.38712302275,0.0,38,93132.57566652072,10,1.0,56750.64790214806,0.0,56750.64790214806,126238360.0,-219919.42,93132.57566652072,273.69693
nan,10,237737.37468993966,1160000,151098.91551725008,237737.37468993966,151098.91551725005,151098.91551725005,-20.557905,1.0,39,151098.91551725008,0.0,39,71561.97571214547,10,1.0,47386.87129808272,0.0,47386.87129808272,141550540.0,-245269.25,71561.97571214547,292.90775
nan,10,247062.13574262263,1184000,152709.5822541247,247062.13574262263,152709.58225412466,152709.58225412466,-21.242008,0.7,40,152709.5822541247,0.0,40,11870.964585144782,10,0.7,82114.12410211322,0.0,82114.12410211322,155653900.0,-275530.2,11870.964585144782,464.69324
nan,10,281573.53152795247,1208000,160538.05761204258,281573.53152795247,160538.05761204255,160538.05761204255,-21.650324,0.6,41,160538.05761204258,0.0,41,16931.16509315306,10,0.6,88508.98519466762,0.0,88508.98519466762,169128560.0,-305500.1,16931.16509315306,431.77133
nan,10,242191.89134132673,1232000,178498.92917357085,242191.89134132673,178498.92917357088,178498.92917357088,-22.060331,0.8,42,178498.92917357085,0.0,42,63520.14821803362,10,0.8,57195.82696481533,0.0,57195.82696481533,180696930.0,-336929.16,63520.14821803362,328.6
nan,10,217997.1675046074,1256000,152647.8580523017,217997.1675046074,152647.8580523017,152647.8580523017,-22.363445,0.8,43,152647.8580523017,0.0,43,11617.879184295003,10,0.8,69565.59038677438,0.0,69565.59038677438,194981180.0,-363154.56,11617.879184295003,539.3049
nan,10,269405.42671025766,1280000,161216.68429216516,269405.42671025766,161216.68429216518,161216.68429216518,-23.02,0.7,44,161216.68429216516,0.0,44,41413.00336421056,10,0.7,81388.21609346969,0.0,81388.21609346969,204959260.0,-386344.97,41413.00336421056,488.6622
nan,10,255528.72796072558,1304000,155656.47567178213,255528.72796072558,155656.4756717821,155656.4756717821,-24.229052,0.8,45,155656.47567178213,0.0,45,56478.16362339345,10,0.8,70019.31994836553,0.0,70019.31994836553,215041490.0,-418331.0,56478.16362339345,499.8038
nan,10,245522.44182268198,1328000,162681.56438496368,245522.44182268198,162681.56438496365,162681.56438496365,-25.235199,0.7,46,162681.56438496368,0.0,46,71778.08394370214,10,0.7,54446.76430900129,0.0,54446.76430900129,224496060.0,-447316.22,71778.08394370214,492.9325
nan,10,274457.780812943,1352000,149640.99520971673,274457.780812943,149640.99520971667,149640.99520971667,-25.544744,0.5,47,149640.99520971673,0.0,47,61696.46625078523,10,0.5,63956.30301063833,0.0,63956.30301063833,229709150.0,-463566.06,61696.46625078523,380.78342
nan,10,269197.73277385766,1376000,139560.74690576954,269197.73277385766,139560.74690576954,139560.74690576954,-26.136532,0.5,48,139560.74690576954,0.0,48,39396.07800098106,10,0.5,61512.1007002399,0.0,61512.1007002399,226764320.0,-481439.7,39396.07800098106,356.05792
nan,10,257961.42298206434,1400000,163531.296223398,257961.42298206434,163531.296223398,163531.296223398,-26.131178,0.5,49,163531.296223398,0.0,49,98722.5368282196,10,0.5,59197.619299303034,0.0,59197.619299303034,224344180.0,-501080.44,98722.5368282196,336.15686
nan,10,264928.8942064048,1424000,173238.03491970513,264928.8942064048,173238.03491970515,173238.03491970515,-26.321953,0.7,50,173238.03491970513,0.0,50,12201.92879669845,10,0.7,73182.5627352748,0.0,73182.5627352748,221417860.0,-522760.78,12201.92879669845,427.84198
nan,10,275505.98848994006,1448000,152783.43099324236,275505.98848994006,152783.4309932424,152783.4309932424,-26.622118,0.9,51,152783.43099324236,0.0,51,13810.076928758104,10,0.9,75739.26388142427,0.0,75739.26388142427,222988270.0,-539708.1,13810.076928758104,447.18372
nan,10,285532.3972739013,1472000,176017.10893718924,285532.3972739013,176017.10893718922,176017.10893718922,-26.93213,0.8,52,176017.10893718924,0.0,52,23138.2785212252,10,0.8,83533.94910173533,0.0,83533.94910173533,222494430.0,-553999.06,23138.2785212252,353.66388
nan,10,243729.19958345869,1496000,171180.91154512792,243729.19958345869,171180.91154512795,171180.91154512795,-27.310719,0.8,53,171180.91154512792,0.0,53,67747.01369599177,10,0.8,53101.92421200478,0.0,53101.92421200478,224351820.0,-565028.1,67747.01369599177,326.81772
nan,10,279167.1156997663,1520000,170009.8589235783,279167.1156997663,170009.8589235783,170009.8589235783,-27.061184,0.7,54,170009.8589235783,0.0,54,56840.70251590898,10,0.7,66998.15010953214,0.0,66998.15010953214,229021460.0,-571362.06,56840.70251590898,305.2982
nan,10,269476.3966007796,1544000,162981.46688395986,269476.3966007796,162981.46688395983,162981.46688395983,-26.732704,0.6,55,162981.46688395986,0.0,55,62263.871803031354,10,0.6,72908.30052566681,0.0,72908.30052566681,234542900.0,-579251.9,62263.871803031354,334.01193
nan,10,278919.46998227143,1568000,170310.327670927,278919.46998227143,170310.32767092704,170310.32767092704,-26.46493,0.7,56,170310.327670927,0.0,56,80072.31637246806,10,0.7,70739.32230018334,0.0,70739.32230018334,242393090.0,-580547.75,80072.31637246806,297.66025
nan,10,262778.4785424139,1592000,166790.31587097462,262778.4785424139,166790.31587097468,166790.31587097468,-26.646864,1.0,57,166790.31587097462,0.0,57,58982.13472176215,10,1.0,76878.53016696461,0.0,76878.53016696461,258302140.0,-583436.8,58982.13472176215,327.9827
nan,10,269725.1099497713,1616000,148309.19749775506,269725.1099497713,148309.19749775503,148309.19749775503,-26.877735,0.8,58,148309.19749775506,0.0,58,11530.907257362975,10,0.8,72847.237901079,0.0,72847.237901079,271185180.0,-591575.9,11530.907257362975,332.41312
nan,10,247262.21674036948,1640000,121088.61950661635,247262.21674036948,121088.61950661645,121088.61950661645,-26.966375,0.7,59,121088.61950661635,0.0,59,-18.720532411375963,10,0.7,67850.71937843571,0.0,67850.71937843571,279588830.0,-596523.6,-18.720532411375963,273.1062
nan,10,254450.2919804057,1664000,148269.72316553688,254450.2919804057,148269.72316553688,148269.72316553688,-26.819134,0.6,60,148269.72316553688,0.0,60,74548.77513560165,10,0.6,60851.50118378862,0.0,60851.50118378862,288016740.0,-601888.3,74548.77513560165,256.49115
nan,10,266493.39595107484,1688000,185370.71131509013,266493.39595107484,185370.71131509007,185370.71131509007,-26.744555,0.9,61,185370.71131509013,0.0,61,1434.8968297544716,10,0.9,77208.85869537527,0.0,77208.85869537527,290133980.0,-614105.75,1434.8968297544716,296.52664
nan,10,244575.22257079443,1712000,143491.0521708227,244575.22257079443,143491.05217082275,143491.05217082275,-26.631912,0.8,62,143491.0521708227,0.0,62,-17.90631796072183,10,0.8,74482.1721461009,0.0,74482.1721461009,288927700.0,-620083.06,-17.90631796072183,262.6693
nan,10,272686.64109027205,1736000,164406.4435603476,272686.64109027205,164406.4435603476,164406.4435603476,-26.692425,0.8,63,164406.4435603476,0.0,63,67913.78441629194,10,0.8,66975.58140668602,0.0,66975.58140668602,294994300.0,-621283.3,67913.78441629194,308.8684
nan,10,271300.33886543027,1760000,181161.95055153937,271300.33886543027,181161.9505515394,181161.9505515394,-27.095776,0.9,64,181161.95055153937,0.0,64,98424.32007693088,10,0.9,50291.63395791173,0.0,50291.63395791173,307187780.0,-624731.0,98424.32007693088,253.33061
nan,10,227490.45376067646,1784000,143379.0569914027,227490.45376067646,143379.05699140273,143379.05699140273,-27.443195,0.4,65,143379.0569914027,0.0,65,55680.56278436441,10,0.4,55581.927534285765,0.0,55581.927534285765,320481340.0,-624257.44,55680.56278436441,354.42993
nan,10,247312.56960013555,1808000,154955.44412813731,247312.56960013555,154955.44412813726,154955.44412813726,-27.640837,0.7,66,154955.44412813731,0.0,66,63038.933671095154,10,0.7,59639.91366249005,0.0,59639.91366249005,322102140.0,-611557.0,63038.933671095154,426.30243
nan,10,265400.67927207,1832000,156679.49617211477,265400.67927207,156679.49617211468,156679.49617211468,-27.092438,0.8,67,156679.49617211477,0.0,67,11317.99170424993,10,0.8,81882.87231312065,0.0,81882.87231312065,343517950.0,-630897.25,11317.99170424993,223.22827
nan,10,266740.28410258284,1856000,171564.9412974046,266740.28410258284,171564.9412974046,171564.9412974046,-25.967155,1.0,68,171564.9412974046,0.0,68,57313.01315923505,10,1.0,72399.14512104387,0.0,72399.14512104387,333121380.0,-633876.56,57313.01315923505,247.56088
nan,10,268873.05502453126,1880000,175115.3486623322,268873.05502453126,175115.34866233222,175115.34866233222,-26.072792,0.8,69,175115.3486623322,0.0,69,71437.3726227698,10,0.8,67988.93244638805,0.0,67988.93244638805,329548770.0,-631090.2,71437.3726227698,260.75836
nan,10,264023.13574634766,1904000,139745.2462840848,264023.13574634766,139745.24628408483,139745.24628408483,-26.086626,0.7,70,139745.2462840848,0.0,70,-15.122895576407236,10,0.7,99545.52913901999,0.0,99545.52913901999,323419360.0,-628647.7,-15.122895576407236,288.01407
nan,10,279028.3094055297,1928000,159194.8273690688,279028.3094055297,159194.8273690688,159194.8273690688,-25.7775,0.6,71,159194.8273690688,0.0,71,5331.03723420215,10,0.6,102871.86955544204,0.0,102871.86955544204,317330460.0,-625947.9,5331.03723420215,250.639
nan,10,281351.66232615954,1952000,207007.95702305262,281351.66232615954,207007.95702305262,207007.95702305262,-25.771547,1.0,72,207007.95702305262,0.0,72,122420.73662275783,10,1.0,48130.47551213548,0.0,48130.47551213548,316181950.0,-623266.44,122420.73662275783,227.82587
nan,10,283059.5932963541,1976000,196922.18479298643,283059.5932963541,196922.18479298643,196922.18479298643,-26.039976,0.8,73,196922.18479298643,0.0,73,62523.073138080865,10,0.8,77312.07825024071,0.0,77312.07825024071,316953470.0,-628423.94,62523.073138080865,222.4635
nan,10,282698.21065264515,2000000,213446.2176372405,282698.21065264515,213446.2176372405,213446.2176372405,-26.209383,0.9,74,213446.2176372405,0.0,74,87653.97874409216,10,0.9,61885.21152381945,0.0,61885.21152381945,315939500.0,-631485.2,87653.97874409216,174.28528
nan,10,280579.80204310507,2024000,233325.6349326064,280579.80204310507,233325.6349326064,233325.6349326064,-26.196075,1.0,75,233325.6349326064,0.0,75,170864.5095692993,10,1.0,40110.78425171185,0.0,40110.78425171185,322891550.0,-638285.56,170864.5095692993,149.5377
nan,10,258678.38745791718,2048000,162867.69481563725,258678.38745791718,162867.69481563725,162867.69481563725,-25.972626,0.9,76,162867.69481563725,0.0,76,66140.22196852381,10,0.9,58875.32883307301,0.0,58875.32883307301,329188030.0,-642954.4,66140.22196852381,141.74442
nan,10,275707.19401864056,2072000,174874.69847144245,275707.19401864056,174874.69847144248,174874.69847144248,-25.87812,1.0,77,174874.69847144245,0.0,77,80435.05534673751,10,1.0,79561.29412094486,0.0,79561.29412094486,330432700.0,-649122.6,80435.05534673751,162.32794
nan,10,290471.79588313407,2096000,176825.3602575309,290471.79588313407,176825.360257531,176825.360257531,-27.127602,0.8,78,176825.3602575309,0.0,78,50617.24187845606,10,0.8,76305.26217962158,0.0,76305.26217962158,356211780.0,-625309.2,50617.24187845606,176.01103
nan,10,282500.5003065244,2120000,199237.79548632138,282500.5003065244,199237.79548632138,199237.79548632138,-25.955105,0.9,79,199237.79548632138,0.0,79,80704.43139986909,10,0.9,75743.1735137217,0.0,75743.1735137217,329893020.0,-640531.7,80704.43139986909,250.19882
nan,10,280406.66575448227,2144000,142456.1922946726,280406.66575448227,142456.19229467266,142456.19229467266,-25.605824,0.6,80,142456.1922946726,0.0,80,27413.84753373023,10,0.6,89031.59552175995,0.0,89031.59552175995,327674560.0,-637773.56,27413.84753373023,248.97002
nan,10,281013.6237767446,2168000,216610.36254787626,281013.6237767446,216610.36254787617,216610.36254787617,-25.59111,0.9,81,216610.36254787626,0.0,81,69849.85476200731,10,0.9,70532.49040982829,0.0,70532.49040982829,331128600.0,-638822.1,69849.85476200731,227.23154
nan,10,281866.37098023365,2192000,169446.47693384494,281866.37098023365,169446.47693384494,169446.47693384494,-25.710762,0.8,82,169446.47693384494,0.0,82,10878.681409836592,10,0.8,92915.43728251396,0.0,92915.43728251396,325332860.0,-643827.94,10878.681409836592,226.71834
nan,10,292607.81653920945,2216000,206949.9194197191,292607.81653920945,206949.9194197191,206949.9194197191,-25.602707,0.9,83,206949.9194197191,0.0,83,47450.988683671894,10,0.9,78372.47714031751,0.0,78372.47714031751,332346050.0,-647857.94,47450.988683671894,250.87498
nan,10,282019.93081843806,2240000,184201.80493710248,282019.93081843806,184201.80493710248,184201.80493710248,-25.627234,0.9,84,184201.80493710248,0.0,84,78455.67712150796,10,0.9,64234.23321594278,0.0,64234.23321594278,337622880.0,-654790.8,78455.67712150796,244.40062
nan,10,281842.9181657096,2264000,189465.0543816458,281842.9181657096,189465.05438164578,189465.05438164578,-25.876242,1.0,85,189465.0543816458,0.0,85,73975.15243794763,10,1.0,57613.663142061036,0.0,57613.663142061036,335085440.0,-659841.0,73975.15243794763,289.10855
nan,10,255698.0325383553,2288000,204307.9053286206,255698.0325383553,204307.90532862066,204307.90532862066,-25.721542,0.9,86,204307.9053286206,0.0,86,16801.29987216962,10,0.9,65694.93607737058,0.0,65694.93607737058,333695100.0,-662465.44,16801.29987216962,275.46674
nan,10,270703.88106463104,2312000,187314.87590428774,270703.88106463104,187314.87590428768,187314.87590428768,-25.816317,0.9,87,187314.87590428774,0.0,87,94425.31002505995,10,0.9,63389.989364550114,0.0,63389.989364550114,334264960.0,-665581.94,94425.31002505995,261.18585
nan,10,287294.1498360002,2336000,183463.20935871833,287294.1498360002,183463.20935871833,183463.20935871833,-25.59372,0.9,88,183463.20935871833,0.0,88,42905.309678226906,10,0.9,78505.71515504329,0.0,78505.71515504329,331457340.0,-670115.3,42905.309678226906,244.22049
nan,10,262258.92208865297,2360000,153971.90210385853,262258.92208865297,153971.90210385856,153971.90210385856,-25.824352,1.0,89,153971.90210385853,0.0,89,65733.0533365183,10,1.0,67757.52046864171,0.0,67757.52046864171,329270750.0,-674729.56,65733.0533365183,238.72293
nan,10,281827.9024572593,2384000,208818.8992565437,281827.9024572593,208818.8992565437,208818.8992565437,-26.038887,0.8,90,208818.8992565437,0.0,90,113351.42955058298,10,0.8,66561.489199168,0.0,66561.489199168,331350400.0,-674871.06,113351.42955058298,248.67531
nan,10,265446.2202611625,2408000,177110.7539896509,265446.2202611625,177110.75398965084,177110.75398965084,-26.173683,0.7,91,177110.7539896509,0.0,91,11686.180383475814,10,0.7,87095.95516522693,0.0,87095.95516522693,337435420.0,-677176.44,11686.180383475814,295.8468
nan,10,291498.1017677192,2432000,201148.9105347998,291498.1017677192,201148.91053479974,201148.91053479974,-26.270855,0.8,92,201148.9105347998,0.0,92,97354.5630364615,10,0.8,71005.88477665008,0.0,71005.88477665008,338673570.0,-681625.2,97354.5630364615,292.72134
nan,10,272762.78457242466,2456000,178119.8269543606,272762.78457242466,178119.82695436061,178119.82695436061,-26.587805,0.8,93,178119.8269543606,0.0,93,68173.51620245789,10,0.8,68959.62349872553,0.0,68959.62349872553,340320320.0,-685300.2,68173.51620245789,329.05692
nan,10,276606.917833796,2480000,229987.45980544185,276606.917833796,229987.4598054418,229987.4598054418,-26.721153,0.9,94,229987.45980544185,0.0,94,124451.03951803072,10,0.9,52217.28866411468,0.0,52217.28866411468,340541500.0,-689283.3,124451.03951803072,340.8196
nan,10,267106.6413830213,2504000,189502.32767939617,267106.6413830213,189502.32767939614,189502.32767939614,-26.749378,1.0,95,189502.32767939617,0.0,95,101642.23355362698,10,1.0,57414.12632959876,0.0,57414.12632959876,340373100.0,-691059.2,101642.23355362698,358.61743
nan,10,281232.1830171419,2528000,241976.07431276882,281232.1830171419,241976.07431276873,241976.07431276873,-26.790384,1.0,96,241976.07431276882,0.0,96,205646.46066930104,10,1.0,27020.44052282219,0.0,27020.44052282219,340504420.0,-694891.94,205646.46066930104,368.20102
