MetaTest/drawer-close-v1/Iteration,MetaTest/drawer-close-v1/MaxReturn,MetaTest/drawer-close-v1/AverageDiscountedReturn,MetaTest/drawer-close-v1/MinReturn,MetaTest/drawer-close-v1/AverageReturn,MetaTest/Average/AverageReturn,MetaTest/drawer-close-v1/TerminationRate,MetaTest/Average/StdReturn,MetaTest/drawer-close-v1/NumEpisodes,MetaTest/Average/SuccessRate,MetaTrain/Average/AlphaLoss,MetaTest/Average/TerminationRate,MetaTrain/Average/PolicyLoss,MetaTest/Average/MaxReturn,MetaTrain/Average/Alpha,MetaTest/Average/NumEpisodes,MetaTest/Average/Iteration,MetaTrain/Average/QfLoss,MetaTest/drawer-close-v1/SuccessRate,MetaTest/drawer-close-v1/StdReturn,TotalEnvSteps,MetaTest/Average/MinReturn,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/ContrastiveLoss
10,24.848492363326862,-50.15003275604393,-75.04430109225567,-50.150032756043935,-50.150032756043935,0.0,27.27442947009916,10,0.0,4.2887697,0.0,-9177.836,24.848492363326862,4.867903,10,10,158914.44,0.0,27.27442947009916,464000,-75.04430109225567,-50.15003275604393,913.55
11,-17.197622372355482,-34.611196473204494,-55.51844799806222,-34.61119647320449,-34.61119647320449,0.0,11.366629246343749,10,0.3,2.0617201,0.0,-10422.452,-17.197622372355482,4.3387237,10,11,150268.69,0.3,11.366629246343749,488000,-55.51844799806222,-34.611196473204494,2262.7896
12,-13.05240736818736,-33.87042586981989,-57.43285296427143,-33.87042586981987,-33.87042586981987,0.0,18.21761080142242,10,0.1,1.3443488,0.0,-7645.016,-13.05240736818736,3.638956,10,12,126165.88,0.1,18.21761080142242,512000,-57.43285296427143,-33.87042586981989,1662.6418
13,-33.75661063347196,-81.37857449888517,-99.90759433903322,-81.37857449888517,-81.37857449888517,0.0,23.559511084405138,10,0.2,3.1641655,0.0,-7327.052,-33.75661063347196,3.1004915,10,13,119848.44,0.2,23.559511084405138,536000,-99.90759433903322,-81.37857449888517,2235.991
14,-89.71352256746817,-97.95379649916127,-104.66155723217085,-97.95379649916123,-97.95379649916123,0.0,3.903915427328466,10,0.0,3.2501714,0.0,-5145.891,-89.71352256746817,2.0325243,10,14,60954.3,0.0,3.903915427328466,560000,-104.66155723217085,-97.95379649916127,1642.6052
15,-11.72805944378778,-26.315193715562106,-58.66825157308083,-26.31519371556211,-26.31519371556211,0.0,15.326570990928595,10,0.0,6.077678,0.0,-483.53043,-11.72805944378778,1.1503943,10,15,22076.928,0.0,15.326570990928595,584000,-58.66825157308083,-26.315193715562106,740.3585
16,-14.848751273426151,-33.971898694379746,-79.19293326569709,-33.971898694379746,-33.971898694379746,0.0,24.80963332763768,10,0.0,3.4135084,0.0,-48.10046,-14.848751273426151,0.6831477,10,16,13755.716,0.0,24.80963332763768,608000,-79.19293326569709,-33.971898694379746,160.86192
17,272.51722126313626,-9.603790623134865,-81.23984597303932,-9.603790623134888,-9.603790623134888,0.0,96.61977980759673,10,0.0,1.556985,0.0,-155.08983,272.51722126313626,0.42547628,10,17,14157.132,0.0,96.61977980759673,632000,-81.23984597303932,-9.603790623134865,109.48143
18,-14.035280127881713,-41.70225115217775,-107.98280541019646,-41.70225115217775,-41.70225115217775,0.0,34.48554508911983,10,0.2,0.8072503,0.0,18.078285,-14.035280127881713,0.2695402,10,18,13434.938,0.2,34.48554508911983,656000,-107.98280541019646,-41.70225115217775,69.5499
19,-17.980109308180943,-34.01782722252046,-87.7415387363601,-34.01782722252046,-34.01782722252046,0.0,19.490979660970137,10,0.5,0.32608277,0.0,111.1613,-17.980109308180943,0.17624076,10,19,12356.913,0.5,19.490979660970137,680000,-87.7415387363601,-34.01782722252046,83.46481
20,-16.275650925799834,-25.662143341254485,-48.24536674635272,-25.662143341254495,-25.662143341254495,0.0,9.919841917857863,10,0.0,0.114373796,0.0,155.71591,-16.275650925799834,0.13969727,10,20,12971.862,0.0,9.919841917857863,704000,-48.24536674635272,-25.662143341254485,74.732185
21,1091.5844756937793,130.651307105106,-105.722052186837,130.65130710510593,130.65130710510593,0.0,359.7576701998332,10,0.0,-0.14097522,0.0,-154.12225,1091.5844756937793,0.14558618,10,21,15401.367,0.0,359.7576701998332,728000,-105.722052186837,130.651307105106,127.71591
22,-22.987197256830875,-27.965352804776025,-38.26048253736231,-27.96535280477603,-27.96535280477603,0.0,4.360080096242827,10,0.6,-0.0038293381,0.0,-160.07095,-22.987197256830875,0.19391204,10,22,12149.903,0.6,4.360080096242827,752000,-38.26048253736231,-27.965352804776025,142.90204
23,1915.1260660448577,177.02756729563572,-54.561763693149324,177.02756729563558,177.02756729563558,0.0,580.5719649690628,10,0.5,0.17693478,0.0,63.22262,1915.1260660448577,0.14746976,10,23,11029.498,0.5,580.5719649690628,776000,-54.561763693149324,177.02756729563572,115.57244
24,-29.932808245352017,-52.18005177125368,-74.22489414372643,-52.180051771253694,-52.180051771253694,0.0,14.871351129304523,10,0.0,0.057714164,0.0,28.85631,-29.932808245352017,0.10948232,10,24,11360.156,0.0,14.871351129304523,800000,-74.22489414372643,-52.18005177125368,183.55452
25,-15.006037764739611,-36.00944242948204,-74.26986896757217,-36.00944242948205,-36.00944242948205,0.0,22.123444889732173,10,0.1,-0.34734848,0.0,-711.5203,-15.006037764739611,0.14410086,10,25,12142.574,0.1,22.123444889732173,824000,-74.26986896757217,-36.00944242948204,166.75522
26,32181.251554230006,3191.39968519959,-68.78769172019513,3191.3996851995917,3191.3996851995917,0.0,9663.298126749965,10,0.5,-0.4589903,0.0,-1689.051,32181.251554230006,0.22329819,10,26,91818.58,0.5,9663.298126749965,848000,-68.78769172019513,3191.39968519959,3509.1455
27,577.1882803197396,-7.949517613312364,-100.10743582300702,-7.949517613312452,-7.949517613312452,0.0,196.34393325157333,10,0.1,-2.181168,0.0,-3344.5244,577.1882803197396,0.40920842,10,27,106144.26,0.1,196.34393325157333,872000,-100.10743582300702,-7.949517613312364,322.4943
28,-17.23242953941632,-74.09401740963031,-117.98927043284073,-74.09401740963028,-74.09401740963028,0.0,32.943463175575346,10,0.2,-1.63258,0.0,-3539.3005,-17.23242953941632,0.6828704,10,28,118160.11,0.2,32.943463175575346,896000,-117.98927043284073,-74.09401740963031,140.67302
29,76.81573612418285,-48.27110572427887,-74.43579070687889,-48.27110572427888,-48.27110572427888,0.0,42.95570676257383,10,0.0,-2.1295292,0.0,-5448.797,76.81573612418285,1.2045666,10,29,133700.06,0.0,42.95570676257383,920000,-74.43579070687889,-48.27110572427887,116.855286
30,-16.36919740475235,-24.744792312955493,-31.323896503656986,-24.744792312955504,-24.744792312955504,0.0,4.778366245874146,10,0.8,1.8860795,0.0,-1433.7042,-16.36919740475235,1.1815264,10,30,104328.27,0.8,4.778366245874146,944000,-31.323896503656986,-24.744792312955493,1350.2432
31,-66.3199144973167,-92.1421577826292,-103.77294976546183,-92.14215778262918,-92.14215778262918,0.0,13.74759778335645,10,0.0,1.4002042,0.0,-880.5588,-66.3199144973167,0.7992214,10,31,111936.79,0.0,13.74759778335645,968000,-103.77294976546183,-92.1421577826292,2416.2498
32,-44.709443494885356,-47.232545453426894,-49.12882405959993,-47.23254545342689,-47.23254545342689,0.0,1.3155859657354918,10,0.2,-1.8568038,0.0,-4092.4585,-44.709443494885356,0.6982685,10,32,359454.66,0.2,1.3155859657354918,992000,-49.12882405959993,-47.232545453426894,7696.1016
33,-15.61206212824754,-33.61576113811055,-103.86450171215915,-33.61576113811054,-33.61576113811054,0.0,24.761409290118433,10,0.6,-0.902739,0.0,-2822.9604,-15.61206212824754,0.9814484,10,33,120220.12,0.6,24.761409290118433,1016000,-103.86450171215915,-33.61576113811055,7002.832
34,-28.054500887985494,-40.338681525240425,-49.403749494745256,-40.33868152524041,-40.33868152524041,0.0,6.761965251464218,10,0.1,0.8337471,0.0,-2310.9626,-28.054500887985494,1.4136977,10,34,10367884.0,0.1,6.761965251464218,1040000,-49.403749494745256,-40.338681525240425,27944.52
35,-26.698765112647376,-80.73485669816147,-113.63924811488302,-80.73485669816152,-80.73485669816152,0.0,29.527394302073386,10,0.1,0.98153013,0.0,-2514.7754,-26.698765112647376,1.219915,10,35,123428.484,0.1,29.527394302073386,1064000,-113.63924811488302,-80.73485669816147,6350.3765
36,-103.39200087857348,-113.31019818896812,-119.09477776054405,-113.31019818896807,-113.31019818896807,0.0,5.325397946571219,10,0.0,1.7840922,0.0,-73.99067,-103.39200087857348,0.7967224,10,36,139246.94,0.0,5.325397946571219,1088000,-119.09477776054405,-113.31019818896812,8964.652
37,-58.61397212789466,-84.28590960567985,-95.73124970852258,-84.28590960567985,-84.28590960567985,0.0,10.715370108228079,10,0.0,1.0336382,0.0,545.44366,-58.61397212789466,0.49592867,10,37,112219.41,0.0,10.715370108228079,1112000,-95.73124970852258,-84.28590960567985,8496.868
38,-77.11312712084388,-86.12063760728233,-96.44342891041639,-86.1206376072823,-86.1206376072823,0.0,5.344865096874299,10,0.0,0.4964419,0.0,852.6985,-77.11312712084388,0.35030997,10,38,105439.36,0.0,5.344865096874299,1136000,-96.44342891041639,-86.12063760728233,4459.665
39,-14.332813307361105,-24.806377089788825,-44.65690368033929,-24.80637708978883,-24.80637708978883,0.0,8.46400950977235,10,0.4,0.01627536,0.0,557.0622,-14.332813307361105,0.27327862,10,39,93129.74,0.4,8.46400950977235,1160000,-44.65690368033929,-24.806377089788825,1279.0437
40,1802.9008093995083,154.7334077267793,-45.29406785108505,154.73340772677938,154.73340772677938,0.0,549.4326607285715,10,0.5,-0.5638587,0.0,-682.1561,1802.9008093995083,0.36173472,10,40,214950.84,0.5,549.4326607285715,1184000,-45.29406785108505,154.7334077267793,17589.252
41,-12.941307074498262,-49.21086040450124,-107.89252939482677,-49.21086040450124,-49.21086040450124,0.0,34.741639295611044,10,0.0,-0.50263834,0.0,-1980.0515,-12.941307074498262,0.59582293,10,41,181271.03,0.0,34.741639295611044,1208000,-107.89252939482677,-49.21086040450124,6938.828
42,-18.560581866636998,-36.79681962800423,-81.47773580488874,-36.79681962800423,-36.79681962800423,0.0,22.180501389239026,10,0.4,0.8511435,0.0,-107.62719,-18.560581866636998,0.47902218,10,42,174246.44,0.4,22.180501389239026,1232000,-81.47773580488874,-36.79681962800423,4270.387
43,-13.193930056695109,-26.62108477056737,-60.81454376557544,-26.621084770567375,-26.621084770567375,0.0,13.733668520449335,10,0.3,-0.04056011,0.0,-1033.1191,-13.193930056695109,0.3818789,10,43,194004.58,0.3,13.733668520449335,1256000,-60.81454376557544,-26.62108477056737,13598.994
44,117.94955771217215,-36.51950332817662,-98.87606955991751,-36.519503328176654,-36.519503328176654,0.0,59.74128752051242,10,0.0,-0.5317674,0.0,-2210.155,117.94955771217215,0.50744915,10,44,276833.22,0.0,59.74128752051242,1280000,-98.87606955991751,-36.51950332817662,50028.66
45,-24.816895418993838,-42.93757457930003,-71.55091047412914,-42.93757457930002,-42.93757457930002,0.0,15.77439362109287,10,0.4,-0.7533419,0.0,-3940.661,-24.816895418993838,0.66957647,10,45,286533.1,0.4,15.77439362109287,1304000,-71.55091047412914,-42.93757457930003,9375.859
46,-24.7612688510362,-66.21156603880652,-113.16686354384785,-66.21156603880651,-66.21156603880651,0.0,34.69109965399185,10,0.3,0.1627318,0.0,-4086.3596,-24.7612688510362,0.8160571,10,46,297131.0,0.3,34.69109965399185,1328000,-113.16686354384785,-66.21156603880652,4213.241
47,-22.775909980899527,-65.43219913455954,-102.38897434107152,-65.43219913455954,-65.43219913455954,0.0,32.8161659808093,10,0.3,-0.76454955,0.0,-2689.7305,-22.775909980899527,0.875279,10,47,485797.66,0.3,32.8161659808093,1352000,-102.38897434107152,-65.43219913455954,24424.191
48,-12.97229042802463,-58.52492546285218,-87.13835552376032,-58.52492546285218,-58.52492546285218,0.0,23.126691163250406,10,0.0,-1.297382,0.0,-3297.0247,-12.97229042802463,1.2185534,10,48,401850.62,0.0,23.126691163250406,1376000,-87.13835552376032,-58.52492546285218,18136.15
49,3280.33064897278,298.34081532945345,-63.34365539560234,298.3408153294536,298.3408153294536,0.0,994.1213917360125,10,0.2,-0.30835956,0.0,-5595.473,3280.33064897278,1.6478369,10,49,445435.66,0.2,994.1213917360125,1400000,-63.34365539560234,298.34081532945345,5520.87
