MetaTest/sweep-into-v1/NumEpisodes,MetaTest/sweep-into-v1/Iteration,MetaTest/Average/AverageReturn,MetaTrain/Average/AlphaLoss,MetaTest/sweep-into-v1/MinReturn,MetaTest/sweep-into-v1/TerminationRate,TotalEnvSteps,MetaTrain/Average/Alpha,MetaTest/Average/SuccessRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/NumEpisodes,MetaTest/sweep-into-v1/AverageDiscountedReturn,MetaTest/sweep-into-v1/MaxReturn,MetaTest/Average/StdReturn,MetaTrain/Average/PolicyLoss,MetaTest/sweep-into-v1/SuccessRate,MetaTest/sweep-into-v1/AverageReturn,MetaTest/Average/TerminationRate,MetaTest/Average/MaxReturn,MetaTest/Average/MinReturn,MetaTest/sweep-into-v1/StdReturn,MetaTest/Average/Iteration,MetaTrain/Average/QfLoss,MetaTrain/Average/ContrastiveLoss
10,16,5436.178720730182,4.1342525,42.85778188799091,0.0,608000,39.906105,0.3,5436.17872073018,10,5436.17872073018,23519.132542591946,6565.79401103485,-64792.242,0.3,5436.178720730182,0.0,23519.132542591946,42.85778188799091,6565.79401103485,16,9232071.0,963.63
10,17,20117.26370916587,33.31848,-55.92542301811999,0.0,632000,30.010092,0.3,20117.26370916586,10,20117.26370916586,53932.02293474337,21499.560700214926,-41902.105,0.3,20117.26370916587,0.0,53932.02293474337,-55.92542301811999,21499.560700214926,17,7280634.0,8122.716
10,18,11687.911866084785,-11.336452,429.512773953753,0.0,656000,25.889023,0.9,11687.911866084793,10,11687.911866084793,40765.3145677428,10170.676214447716,-49415.55,0.9,11687.911866084785,0.0,40765.3145677428,429.512773953753,10170.676214447716,18,9302571.0,7950.2764
10,19,16754.90092618287,-1.0304016,-54.0250296681083,0.0,680000,30.797352,0.3,16754.900926182872,10,16754.900926182872,64692.079953172295,21206.52849233953,-54692.145,0.3,16754.90092618287,0.0,64692.079953172295,-54.0250296681083,21206.52849233953,19,10659536.0,629.0947
10,20,29277.286141008295,2.526204,-17.6367700465861,0.0,704000,28.811363,0.7,29277.28614100829,10,29277.28614100829,86567.565076449,33418.11663048842,-50783.938,0.7,29277.286141008295,0.0,86567.565076449,-17.6367700465861,33418.11663048842,20,10730489.0,596.8101
10,21,27272.911111959518,0.9012471,-29.4966008459476,0.0,728000,26.389425,0.5,27272.911111959518,10,27272.911111959518,65559.4884832299,22362.314721838076,-46162.453,0.5,27272.911111959518,0.0,65559.4884832299,-29.4966008459476,22362.314721838076,21,11333261.0,646.6194
10,22,16706.174057372747,-2.390013,5376.162727976649,0.0,752000,28.315907,0.9,16706.174057372747,10,16706.174057372747,73895.4247094995,19873.499123016347,-48178.637,0.9,16706.174057372747,0.0,73895.4247094995,5376.162727976649,19873.499123016347,22,12712949.0,763.8935
10,23,21027.23669227406,-3.0415463,930.1341893583595,0.0,776000,30.35246,0.5,21027.23669227406,10,21027.23669227406,75720.33680710477,22247.483890475105,-48712.16,0.5,21027.23669227406,0.0,75720.33680710477,930.1341893583595,22247.483890475105,23,14458053.0,2301.2195
10,24,11506.125052043386,0.03101706,897.627436890567,0.0,800000,33.083504,0.6,11506.125052043386,10,11506.125052043386,38930.84701281597,13563.291078783284,-50844.45,0.6,11506.125052043386,0.0,38930.84701281597,897.627436890567,13563.291078783284,24,15848407.0,1745.294
10,25,13756.424262898207,-0.85199046,235.97067332959827,0.0,824000,33.898014,0.3,13756.424262898207,10,13756.424262898207,53501.73172108765,18717.1239913133,-52366.887,0.3,13756.424262898207,0.0,53501.73172108765,235.97067332959827,18717.1239913133,25,16552499.0,1965.5244
10,26,36493.83314549258,-1.1888347,1964.9943042051593,0.0,848000,34.702015,0.6,36493.83314549259,10,36493.83314549259,66880.02005937436,24537.719999212943,-51809.0,0.6,36493.83314549258,0.0,66880.02005937436,1964.9943042051593,24537.719999212943,26,16569037.0,1341.8207
10,27,15621.107477633155,0.24884307,-42.84264633450245,0.0,872000,36.67195,0.4,15621.10747763316,10,15621.10747763316,101777.75400753041,29847.73223548183,-51574.906,0.4,15621.107477633155,0.0,101777.75400753041,-42.84264633450245,29847.73223548183,27,16213232.0,2157.0059
10,28,27271.28213870046,0.4588035,-21.9573352889158,0.0,896000,35.31764,0.5,27271.28213870047,10,27271.28213870047,68796.33005674041,21832.52778771099,-51432.434,0.5,27271.28213870046,0.0,68796.33005674041,-21.9573352889158,21832.52778771099,28,15680643.0,1478.073
10,29,15815.015645810636,0.59308654,2447.0668224232745,0.0,920000,34.898746,0.7,15815.015645810636,10,15815.015645810636,56417.66517257258,15927.687115562732,-50731.31,0.7,15815.015645810636,0.0,56417.66517257258,2447.0668224232745,15927.687115562732,29,16182024.0,2538.233
10,30,14875.4990198686,0.7661634,-37.869803347971,0.0,944000,33.465343,0.7,14875.49901986859,10,14875.49901986859,68793.17934545217,21561.737181848977,-48393.07,0.7,14875.4990198686,0.0,68793.17934545217,-37.869803347971,21561.737181848977,30,16046944.0,1287.1846
10,31,30880.932345247373,-0.69586647,-21.983994385961775,0.0,968000,33.56425,0.3,30880.93234524738,10,30880.93234524738,104334.98298100097,40853.01285648946,-49414.94,0.3,30880.932345247373,0.0,104334.98298100097,-21.983994385961775,40853.01285648946,31,16336878.0,1107.2375
10,32,36393.98653106624,0.44979677,459.6972865279983,0.0,992000,34.20733,0.5,36393.98653106625,10,36393.98653106625,80520.07502891542,29636.78904883367,-48413.207,0.5,36393.98653106624,0.0,80520.07502891542,459.6972865279983,29636.78904883367,32,15969821.0,5583.0137
10,33,15775.706834005035,-0.20724787,-56.09609148550965,0.0,1016000,33.956875,0.5,15775.706834005028,10,15775.706834005028,66543.40764125672,22959.811287130276,-48091.824,0.5,15775.706834005035,0.0,66543.40764125672,-56.09609148550965,22959.811287130276,33,16119950.0,3210.5332
10,34,10389.001312293018,0.40986457,5.229951634035725,0.0,1040000,34.40432,0.5,10389.001312293021,10,10389.001312293021,53009.60082849004,15364.687582388215,-49896.586,0.5,10389.001312293018,0.0,53009.60082849004,5.229951634035725,15364.687582388215,34,17193866.0,2145.6128
10,35,24081.670519338208,0.23678179,-88.17665549470757,0.0,1064000,33.155712,0.2,24081.670519338226,10,24081.670519338226,96182.46765289214,36957.62110639172,-48052.527,0.2,24081.670519338208,0.0,96182.46765289214,-88.17665549470757,36957.62110639172,35,17681060.0,4727.085
10,36,47314.20079105196,2.1716647,930.5852738058475,0.0,1088000,31.558731,0.6,47314.20079105193,10,47314.20079105193,126367.63305472427,42421.523812045816,-44431.24,0.6,47314.20079105196,0.0,126367.63305472427,930.5852738058475,42421.523812045816,36,17456578.0,7229.9727
10,37,17795.87767779732,-0.41275194,-117.45841213703224,0.0,1112000,30.870214,0.6,17795.877677797318,10,17795.877677797318,112703.21603494749,34380.24465104363,-45902.88,0.6,17795.87767779732,0.0,112703.21603494749,-117.45841213703224,34380.24465104363,37,19141194.0,2528.9675
10,38,34512.70764924646,-0.73285246,-25.834451450474383,0.0,1136000,31.471867,0.5,34512.70764924646,10,34512.70764924646,111045.41859419989,43634.325164591784,-47591.4,0.5,34512.70764924646,0.0,111045.41859419989,-25.834451450474383,43634.325164591784,38,21647738.0,2352.207
10,39,10396.162079567539,-1.5541904,-13.878708478339858,0.0,1160000,32.820274,0.5,10396.16207956754,10,10396.16207956754,88750.00631602405,26158.087743844408,-50878.86,0.5,10396.162079567539,0.0,88750.00631602405,-13.878708478339858,26158.087743844408,39,24809948.0,1776.341
10,40,18072.062269360587,-0.15223536,42.392409138549475,0.0,1184000,34.84949,0.3,18072.06226936059,10,18072.06226936059,47591.303565386,17637.625564814996,-53938.562,0.3,18072.062269360587,0.0,47591.303565386,42.392409138549475,17637.625564814996,40,28660178.0,7224.245
10,41,44447.2715463293,-0.26823258,-15.167102567915776,0.0,1208000,35.58267,0.5,44447.271546329306,10,44447.271546329306,107531.73730198655,44661.96920479304,-56069.793,0.5,44447.2715463293,0.0,107531.73730198655,-15.167102567915776,44661.96920479304,41,31559258.0,4623.4805
10,42,24749.179294071997,0.072220705,-17.053048213612648,0.0,1232000,34.5309,0.5,24749.179294072004,10,24749.179294072004,83198.74382532312,30155.611273086164,-55265.71,0.5,24749.179294071997,0.0,83198.74382532312,-17.053048213612648,30155.611273086164,42,32627240.0,4978.8716
10,43,43657.03607957456,-0.7049919,-15.375261610170377,0.0,1256000,36.294476,0.4,43657.036079574566,10,43657.036079574566,91534.53048563898,32683.11086189396,-57232.383,0.4,43657.03607957456,0.0,91534.53048563898,-15.375261610170377,32683.11086189396,43,33362530.0,1666.3439
10,44,21699.976673682104,-0.22504559,110.96576136113076,0.0,1280000,36.035954,0.2,21699.976673682097,10,21699.976673682097,76561.00608765335,27351.075248071462,-57459.273,0.2,21699.976673682104,0.0,76561.00608765335,110.96576136113076,27351.075248071462,44,34507530.0,1531.6339
10,45,660.8019186348735,-0.14634627,-19.33468364614028,0.0,1304000,36.858868,0.4,660.8019186348736,10,660.8019186348736,2190.5113686315317,731.2380359727704,-57052.55,0.4,660.8019186348735,0.0,2190.5113686315317,-19.33468364614028,731.2380359727704,45,35599852.0,2224.3413
10,46,27588.539724246028,0.8819723,115.75428113050741,0.0,1328000,35.626358,0.5,27588.539724246035,10,27588.539724246035,84795.44850340959,23880.1378533615,-55769.62,0.5,27588.539724246028,0.0,84795.44850340959,115.75428113050741,23880.1378533615,46,35918724.0,1580.546
10,47,35476.50391715816,2.796519,-29.619892051697885,0.0,1352000,35.43089,0.6,35476.503917158174,10,35476.503917158174,124430.56992462162,44468.556315449336,-54254.98,0.6,35476.50391715816,0.0,124430.56992462162,-29.619892051697885,44468.556315449336,47,36112268.0,1317.4264
10,48,5764.844889060443,-2.6463435,75.85347593183043,0.0,1376000,34.817017,0.5,5764.844889060441,10,5764.844889060441,28575.293159364406,8053.245677221772,-55319.617,0.5,5764.844889060443,0.0,28575.293159364406,75.85347593183043,8053.245677221772,48,37461900.0,5758.338
10,49,32657.757699572336,0.43131542,-13.472260017689857,0.0,1400000,35.582897,0.5,32657.757699572343,10,32657.757699572343,99117.7142887677,34664.65938676741,-56511.926,0.5,32657.757699572336,0.0,99117.7142887677,-13.472260017689857,34664.65938676741,49,38550560.0,7313.8003
