MetaTest/Average/TerminationRate,TotalEnvSteps,MetaTest/reach-wall-v1/AverageReturn,MetaTest/Average/Iteration,MetaTest/reach-wall-v1/Iteration,MetaTrain/Average/ContrastiveLoss,MetaTrain/Average/PolicyLoss,MetaTest/Average/StdReturn,MetaTest/reach-wall-v1/AverageDiscountedReturn,MetaTest/reach-wall-v1/MaxReturn,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/AlphaLoss,MetaTest/reach-wall-v1/SuccessRate,MetaTest/reach-wall-v1/MinReturn,MetaTest/reach-wall-v1/NumEpisodes,MetaTest/reach-wall-v1/StdReturn,MetaTest/reach-wall-v1/TerminationRate,MetaTest/Average/MaxReturn,MetaTrain/Average/QfLoss,MetaTest/Average/MinReturn,MetaTrain/Average/Alpha,MetaTest/Average/AverageReturn,MetaTest/Average/SuccessRate,MetaTest/Average/NumEpisodes
0.0,728000,148799.604753678,21,21,1659.4283,-608043.9,56327.68077705966,148799.604753678,244305.9643328654,148799.604753678,-6.601017,0.4,79200.43254165062,10,56327.68077705966,0.0,244305.9643328654,94646320.0,79200.43254165062,340.58746,148799.604753678,0.4,10
0.0,752000,147094.52065489403,22,22,2076.3738,-597913.75,54576.2073572834,147094.5206548941,260470.0593839873,147094.5206548941,11.593655,0.5,57025.76075841859,10,54576.2073572834,0.0,260470.0593839873,92623520.0,57025.76075841859,334.81784,147094.52065489403,0.5,10
0.0,776000,122738.33052275536,23,23,1635.2305,-593229.2,45721.810807316004,122738.33052275536,230264.97121946988,122738.33052275536,22.776878,0.1,61784.54271908237,10,45721.810807316004,0.0,230264.97121946988,92310296.0,61784.54271908237,317.1277,122738.33052275536,0.1,10
0.0,800000,172299.49546557997,24,24,1634.1755,-585054.5,87424.39412581887,172299.49546557997,368412.4313254637,172299.49546557997,-7.253154,0.5,64102.776892148526,10,87424.39412581887,0.0,368412.4313254637,89567624.0,64102.776892148526,313.0725,172299.49546557997,0.5,10
0.0,824000,73185.22458423357,25,25,1514.4988,-565908.94,37632.65130495481,73185.22458423358,158726.48126736836,73185.22458423358,-9.8751955,0.0,28777.205574845328,10,37632.65130495481,0.0,158726.48126736836,85814270.0,28777.205574845328,322.20493,73185.22458423357,0.0,10
0.0,848000,44979.20145996071,26,26,1762.6042,-533660.75,30171.436875457206,44979.20145996071,110517.56376679313,44979.20145996071,19.975645,0.0,7085.070095758956,10,30171.436875457206,0.0,110517.56376679313,83661210.0,7085.070095758956,328.60843,44979.20145996071,0.0,10
0.0,872000,81780.638643819,27,27,2271.7058,-454206.84,25514.454347607658,81780.638643819,132869.6774917654,81780.638643819,116.51298,0.0,49098.80337035942,10,25514.454347607658,0.0,132869.6774917654,71439860.0,49098.80337035942,284.533,81780.638643819,0.0,10
0.0,896000,65052.28779691687,28,28,2209.69,-392459.25,24461.654400530137,65052.28779691687,99588.01955267902,65052.28779691687,9.726851,0.1,25599.084811665034,10,24461.654400530137,0.0,99588.01955267902,61383116.0,25599.084811665034,214.67508,65052.28779691687,0.1,10
0.0,920000,75331.86675247239,29,29,2138.5962,-433852.7,56379.71864173912,75331.86675247239,184419.87770022787,75331.86675247239,-48.00903,0.1,6093.391862118859,10,56379.71864173912,0.0,184419.87770022787,76747380.0,6093.391862118859,281.73337,75331.86675247239,0.1,10
0.0,944000,147454.84388367072,30,30,1802.1562,-489561.66,42745.458388186846,147454.8438836707,210645.58908204,147454.8438836707,-64.98313,0.3,77484.77008784431,10,42745.458388186846,0.0,210645.58908204,77251950.0,77484.77008784431,326.74658,147454.84388367072,0.3,10
0.0,968000,128305.4658634773,31,31,2771.201,-486951.03,69307.27072498447,128305.4658634773,270142.454158363,128305.4658634773,-2.192701,0.2,53382.767243709764,10,69307.27072498447,0.0,270142.454158363,78394264.0,53382.767243709764,336.5695,128305.4658634773,0.2,10
0.0,992000,182212.01358813292,32,32,3080.749,-495225.34,68934.85369961405,182212.01358813295,278282.4240101164,182212.01358813295,-0.42208594,0.6,62933.950766473354,10,68934.85369961405,0.0,278282.4240101164,82664580.0,62933.950766473354,358.16962,182212.01358813292,0.6,10
0.0,1016000,31379.351460553,33,33,12562.434,-342000.53,40069.46660367946,31379.35146055299,147680.82291685516,31379.35146055299,549.4755,0.1,1691.9446713009013,10,40069.46660367946,0.0,147680.82291685516,80700410.0,1691.9446713009013,287.34525,31379.351460553,0.1,10
0.0,1040000,93078.57162789116,34,34,10417.684,-242850.83,55081.68408986908,93078.57162789116,168074.4709493766,93078.57162789116,428.28366,0.2,2013.9548371113115,10,55081.68408986908,0.0,168074.4709493766,40611470.0,2013.9548371113115,163.6423,93078.57162789116,0.2,10
0.0,1064000,138701.11248646566,35,35,5530.53,-264991.8,42257.62156798412,138701.11248646566,238270.74336539308,138701.11248646566,30.911106,0.5,92447.35338900574,10,42257.62156798412,0.0,238270.74336539308,39511860.0,92447.35338900574,119.371574,138701.11248646566,0.5,10
0.0,1088000,161979.11713265453,36,36,3754.2476,-307423.6,37156.80498078947,161979.1171326546,221648.6461248652,161979.1171326546,-72.9984,0.4,101758.78925677322,10,37156.80498078947,0.0,221648.6461248652,48915076.0,101758.78925677322,156.91295,161979.11713265453,0.4,10
0.0,1112000,158099.55580038147,37,37,2765.6304,-355106.88,64954.35539750395,158099.55580038152,252540.99553191403,158099.55580038152,-53.10575,0.6,66410.1881739016,10,64954.35539750395,0.0,252540.99553191403,59667720.0,66410.1881739016,215.49992,158099.55580038147,0.6,10
0.0,1136000,120059.69137492221,38,38,5758.4165,-400816.56,52547.566649191576,120059.6913749222,198902.28018973535,120059.6913749222,-18.087582,0.5,49791.303629092305,10,52547.566649191576,0.0,198902.28018973535,77071290.0,49791.303629092305,249.49286,120059.69137492221,0.5,10
0.0,1160000,153750.08217393287,39,39,5147.5337,-439989.03,69650.0279404706,153750.08217393287,330802.98678255593,153750.08217393287,-19.977892,0.4,77517.18595135225,10,69650.0279404706,0.0,330802.98678255593,75990210.0,77517.18595135225,264.3853,153750.08217393287,0.4,10
0.0,1184000,141241.42224348366,40,40,4053.833,-495522.3,48460.01875709117,141241.42224348366,225107.31213641385,141241.42224348366,-23.199284,0.3,35228.086572470595,10,48460.01875709117,0.0,225107.31213641385,91846456.0,35228.086572470595,309.56213,141241.42224348366,0.3,10
0.0,1208000,111501.27824608637,41,41,4071.1067,-546076.94,43105.59798529849,111501.27824608637,194319.3271079238,111501.27824608637,-11.935356,0.0,62255.03294640286,10,43105.59798529849,0.0,194319.3271079238,93577160.0,62255.03294640286,321.39407,111501.27824608637,0.0,10
0.0,1232000,132683.3587928358,42,42,4307.014,-586010.4,75271.33186605448,132683.35879283582,268679.00656003394,132683.35879283582,-0.91634864,0.2,52219.6964145201,10,75271.33186605448,0.0,268679.00656003394,101637896.0,52219.6964145201,342.4561,132683.3587928358,0.2,10
0.0,1256000,110581.62398499306,43,43,3750.9807,-596658.8,43880.534945847896,110581.62398499306,192746.64143287347,110581.62398499306,26.260696,0.2,56473.52176810701,10,43880.534945847896,0.0,192746.64143287347,96288830.0,56473.52176810701,315.26987,110581.62398499306,0.2,10
0.0,1280000,113223.27443095953,44,44,3724.7434,-603728.94,40505.49067260898,113223.27443095953,189808.45737413203,113223.27443095953,-5.9592857,0.2,53729.48423437176,10,40505.49067260898,0.0,189808.45737413203,94268920.0,53729.48423437176,299.76617,113223.27443095953,0.2,10
0.0,1304000,120570.50713723824,45,45,2404.478,-605233.8,67273.20050810558,120570.50713723824,232714.3568946592,120570.50713723824,-5.6141486,0.4,36090.48189246276,10,67273.20050810558,0.0,232714.3568946592,96302870.0,36090.48189246276,309.96362,120570.50713723824,0.4,10
0.0,1328000,135122.99195053382,46,46,2040.813,-610771.7,64918.30147508158,135122.9919505338,250271.36349241645,135122.9919505338,-5.822849,0.3,50168.005342685756,10,64918.30147508158,0.0,250271.36349241645,96440260.0,50168.005342685756,317.83588,135122.99195053382,0.3,10
0.0,1352000,140447.68463257636,47,47,1713.3376,-604987.1,65887.85078008163,140447.68463257636,283202.52445436566,140447.68463257636,-1.0200908,0.5,52046.863344900834,10,65887.85078008163,0.0,283202.52445436566,100141864.0,52046.863344900834,323.6284,140447.68463257636,0.5,10
0.0,1376000,113407.52717777519,48,48,2675.8706,-596649.5,80534.98134076763,113407.52717777524,256831.79163483018,113407.52717777524,15.873674,0.3,34548.64272444265,10,80534.98134076763,0.0,256831.79163483018,97642744.0,34548.64272444265,314.9469,113407.52717777519,0.3,10
0.0,1400000,102488.02763066722,49,49,2480.9026,-592608.1,38849.96250205,102488.02763066722,174853.00452482657,102488.02763066722,30.45739,0.2,52123.21422119578,10,38849.96250205,0.0,174853.00452482657,97049400.0,52123.21422119578,299.63495,102488.02763066722,0.2,10
