MetaTest/assembly-v1/TerminationRate,assembly-v1/MinReturn,assembly-v1/AverageReturn,Average/AverageReturn,MetaTest/Average/AverageReturn,policy/Entropy,MetaTest/Average/MaxReturn,Average/StdReturn,assembly-v1/MaxReturn,policy/LossAfter,assembly-v1/SuccessRate,Average/TerminationRate,policy/LossBefore,TotalEnvSteps,Average/Iteration,MetaTest/assembly-v1/SuccessRate,MetaTest/assembly-v1/NumEpisodes,MetaTest/assembly-v1/Iteration,MetaTest/Average/StdReturn,assembly-v1/StdReturn,Average/AverageDiscountedReturn,policy/KLBefore,MetaTest/assembly-v1/AverageReturn,assembly-v1/TerminationRate,MetaTest/assembly-v1/MinReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/assembly-v1/MaxReturn,MetaTest/Average/SuccessRate,Average/MinReturn,assembly-v1/AverageDiscountedReturn,Average/NumEpisodes,Average/MaxReturn,MetaTest/assembly-v1/StdReturn,MetaTest/Average/Iteration,Average/SuccessRate,MetaTest/Average/MinReturn,MetaTest/Average/NumEpisodes,policy/dLoss,MetaTest/Average/TerminationRate,policy/KL,assembly-v1/Iteration,assembly-v1/NumEpisodes,MetaTest/assembly-v1/AverageDiscountedReturn,LinearFeatureBaseline/ExplainedVariance
0.0,-66.50927865141922,-43.72649054884792,-43.72649054884792,-41.96854375981834,5.681435,-27.249256479556106,9.980602378856902,-23.272648152478187,-0.03940386,0.0,0.0,-0.01907236,20000,0,0.0,10,0,7.223917102633424,9.980602378856902,-15.284058936767885,0.0,-41.96854375981834,0.0,-51.61704964019184,-41.968543759818346,-27.249256479556106,0.0,-66.50927865141922,-15.284058936767885,100,-23.272648152478187,7.223917102633424,0,0.0,-51.61704964019184,10,0.0203315,0.0,0.005981002,0,100,-41.968543759818346,0.31126510218573544
,-54.777716233068965,-37.09944021901595,-37.09944021901595,,5.6794457,,7.641813250017467,-22.644195391502528,-0.01579068,0.0,0.0,-0.0070803557,40000,1,,,,,7.641813250017467,-13.549072327316292,0.0,,0.0,,,,,-54.777716233068965,-13.549072327316292,100,-22.644195391502528,,,0.0,,,0.008710325,,0.010942158,1,100,,0.23576570101863747
,-59.884798647360945,-33.50984834603496,-33.50984834603496,,5.666428,,7.965529204378296,-20.07008287465682,-0.008716466,0.0,0.0,-0.0060776197,60000,2,,,,,7.965529204378296,-12.694372093413024,0.0,,0.0,,,,,-59.884798647360945,-12.694372093413024,100,-20.07008287465682,,,0.0,,,0.0026388462,,0.011729757,2,100,,0.26544212992659355
,-60.305455650228055,-33.07443259351124,-33.07443259351124,,5.6482763,,9.665992161543208,-5.554438412352629,-0.008647183,0.0,0.0,-0.0022806672,80000,3,,,,,9.665992161543208,-12.663478340161745,0.0,,0.0,,,,,-60.305455650228055,-12.663478340161745,100,-5.554438412352629,,,0.0,,,0.0063665155,,0.00998068,3,100,,0.3189723648025504
,-49.34389797884341,-30.682982321953762,-30.682982321953762,,5.6399484,,6.868997340678458,-17.641710237499126,-0.003647536,0.0,0.0,-0.0033362412,100000,4,,,,,6.868997340678458,-12.068525772847934,0.0,,0.0,,,,,-49.34389797884341,-12.068525772847934,100,-17.641710237499126,,,0.0,,,0.0003112948,,0.009921915,4,100,,0.2979792143510096
,-50.02288080942294,-31.028792370311894,-31.028792370311894,,5.635925,,6.6259364343927984,-19.206895757576508,-0.007498642,0.0,0.0,-0.0027375764,120000,5,,,,,6.6259364343927984,-12.019331508576018,0.0,,0.0,,,,,-50.02288080942294,-12.019331508576018,100,-19.206895757576508,,,0.0,,,0.0047610654,,0.01173219,5,100,,0.267412257637191
,-49.486673061350146,-29.346625095680466,-29.346625095680466,,5.6360373,,10.88755103173801,47.53251074017573,-0.011918144,0.0,0.0,-0.0010301179,140000,6,,,,,10.88755103173801,-11.675296479450418,0.0,,0.0,,,,,-49.486673061350146,-11.675296479450418,100,47.53251074017573,,,0.0,,,0.010888026,,0.009539057,6,100,,0.2076172974989725
,-46.546445705331,-28.68049992421769,-28.68049992421769,,5.627709,,6.33962930617327,-18.49198429344702,-0.0041351533,0.0,0.0,-0.0009379318,160000,7,,,,,6.33962930617327,-11.38303911467312,0.0,,0.0,,,,,-46.546445705331,-11.38303911467312,100,-18.49198429344702,,,0.0,,,0.0031972216,,0.0067163026,7,100,,0.3323831994321623
,-46.77261899062,-28.330972106175462,-28.330972106175462,,5.621783,,6.513064835963644,-13.287994846578902,-0.0048086275,0.0,0.0,-0.0005340271,180000,8,,,,,6.513064835963644,-11.265221049552794,0.0,,0.0,,,,,-46.77261899062,-11.265221049552794,100,-13.287994846578902,,,0.0,,,0.0042746,,0.011320477,8,100,,0.2725499860405738
,-52.30564883775687,-27.270425959051245,-27.270425959051245,,5.616654,,6.106722012077779,-16.227059680610537,-0.005465953,0.0,0.0,-0.0017457333,200000,9,,,,,6.106722012077779,-11.011782705562666,0.0,,0.0,,,,,-52.30564883775687,-11.011782705562666,100,-16.227059680610537,,,0.0,,,0.0037202197,,0.013260115,9,100,,0.3240157174491789
0.0,-43.850635116860715,-28.1904786608559,-28.1904786608559,-29.627236077240337,5.606964,-21.70757182961668,5.3624848072317235,-18.53131826482385,-0.009896919,0.0,0.0,-0.006898634,220000,10,0.0,10,1,7.040519670027537,5.3624848072317235,-11.094145093969752,0.0,-29.627236077240337,0.0,-41.94022083414008,-29.627236077240344,-21.70757182961668,0.0,-43.850635116860715,-11.094145093969752,100,-18.53131826482385,7.040519670027537,1,0.0,-41.94022083414008,10,0.002998285,0.0,0.012179236,10,100,-29.627236077240344,0.2693589304081784
,-46.19401194469846,-26.26516868093029,-26.26516868093029,,5.6028976,,7.433128879076605,24.724260743168394,-0.0035221367,0.0,0.0,0.0020556443,240000,11,,,,,7.433128879076605,-10.583810039004566,0.0,,0.0,,,,,-46.19401194469846,-10.583810039004566,100,24.724260743168394,,,0.0,,,0.0055777812,,0.013216913,11,100,,0.24855757914091825
,-43.666726547307285,-26.871228716714118,-26.871228716714118,,5.6023335,,5.390309753866479,-18.638659906980546,-0.006729171,0.0,0.0,-0.0003977093,260000,12,,,,,5.390309753866479,-10.921617573331877,0.0,,0.0,,,,,-43.666726547307285,-10.921617573331877,100,-18.638659906980546,,,0.0,,,0.006331462,,0.016647799,12,100,,0.2941984820416237
,-44.43558071419529,-26.571518679470334,-26.571518679470334,,5.5979643,,5.2722231843503025,-17.867891573827144,-0.010703647,0.0,0.0,-0.0065666754,280000,13,,,,,5.2722231843503025,-10.722074859257111,0.0,,0.0,,,,,-44.43558071419529,-10.722074859257111,100,-17.867891573827144,,,0.0,,,0.004136971,,0.009234272,13,100,,0.23564468685019724
,-42.55691952078072,-25.648547582062566,-25.648547582062566,,5.594132,,6.415354205663391,18.384554967441737,-0.0041587935,0.0,0.0,-0.0014126182,300000,14,,,,,6.415354205663391,-10.566644855859572,0.0,,0.0,,,,,-42.55691952078072,-10.566644855859572,100,18.384554967441737,,,0.0,,,0.0027461753,,0.0069891503,14,100,,0.4267779150249562
,-39.67582649434693,-25.265387905992366,-25.265387905992366,,5.5905695,,4.130163741570978,-17.144659301392764,-0.004177375,0.0,0.0,-0.0032779733,320000,15,,,,,4.130163741570978,-10.450754808795644,0.0,,0.0,,,,,-39.67582649434693,-10.450754808795644,100,-17.144659301392764,,,0.0,,,0.00089940196,,0.00913659,15,100,,0.21275709893793826
