MetaTest/shelf-place-v1/AverageDiscountedReturn,MetaTest/shelf-place-v1/StdReturn,MetaTest/shelf-place-v1/AverageReturn,Average/AverageDiscountedReturn,MetaTest/shelf-place-v1/MinReturn,Average/MaxReturn,Average/MinReturn,policy/KL,TotalEnvSteps,shelf-place-v1/Iteration,MetaTest/shelf-place-v1/Iteration,MetaTest/Average/TerminationRate,Average/Iteration,shelf-place-v1/NumEpisodes,shelf-place-v1/StdReturn,Average/AverageReturn,MetaTest/Average/AverageReturn,MetaTest/Average/StdReturn,shelf-place-v1/SuccessRate,MetaTest/Average/NumEpisodes,policy/LossAfter,policy/KLBefore,policy/Entropy,shelf-place-v1/MaxReturn,policy/LossBefore,MetaTest/Average/MaxReturn,Average/NumEpisodes,shelf-place-v1/AverageDiscountedReturn,shelf-place-v1/MinReturn,Average/TerminationRate,MetaTest/shelf-place-v1/SuccessRate,shelf-place-v1/TerminationRate,LinearFeatureBaseline/ExplainedVariance,MetaTest/Average/AverageDiscountedReturn,MetaTest/shelf-place-v1/MaxReturn,policy/dLoss,Average/StdReturn,MetaTest/Average/MinReturn,MetaTest/shelf-place-v1/NumEpisodes,MetaTest/Average/Iteration,Average/SuccessRate,MetaTest/Average/SuccessRate,shelf-place-v1/AverageReturn,MetaTest/shelf-place-v1/TerminationRate
-62.51625894254605,18.86313786002157,-62.51625894254605,-21.844703916848047,-89.29857363519916,-22.144240808022573,-103.94218786122515,0.005620512,20000,0,0,0.0,0,100,17.736354329319944,-61.69847278659794,-62.51625894254605,18.86313786002157,0.0,10,-0.05032319,0.0,5.6767497,-22.144240808022573,-0.020407654,-32.26549798548208,100,-21.844703916848047,-103.94218786122515,0.0,0.0,0.0,0.4751501737260144,-62.51625894254605,-32.26549798548208,0.029915534,17.736354329319944,-89.29857363519916,10,0,0.0,0.0,-61.69847278659794,0.0
,,,-19.243734613337047,,-29.55921432709437,-103.6077362752989,0.010822667,40000,1,,,1,100,14.873832497435265,-50.90727947089967,,,0.0,,-0.010691437,0.0,5.6550164,-29.55921432709437,-0.0014535645,,100,-19.243734613337047,-103.6077362752989,0.0,,0.0,0.4504015983458227,,,0.009237872,14.873832497435265,,,,0.0,,-50.90727947089967,
,,,-17.28665730186662,,-24.46005181417062,-85.27712370126454,0.0062861564,60000,2,,,2,100,14.064745849314932,-46.00651661656403,,,0.0,,-0.0066910875,0.0,5.647868,-24.46005181417062,-0.0012066002,,100,-17.28665730186662,-85.27712370126454,0.0,,0.0,0.4298327505510906,,,0.0054844874,14.064745849314932,,,,0.0,,-46.00651661656403,
,,,-16.82174437299385,,-24.380373870989093,-89.41403395230202,0.006401314,80000,3,,,3,100,13.164463963792658,-44.38181726546892,,,0.0,,-0.013725752,0.0,5.6523967,-24.380373870989093,-0.0025548905,,100,-16.82174437299385,-89.41403395230202,0.0,,0.0,0.33360462155677206,,,0.011170861,13.164463963792658,,,,0.0,,-44.38181726546892,
,,,-15.968586460122419,,16.176398658340876,-74.61866236729168,0.009321806,100000,4,,,4,100,13.957807713147563,-41.09799725496202,,,0.0,,-0.019572595,0.0,5.644547,16.176398658340876,-0.0058061555,,100,-15.968586460122419,-74.61866236729168,0.0,,0.0,0.3769828043595267,,,0.01376644,13.957807713147563,,,,0.0,,-41.09799725496202,
,,,-15.530014827729298,,-24.576385486711764,-85.14674839535365,0.009396522,120000,5,,,5,100,11.72739808499379,-40.0158839646667,,,0.0,,-0.033189252,0.0,5.633199,-24.576385486711764,-0.025864566,,100,-15.530014827729298,-85.14674839535365,0.0,,0.0,0.41222175157509977,,,0.0073246863,11.72739808499379,,,,0.0,,-40.0158839646667,
,,,-15.927635545018143,,-20.862922018223742,-73.456203089599,0.009563987,140000,6,,,6,100,10.013650560218197,-40.8043698504574,,,0.0,,-0.001725264,0.0,5.6228633,-20.862922018223742,0.002156601,,100,-15.927635545018143,-73.456203089599,0.0,,0.0,0.47119080777425004,,,0.0038818652,10.013650560218197,,,,0.0,,-40.8043698504574,
,,,-14.336613309751904,,-20.14790838287083,-66.13839870379346,0.005881067,160000,7,,,7,100,9.183289709983834,-34.70206029004552,,,0.0,,-0.0012919831,0.0,5.6139884,-20.14790838287083,0.0003709877,,100,-14.336613309751904,-66.13839870379346,0.0,,0.0,0.34416118034372833,,,0.0016629708,9.183289709983834,,,,0.0,,-34.70206029004552,
,,,-15.266433934521624,,-20.832155174897622,-71.62268157390176,0.009678054,180000,8,,,8,100,9.691950410422463,-37.967993800244976,,,0.0,,-0.013177217,0.0,5.6041036,-20.832155174897622,-0.008669562,,100,-15.266433934521624,-71.62268157390176,0.0,,0.0,0.34113013066965303,,,0.0045076553,9.691950410422463,,,,0.0,,-37.967993800244976,
,,,-14.427980378107003,,-23.60826824514994,-60.33753749884337,0.0064805085,200000,9,,,9,100,8.30850720770738,-36.759516866964226,,,0.0,,-0.0037841965,0.0,5.5797963,-23.60826824514994,-0.0014242645,,100,-14.427980378107003,-60.33753749884337,0.0,,0.0,0.3513127101172493,,,0.0023599318,8.30850720770738,,,,0.0,,-36.759516866964226,
-33.89561680981298,3.694136676507355,-33.89561680981297,-14.599103958516011,-40.23039752593583,-20.49566499358806,-55.28245069992626,0.007716297,220000,10,1,0.0,10,100,7.187857711071622,-35.23754931085507,-33.89561680981297,3.694136676507355,0.0,10,-0.004167627,0.0,5.558106,-20.49566499358806,-0.004488907,-28.922172963437735,100,-14.599103958516011,-55.28245069992626,0.0,0.0,0.0,0.4194402708010674,-33.89561680981298,-28.922172963437735,-0.00032127975,7.187857711071622,-40.23039752593583,10,1,0.0,0.0,-35.23754931085507,0.0
,,,-14.293026592295446,,-21.109010481336547,-65.18899603377938,0.009827756,240000,11,,,11,100,9.249892378168195,-34.509018408415926,,,0.0,,-0.0108122965,0.0,5.544815,-21.109010481336547,-0.007971195,,100,-14.293026592295446,-65.18899603377938,0.0,,0.0,0.48141819186704893,,,0.002841102,9.249892378168195,,,,0.0,,-34.509018408415926,
,,,-13.196066378843065,,-22.39282630688862,-51.403400040358285,0.011160692,260000,12,,,12,100,6.579859256570144,-32.035303062098635,,,0.0,,-0.0082285665,0.0,5.5378165,-22.39282630688862,0.0006654434,,100,-13.196066378843065,-51.403400040358285,0.0,,0.0,0.40746010243914543,,,0.0088940095,6.579859256570144,,,,0.0,,-32.035303062098635,
,,,-13.627336387654731,,-22.46973303725472,-51.2238280160608,0.004186358,280000,13,,,13,100,6.382102039572655,-32.68834311520874,,,0.0,,-0.005974274,0.0,5.5291696,-22.46973303725472,-0.0023780854,,100,-13.627336387654731,-51.2238280160608,0.0,,0.0,0.3976664230648448,,,0.0035961887,6.382102039572655,,,,0.0,,-32.68834311520874,
,,,-13.089211629447083,,-21.986297956768965,-59.08135545733332,0.008328393,300000,14,,,14,100,5.591953563583878,-31.21966350744598,,,0.0,,-0.0018919266,0.0,5.5217996,-21.986297956768965,7.066956e-05,,100,-13.089211629447083,-59.08135545733332,0.0,,0.0,0.34290904642831,,,0.001962596,5.591953563583878,,,,0.0,,-31.21966350744598,
,,,-12.91672487446369,,-21.6771579920492,-49.200201671916226,0.005782916,320000,15,,,15,100,5.462360280390111,-30.92470432084049,,,0.0,,-0.0023221318,0.0,5.512751,-21.6771579920492,-0.00038418427,,100,-12.91672487446369,-49.200201671916226,0.0,,0.0,0.43649497309498797,,,0.0019379475,5.462360280390111,,,,0.0,,-30.92470432084049,
,,,-12.84360542161212,,-20.869524274216428,-56.10757398757597,0.0095153805,340000,16,,,16,100,5.573516020898752,-29.885193266346082,,,0.0,,0.0009042053,0.0,5.5022254,-20.869524274216428,0.002040921,,100,-12.84360542161212,-56.10757398757597,0.0,,0.0,0.4005833320531852,,,0.0011367158,5.573516020898752,,,,0.0,,-29.885193266346082,
,,,-13.077151331599469,,-22.28644126553188,-41.64699817591425,0.015165239,360000,17,,,17,100,4.22761147485046,-31.231192880777723,,,0.0,,-0.011970078,0.0,5.4889274,-22.28644126553188,-0.006908388,,100,-13.077151331599469,-41.64699817591425,0.0,,0.0,0.3963901803418227,,,0.0050616898,4.22761147485046,,,,0.0,,-31.231192880777723,
,,,-12.948695333248931,,-21.69554546289605,-46.04131348262201,0.0033925218,380000,18,,,18,100,5.407059762076161,-31.710760406302825,,,0.0,,-0.004409018,0.0,5.48252,-21.69554546289605,-0.0013896866,,100,-12.948695333248931,-46.04131348262201,0.0,,0.0,0.43498909874898894,,,0.0030193315,5.407059762076161,,,,0.0,,-31.710760406302825,
