MetaTest/handle-pull-v1/TerminationRate,MetaTest/handle-pull-v1/MinReturn,MetaTrain/Average/PolicyLoss,MetaTest/handle-pull-v1/AverageReturn,MetaTest/Average/TerminationRate,MetaTest/Average/NumEpisodes,MetaTest/handle-pull-v1/AverageDiscountedReturn,MetaTest/Average/MaxReturn,MetaTest/Average/MinReturn,MetaTest/handle-pull-v1/SuccessRate,MetaTest/Average/StdReturn,MetaTrain/Average/Alpha,MetaTest/handle-pull-v1/NumEpisodes,MetaTest/handle-pull-v1/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/AlphaLoss,MetaTest/handle-pull-v1/StdReturn,MetaTest/Average/SuccessRate,MetaTest/Average/AverageReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/handle-pull-v1/MaxReturn,MetaTrain/Average/QfLoss,MetaTest/Average/Iteration,TotalEnvSteps
0.0,-119.5856949679026,-21.942028,-97.5181611952244,0.0,10,-97.5181611952244,-82.89069148334795,-119.5856949679026,0.0,10.030014321092821,0.94785815,10,0,-97.5181611952244,3.0084019,10.030014321092821,0.0,-97.5181611952244,14.127602,-82.89069148334795,23698.213,0,56000
0.0,-96.22562481201372,-86.777985,-79.46594796805066,0.0,10,-79.46594796805066,-66.25813307024207,-96.22562481201372,0.0,9.915097934409163,0.9081455,10,1,-79.46594796805066,0.3504692,9.915097934409163,0.0,-79.46594796805066,34.241528,-66.25813307024207,18929.652,1,62000
0.0,-117.44092280978633,-154.28464,-98.7475446541932,0.0,10,-98.7475446541932,-74.60834020148205,-117.44092280978633,0.0,12.169663999607636,0.8939509,10,2,-98.7475446541932,0.27980796,12.169663999607636,0.0,-98.7475446541932,115.28894,-74.60834020148205,16782.574,2,68000
0.0,-108.77436200772271,-188.77556,-92.55629671601245,0.0,10,-92.55629671601248,-80.17544048505114,-108.77436200772271,0.0,9.97776922660582,0.875739,10,3,-92.55629671601248,0.07913096,9.97776922660582,0.0,-92.55629671601245,210.33907,-80.17544048505114,14701.195,3,74000
0.0,-54.719571624924875,-627.7768,2546.122433099549,0.0,10,2546.122433099548,11653.564264760798,-54.719571624924875,0.0,4377.386851861066,0.93497264,10,4,2546.122433099548,-1.7796804,4377.386851861066,0.0,2546.122433099549,333.5959,11653.564264760798,28267.684,4,80000
0.0,-105.81895247088268,-1257.0054,26.539433119197845,0.0,10,26.539433119197817,909.4790170308878,-105.81895247088268,0.0,295.4655811085288,1.104691,10,5,26.539433119197817,-2.176216,295.4655811085288,0.0,26.539433119197845,663.26,909.4790170308878,54093.457,5,86000
0.0,-98.93351327984314,-2014.0035,2243.427410249921,0.0,10,2243.427410249922,7786.118472374412,-98.93351327984314,0.0,3146.744868729989,1.3024677,10,6,2243.427410249922,-3.804948,3146.744868729989,0.0,2243.427410249921,423.11884,7786.118472374412,82586.43,6,92000
0.0,-103.38114221375635,-3815.3845,201.4494699273509,0.0,10,201.44946992735066,2862.9463688195897,-103.38114221375635,0.0,887.199155060876,1.540895,10,7,201.44946992735066,-5.194906,887.199155060876,0.0,201.4494699273509,1512.7953,2862.9463688195897,128270.336,7,98000
0.0,-103.5921601149901,-5303.196,1189.9427239785796,0.0,10,1189.9427239785805,7275.673508881616,-103.5921601149901,0.0,2358.2990252286195,1.8060747,10,8,1189.9427239785805,-6.949117,2358.2990252286195,0.0,1189.9427239785796,650.3265,7275.673508881616,143434.31,8,104000
0.0,-94.10775621407808,-11353.062,1024.356825377391,0.0,10,1024.3568253773915,3800.5049055972863,-94.10775621407808,0.0,1216.1367174954034,2.2046504,10,9,1024.3568253773915,-16.77142,1216.1367174954034,0.0,1024.356825377391,184.78996,3800.5049055972863,173666.62,9,110000
0.0,-70.97496347985528,-13008.644,24.54691063219546,0.0,10,24.5469106321954,679.5514790796273,-70.97496347985528,0.0,219.03241827110347,2.7184868,10,10,24.5469106321954,-21.220158,219.03241827110347,0.0,24.54691063219546,264.18878,679.5514790796273,200506.31,10,116000
0.0,-87.60350531182799,-11552.432,1877.250681036698,0.0,10,1877.2506810366972,9441.196215722148,-87.60350531182799,0.0,3234.5327353258504,3.217564,10,11,1877.2506810366972,-23.038511,3234.5327353258504,0.0,1877.250681036698,175.12196,9441.196215722148,210961.97,11,122000
0.0,-86.12232438217032,-12072.302,1286.3751875149944,0.0,10,1286.3751875149942,6780.808532504207,-86.12232438217032,0.0,2010.7321178936609,3.7567427,10,12,1286.3751875149942,-22.47929,2010.7321178936609,0.0,1286.3751875149944,174.47836,6780.808532504207,200843.98,12,128000
0.0,-101.70415735925404,-11803.998,1071.4619341636756,0.0,10,1071.4619341636753,11406.902507586212,-101.70415735925404,0.0,3445.186739754301,4.3649487,10,13,1071.4619341636753,-22.618011,3445.186739754301,0.0,1071.4619341636756,390.5007,11406.902507586212,234275.19,13,134000
0.0,-84.29080567938675,-10581.14,1877.990377241474,0.0,10,1877.9903772414734,7771.639380447651,-84.29080567938675,0.0,2871.3377646041295,5.0145936,10,14,1877.9903772414734,-18.632326,2871.3377646041295,0.0,1877.990377241474,366.24652,7771.639380447651,236910.61,14,140000
0.0,-95.84998108482627,-12113.214,1893.2325424419691,0.0,10,1893.2325424419691,7513.723464179425,-95.84998108482627,0.0,2840.7121290023947,5.765828,10,15,1893.2325424419691,-22.883081,2840.7121290023947,0.0,1893.2325424419691,250.52469,7513.723464179425,246606.22,15,146000
