MetaTest/Average/Iteration,MetaTest/door-close-v1/MaxReturn,MetaTest/door-close-v1/StdReturn,policy/dLoss,Average/TerminationRate,MetaTest/door-close-v1/MinReturn,MetaTest/Average/AverageReturn,door-close-v1/MinReturn,policy/KL,MetaTest/Average/SuccessRate,MetaTest/Average/NumEpisodes,MetaTest/Average/StdReturn,door-close-v1/SuccessRate,LinearFeatureBaseline/ExplainedVariance,Average/AverageDiscountedReturn,policy/KLBefore,MetaTest/door-close-v1/SuccessRate,door-close-v1/NumEpisodes,door-close-v1/TerminationRate,policy/LossBefore,policy/LossAfter,Average/StdReturn,door-close-v1/AverageReturn,MetaTest/door-close-v1/Iteration,TotalEnvSteps,MetaTest/Average/TerminationRate,Average/MaxReturn,MetaTest/Average/MinReturn,door-close-v1/StdReturn,MetaTest/door-close-v1/AverageDiscountedReturn,MetaTest/door-close-v1/TerminationRate,door-close-v1/MaxReturn,Average/MinReturn,door-close-v1/AverageDiscountedReturn,MetaTest/Average/AverageDiscountedReturn,door-close-v1/Iteration,MetaTest/door-close-v1/NumEpisodes,Average/NumEpisodes,Average/SuccessRate,MetaTest/Average/MaxReturn,Average/AverageReturn,Average/Iteration,MetaTest/door-close-v1/AverageReturn,policy/Entropy
0,-56.3241433111875,10.712822193408384,0.020589508,0.0,-91.8224304936811,-73.74433174739987,-98.0362383781512,0.0057656094,0.0,10,10.712822193408384,0.0,0.5635412669784186,-30.53211071232972,0.0,0.0,100,0.0,-0.027692035,-0.048281543,9.064731158417034,-78.03069040204045,0,20000,0.0,-53.74477525445791,-91.8224304936811,9.064731158417034,-73.74433174739985,0.0,-53.74477525445791,-98.0362383781512,-30.53211071232972,-73.74433174739985,0,10,100,0.0,-56.3241433111875,-78.03069040204045,0,-73.74433174739987,5.675321
,,,0.018812342,0.0,,,-97.34023331560773,0.021544613,,,,0.0,0.6106526255054336,-27.070334663567674,0.0,,100,0.0,-0.013548667,-0.03236101,9.662239780871156,-66.9118589439157,,40000,,-39.62348777375672,,9.662239780871156,,,-39.62348777375672,-97.34023331560773,-27.070334663567674,,1,,100,0.0,,-66.9118589439157,1,,5.6779127
,,,0.015229551,0.0,,,-76.69568255535772,0.027300416,,,,0.02,0.4660834660262435,-22.94690324287693,0.0,,100,0.0,-0.018544307,-0.033773858,9.212309367968988,-52.340142488132145,,60000,,-31.93197839494437,,9.212309367968988,,,-31.93197839494437,-76.69568255535772,-22.94690324287693,,2,,100,0.02,,-52.340142488132145,2,,5.678378
,,,0.037728798,0.0,,,-92.19465938448715,0.0064644087,,,,0.28,0.07181554033393889,-17.38711863760303,0.0,,100,0.0,0.05045464,0.012725842,52.910436940072465,-40.98864247158219,,80000,,464.7701984004925,,52.910436940072465,,,464.7701984004925,-92.19465938448715,-17.38711863760303,,3,,100,0.28,,-40.98864247158219,3,,5.658485
,,,0.004210883,0.0,,,-74.64200580657962,0.005465492,,,,0.36,0.28150850344803935,-19.355109366994178,0.0,,100,0.0,-0.004452103,-0.008662986,11.627735161359466,-46.2289154843486,,100000,,1.1758468890498395,,11.627735161359466,,,1.1758468890498395,-74.64200580657962,-19.355109366994178,,4,,100,0.36,,-46.2289154843486,4,,5.6549525
,,,0.012817552,0.0,,,-86.95849695033867,0.0056478577,,,,0.28,0.34504050892932125,-19.693920175326692,0.0,,100,0.0,-0.0037760376,-0.01659359,14.752649334245836,-47.0918413124362,,120000,,6.278990219245889,,14.752649334245836,,,6.278990219245889,-86.95849695033867,-19.693920175326692,,5,,100,0.28,,-47.0918413124362,5,,5.6600027
,,,0.008898627,0.0,,,-82.80396145361112,0.007831698,,,,0.23,0.1891587854974992,-18.54086836468639,0.0,,100,0.0,0.015043945,0.0061453185,20.7714390008331,-43.36961231633528,,140000,,136.17621209139637,,20.7714390008331,,,136.17621209139637,-82.80396145361112,-18.54086836468639,,6,,100,0.23,,-43.36961231633528,6,,5.6404123
,,,0.16466406,0.0,,,-91.50047833502835,0.0079098595,,,,0.26,0.15013189795606963,-14.557316730956266,0.0,,100,0.0,-0.06224309,-0.22690715,173.92512020209682,-23.90544649348439,,160000,,1590.1974904674187,,173.92512020209682,,,1590.1974904674187,-91.50047833502835,-14.557316730956266,,7,,100,0.26,,-23.90544649348439,7,,5.5994573
,,,0.13955536,0.0,,,-81.10378418647117,0.008139055,,,,0.19,0.11741672146523063,-13.89699302057237,0.0,,100,0.0,0.0663124,-0.07324297,143.8082827720983,-25.055106590485266,,180000,,1352.6106481033203,,143.8082827720983,,,1352.6106481033203,-81.10378418647117,-13.89699302057237,,8,,100,0.19,,-25.055106590485266,8,,5.5540338
,,,1.2430254,0.0,,,-82.89818886263593,0.006671915,,,,0.16,0.24669819167090645,6.781102206607085,0.0,,100,0.0,0.9692926,-0.2737328,978.6611478735086,74.84568649431935,,200000,,9745.22695535798,,978.6611478735086,,,9745.22695535798,-82.89818886263593,6.781102206607085,,9,,100,0.16,,74.84568649431935,9,,5.5214076
