plate-slide-v1/Iteration,MetaTest/Average/NumEpisodes,plate-slide-v1/MaxReturn,plate-slide-v1/TerminationRate,plate-slide-v1/MinReturn,policy/KLBefore,MetaTest/Average/TerminationRate,MetaTest/plate-slide-v1/SuccessRate,Average/MinReturn,plate-slide-v1/StdReturn,policy/LossBefore,policy/LossAfter,policy/Entropy,Average/AverageReturn,plate-slide-v1/AverageReturn,plate-slide-v1/AverageDiscountedReturn,Average/SuccessRate,MetaTest/plate-slide-v1/MaxReturn,MetaTest/Average/AverageReturn,policy/dLoss,policy/KL,Average/AverageDiscountedReturn,MetaTest/plate-slide-v1/StdReturn,MetaTest/plate-slide-v1/NumEpisodes,MetaTest/Average/Iteration,TotalEnvSteps,MetaTest/plate-slide-v1/MinReturn,MetaTest/plate-slide-v1/AverageReturn,plate-slide-v1/NumEpisodes,MetaTest/Average/AverageDiscountedReturn,Average/NumEpisodes,MetaTest/Average/StdReturn,Average/Iteration,MetaTest/plate-slide-v1/AverageDiscountedReturn,Average/MaxReturn,MetaTest/plate-slide-v1/TerminationRate,MetaTest/Average/SuccessRate,LinearFeatureBaseline/ExplainedVariance,Average/TerminationRate,plate-slide-v1/SuccessRate,MetaTest/Average/MinReturn,MetaTest/Average/MaxReturn,Average/StdReturn,MetaTest/plate-slide-v1/Iteration
0,10,-28.060091988761453,0.0,-75.6530822224939,0.0,0.0,0.0,-75.6530822224939,10.237237204408457,-0.015408112,-0.046814974,5.6956663,-56.5177124658546,-56.5177124658546,-20.92237518580089,0.0,-34.38142582488144,-49.846354160140315,0.031406865,0.010084517,-20.92237518580089,10.604118720438077,10,0,20000,-64.1571743946994,-49.846354160140315,100,-49.84635416014031,100,10.604118720438077,0,-49.84635416014031,-28.060091988761453,0.0,0.0,0.42165863145696925,0.0,0.0,-64.1571743946994,-34.38142582488144,10.237237204408457,0
1,,218.84281160892243,0.0,-61.837611579527874,0.0,,,-61.837611579527874,28.059027966065866,0.005054077,-0.048598036,5.6999307,-38.053944924532125,-38.053944924532125,-13.925381816157534,0.0,,,0.053652115,0.027021624,-13.925381816157534,,,,40000,,,100,,100,,1,,218.84281160892243,,,0.15419330459629377,0.0,0.0,,,28.059027966065866,
2,,1120.9536749395638,0.0,-50.05692283363453,0.0,,,-50.05692283363453,180.3002109395439,0.12631768,-0.1724463,5.695869,25.44864106605028,25.44864106605028,11.383335312213411,0.0,,,0.298764,0.010253507,11.383335312213411,,,,60000,,,100,,100,,2,,1120.9536749395638,,,0.14040483114337288,0.0,0.0,,,180.3002109395439,
3,,3711.2297368461736,0.0,-51.15312820512519,0.0,,,-51.15312820512519,741.8072144547863,1.2423352,0.08613399,5.682615,293.47779130352666,293.47779130352666,111.5814869751481,0.02,,,1.1562012,0.008035577,111.5814869751481,,,,80000,,,100,,100,,3,,3711.2297368461736,,,0.12691962767597742,0.0,0.02,,,741.8072144547863,
4,,5530.684769148552,0.0,-68.42931597661571,0.0,,,-68.42931597661571,635.537856658298,0.30102715,-0.2966334,5.685631,209.28150335939907,209.28150335939907,89.5554251551876,0.01,,,0.59766054,0.008476006,89.5554251551876,,,,100000,,,100,,100,,4,,5530.684769148552,,,0.12970510414259495,0.0,0.01,,,635.537856658298,
5,,4766.165480485399,0.0,-54.92182358612425,0.0,,,-54.92182358612425,838.0222018648593,0.27082345,-0.8180875,5.695984,309.6282577186451,309.6282577186451,113.20815596216511,0.0,,,1.0889109,0.0069161765,113.20815596216511,,,,120000,,,100,,100,,5,,4766.165480485399,,,0.13568987665643262,0.0,0.0,,,838.0222018648593,
6,,9013.589806186983,0.0,-63.653655297153755,0.0,,,-63.653655297153755,1462.6049322308497,1.588743,0.1009,5.6931844,512.324808663243,512.324808663243,160.05368496037397,0.02,,,1.4878429,0.005611547,160.05368496037397,,,,140000,,,100,,100,,6,,9013.589806186983,,,0.11470825886539782,0.0,0.02,,,1462.6049322308497,
7,,6632.96730544612,0.0,-69.43320846171765,0.0,,,-69.43320846171765,1107.1733621141698,-0.8717508,-2.015226,5.6705465,448.97801523001,448.97801523001,155.43490404337683,0.01,,,1.143475,0.008808624,155.43490404337683,,,,160000,,,100,,100,,7,,6632.96730544612,,,0.15573322656806854,0.0,0.01,,,1107.1733621141698,
8,,16132.55950889533,0.0,-64.58898817932554,0.0,,,-64.58898817932554,2613.4572997704367,0.56132656,-1.9807242,5.663681,891.5277255967535,891.5277255967535,296.9858323777163,0.0,,,2.5420508,0.008244912,296.9858323777163,,,,180000,,,100,,100,,8,,16132.55950889533,,,0.1750980748349782,0.0,0.0,,,2613.4572997704367,
9,,18194.03904024079,0.0,-55.191529286308466,0.0,,,-55.191529286308466,3765.216628889828,1.6741625,-3.1506407,5.650394,1983.1128779752885,1983.1128779752885,692.0063471384054,0.01,,,4.8248034,0.007518669,692.0063471384054,,,,200000,,,100,,100,,9,,18194.03904024079,,,0.20371674875931922,0.0,0.01,,,3765.216628889828,
10,10,23671.554341477837,0.0,-71.54071737991916,0.0,0.0,0.0,-71.54071737991916,4271.549167840511,-1.0078992,-5.405355,5.6298165,2679.5078646545426,2679.5078646545426,920.1234693769088,0.01,8949.32149310717,1495.6139599479206,4.3974557,0.005629068,920.1234693769088,2672.328220368274,10,1,220000,-54.43719931987138,1495.6139599479206,100,1495.6139599479216,100,2672.328220368274,10,1495.6139599479216,23671.554341477837,0.0,0.0,0.17493892890040463,0.0,0.01,-54.43719931987138,8949.32149310717,4271.549167840511,1
11,,12519.345618496023,0.0,-50.76936695705352,0.0,,,-50.76936695705352,2828.8477355585915,1.0911125,-1.6768438,5.6204915,1817.708017613586,1817.708017613586,645.7585654373256,0.01,,,2.7679563,0.0053492994,645.7585654373256,,,,240000,,,100,,100,,11,,12519.345618496023,,,0.11666703731618278,0.0,0.01,,,2828.8477355585915,
12,,28904.335360361336,0.0,-50.50144376545759,0.0,,,-50.50144376545759,4491.901226968066,-0.42104375,-4.671694,5.575669,2383.2374323069657,2383.2374323069657,803.2020930879225,0.02,,,4.25065,0.005997086,803.2020930879225,,,,260000,,,100,,100,,12,,28904.335360361336,,,0.17502345512218254,0.0,0.02,,,4491.901226968066,
13,,21285.685687492158,0.0,-61.27014225472212,0.0,,,-61.27014225472212,4184.119420439699,-2.4439938,-5.9824815,5.5421896,1856.3357660481788,1856.3357660481788,691.4353008427258,0.02,,,3.5384877,0.00574134,691.4353008427258,,,,280000,,,100,,100,,13,,21285.685687492158,,,0.15400931690062603,0.0,0.02,,,4184.119420439699,
14,,27905.557752939163,0.0,-55.95833907349332,0.0,,,-55.95833907349332,4360.183655066632,3.6696594,-0.39496562,5.5107813,2578.9690291668226,2578.9690291668226,862.7495018651782,0.02,,,4.064625,0.0049332557,862.7495018651782,,,,300000,,,100,,100,,14,,27905.557752939163,,,0.19910501054291474,0.0,0.02,,,4360.183655066632,
