MetaTrain/Average/QfLoss,MetaTest/faucet-close-v1/AverageDiscountedReturn,MetaTest/faucet-close-v1/StdReturn,MetaTest/Average/StdReturn,MetaTrain/Average/ContrastiveLoss,MetaTrain/Average/PolicyLoss,MetaTest/faucet-close-v1/NumTrajs,MetaTest/faucet-close-v1/MaxReturn,TotalEnvSteps,MetaTest/Average/AverageReturn,MetaTest/faucet-close-v1/TerminationRate,MetaTest/Average/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/faucet-close-v1/MinReturn,MetaTrain/Average/Alpha,MetaTest/faucet-close-v1/AverageReturn,MetaTest/faucet-close-v1/SuccessRate,MetaTest/Average/MinReturn,MetaTest/Average/NumTrajs,MetaTest/faucet-close-v1/Iteration,MetaTrain/Average/AlphaLoss,MetaTest/Average/SuccessRate,MetaTest/Average/MaxReturn,MetaTest/Average/Iteration
4307.61,-33.55385866612809,2.010268900981638,2.010268900981638,8.024616,-36.24789,10,-30.607597960063202,224000,-33.55385866612809,0.0,0.0,-33.55385866612809,-37.00665719171066,nan,-33.55385866612809,0.0,-37.00665719171066,10,0,5.932595,0.0,-30.607597960063202,0
5813.287,-22.85604328510079,33.15971559746195,33.15971559746195,8.6863365,-136.55363,10,74.57456258078294,248000,-22.856043285100796,0.0,0.0,-22.85604328510079,-46.52706025334667,nan,-22.856043285100796,0.0,-46.52706025334667,10,1,5.095581,0.0,74.57456258078294,1
71203.01,2293.2552441179946,4274.6893871305965,4274.6893871305965,46.438354,-2003.53,10,11161.574421704312,272000,2293.255244117994,0.0,0.0,2293.2552441179946,-109.38664929274762,nan,2293.255244117994,0.0,-109.38664929274762,10,2,-1.9264095,0.0,11161.574421704312,2
250455.94,774.1246923862666,1290.4272383958705,1290.4272383958705,21.889793,-8027.3086,10,3392.760628118266,296000,774.1246923862666,0.0,0.0,774.1246923862666,-46.296423859870885,nan,774.1246923862666,0.0,-46.296423859870885,10,3,-7.944597,0.0,3392.760628118266,3
7248016.0,-31.001945942940676,136.025228651361,136.025228651361,35.668278,-13182.236,10,372.6741873408211,320000,-31.001945942940683,0.0,0.0,-31.001945942940676,-104.25990662684183,nan,-31.001945942940683,0.0,-104.25990662684183,10,4,-12.858584,0.0,372.6741873408211,4
559066.2,6206.620264237332,4178.594902593089,4178.594902593089,44.010063,-22346.348,10,14214.449650354827,344000,6206.620264237329,0.0,0.0,6206.620264237332,-14.134921819937404,nan,6206.620264237329,0.0,-14.134921819937404,10,5,-14.724401,0.0,14214.449650354827,5
719694.06,1295.7224472464466,2571.02687426255,2571.02687426255,22.647724,-26465.943,10,8965.963499883148,368000,1295.722447246447,0.0,0.0,1295.7224472464466,-37.731672918372205,nan,1295.722447246447,0.0,-37.731672918372205,10,6,-13.115238,0.0,8965.963499883148,6
892122.8,4090.7896452801083,4282.784790161328,4282.784790161328,17.372938,-28920.945,10,14973.380849039571,392000,4090.789645280107,0.0,0.0,4090.7896452801083,-60.00247723161825,nan,4090.789645280107,0.0,-60.00247723161825,10,7,-14.107246,0.0,14973.380849039571,7
1084597.0,12484.980338113563,7205.905339268149,7205.905339268149,20.74628,-29414.385,10,20348.50748654794,416000,12484.980338113566,0.0,0.0,12484.980338113563,820.9730684363013,nan,12484.980338113566,0.0,820.9730684363013,10,8,-13.432366,0.0,20348.50748654794,8
1276085.8,5053.68286513264,7231.641485270665,7231.641485270665,16.98884,-31408.002,10,21043.40558254356,440000,5053.682865132639,0.0,0.0,5053.68286513264,-43.184988851615245,nan,5053.682865132639,0.0,-43.184988851615245,10,9,-13.568952,0.0,21043.40558254356,9
