MetaTest/Average/MaxReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/MinReturn,MetaTest/Average/SuccessRate,MetaTest/window-open-v1/SuccessRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/window-open-v1/AverageReturn,MetaTest/Average/StdReturn,TotalEnvSteps,MetaTrain/Average/PolicyLoss,MetaTest/Average/AverageReturn,MetaTest/window-open-v1/MaxReturn,MetaTest/Average/NumTrajs,MetaTest/Average/Iteration,MetaTest/window-open-v1/NumTrajs,MetaTest/window-open-v1/AverageDiscountedReturn,MetaTrain/Average/Alpha,MetaTest/window-open-v1/TerminationRate,MetaTest/Average/TerminationRate,MetaTest/window-open-v1/Iteration,MetaTest/window-open-v1/StdReturn,MetaTest/window-open-v1/MinReturn,MetaTrain/Average/AlphaLoss,MetaTrain/Average/QfLoss
-16.14420805252593,7.778337,-28.390132037439145,0.0,0.0,-24.38619454416501,-24.386194544165004,4.619898392063862,224000,-31.051224,-24.386194544165004,-16.14420805252593,10,0,10,-24.38619454416501,nan,0.0,0.0,0,4.619898392063862,-28.390132037439145,6.177367,2142.2847
17344.087882445274,25.148628,-65.75629920312134,0.1,0.1,1686.2665124828272,1686.2665124828272,5219.281882448208,248000,-476.74576,1686.2665124828272,17344.087882445274,10,1,10,1686.2665124828272,nan,0.0,0.0,1,5219.281882448208,-65.75629920312134,1.3791674,42426.016
-58.780168682052214,527.62036,-84.14839312356597,0.0,0.0,-66.5241577491303,-66.5241577491303,8.477750507706013,272000,-6402.4585,-66.5241577491303,-58.780168682052214,10,2,10,-66.5241577491303,nan,0.0,0.0,2,8.477750507706013,-84.14839312356597,-4.9620395,562404.5
-99.46843580328647,345.48166,-124.22616385998974,0.0,0.0,-113.37440879855505,-113.37440879855508,8.217088710783552,296000,-11665.568,-113.37440879855508,-99.46843580328647,10,3,10,-113.37440879855505,nan,0.0,0.0,3,8.217088710783552,-124.22616385998974,-12.149714,1700213.1
-40.65562012545678,43.802757,-88.16742486832965,0.0,0.0,-70.78170335433241,-70.78170335433241,15.397322198948535,320000,-28447.176,-70.78170335433241,-40.65562012545678,10,4,10,-70.78170335433241,nan,0.0,0.0,4,15.397322198948535,-88.16742486832965,-15.530408,4856688.5
-66.14379799357353,197.16933,-115.14261419906153,0.0,0.0,-96.11319809112953,-96.11319809112953,19.477577187177022,344000,-49032.86,-96.11319809112953,-66.14379799357353,10,5,10,-96.11319809112953,nan,0.0,0.0,5,19.477577187177022,-115.14261419906153,-16.53452,12387220.0
76258.81998541726,40.22981,-100.55768911064746,0.1,0.1,7544.520648686588,7544.5206486865845,22904.772288878754,368000,-68087.12,7544.5206486865845,76258.81998541726,10,6,10,7544.520648686588,nan,0.0,0.0,6,22904.772288878754,-100.55768911064746,-17.97578,19936814.0
-11.081074433580534,65.95196,-89.45382832882017,0.1,0.1,-68.72009015488666,-68.72009015488666,21.206001924908747,392000,-79377.055,-68.72009015488666,-11.081074433580534,10,7,10,-68.72009015488666,nan,0.0,0.0,7,21.206001924908747,-89.45382832882017,-21.00054,23518704.0
-58.958948415809104,89.79312,-78.17783041633679,0.0,0.0,-66.20909645351023,-66.20909645351023,5.435098838355196,416000,-93130.1,-66.20909645351023,-58.958948415809104,10,8,10,-66.20909645351023,nan,0.0,0.0,8,5.435098838355196,-78.17783041633679,-21.96014,37304390.0
154082.94125854838,127.27894,-61.17806802949191,0.4,0.4,28527.758738127195,28527.758738127188,57366.438207858526,440000,-97736.32,28527.758738127188,154082.94125854838,10,9,10,28527.758738127195,nan,0.0,0.0,9,57366.438207858526,-61.17806802949191,-23.214739,45303960.0
