MetaTest/Average/SuccessRate,TotalEnvSteps,MetaTest/door-open-v1/NumTrajs,MetaTest/door-open-v1/SuccessRate,MetaTest/door-open-v1/StdReturn,MetaTest/Average/NumTrajs,MetaTest/Average/AverageDiscountedReturn,MetaTest/door-open-v1/AverageDiscountedReturn,MetaTest/Average/MinReturn,MetaTest/Average/TerminationRate,MetaTest/door-open-v1/MinReturn,MetaTest/Average/MaxReturn,MetaTest/door-open-v1/MaxReturn,MetaTest/Average/AverageReturn,MetaTest/door-open-v1/Iteration,MetaTest/door-open-v1/TerminationRate,MetaTest/Average/StdReturn,MetaTest/Average/Iteration,MetaTest/door-open-v1/AverageReturn
0.0,224000,10,0.0,5.8883614156502855,10,-69.19278469862707,-69.19278469862707,-80.44066339549659,0.0,-80.44066339549659,-60.44324355104161,-60.44324355104161,-69.19278469862704,0,0.0,5.8883614156502855,0,-69.19278469862704
0.0,248000,10,0.0,8.202432064003489,10,-68.29496700847376,-68.29496700847376,-80.08606148640064,0.0,-80.08606148640064,-53.68677585019116,-53.68677585019116,-68.29496700847372,1,0.0,8.202432064003489,1,-68.29496700847372
0.0,272000,10,0.0,13.591456715830034,10,-43.601317386636055,-43.601317386636055,-64.14314645781698,0.0,-64.14314645781698,-24.440024937263775,-24.440024937263775,-43.60131738663605,2,0.0,13.591456715830034,2,-43.60131738663605
0.0,296000,10,0.0,7.444989965162279,10,-36.306450938555436,-36.306450938555436,-45.79601684387068,0.0,-45.79601684387068,-20.209357942321354,-20.209357942321354,-36.306450938555436,3,0.0,7.444989965162279,3,-36.306450938555436
0.1,320000,10,0.1,11.625928201466667,10,-24.867348662085266,-24.867348662085266,-55.8409304469963,0.0,-55.8409304469963,-14.62027078932924,-14.62027078932924,-24.86734866208527,4,0.0,11.625928201466667,4,-24.86734866208527
0.0,344000,10,0.0,5.449231969277446,10,-45.10787423680025,-45.10787423680025,-58.84642310606974,0.0,-58.84642310606974,-37.62680738769439,-37.62680738769439,-45.107874236800264,5,0.0,5.449231969277446,5,-45.107874236800264
0.0,368000,10,0.0,143.11997445657425,10,23.80443471474721,23.80443471474721,-54.91379153238037,0.0,-54.91379153238037,451.7174508400351,451.7174508400351,23.80443471474719,6,0.0,143.11997445657425,6,23.80443471474719
0.0,392000,10,0.0,34.857094253927826,10,-87.08832669590387,-87.08832669590387,-152.4542892845424,0.0,-152.4542892845424,-36.3160790565981,-36.3160790565981,-87.08832669590382,7,0.0,34.857094253927826,7,-87.08832669590382
0.0,416000,10,0.0,22.13518817805193,10,-75.00276861406981,-75.00276861406981,-103.39606409599399,0.0,-103.39606409599399,-25.876634916325184,-25.876634916325184,-75.00276861406982,8,0.0,22.13518817805193,8,-75.00276861406982
0.2,440000,10,0.2,7.3889973145331895,10,-37.114375078603885,-37.114375078603885,-53.96088521871055,0.0,-53.96088521871055,-27.751152128132922,-27.751152128132922,-37.11437507860389,9,0.0,7.3889973145331895,9,-37.11437507860389
0.0,464000,10,0.0,10.89526660486734,10,-40.026194493499204,-40.026194493499204,-69.15268474167821,0.0,-69.15268474167821,-27.370879008067572,-27.370879008067572,-40.02619449349922,10,0.0,10.89526660486734,10,-40.02619449349922
0.3,488000,10,0.3,161.61328876217783,10,-4.427586998909788,-4.427586998909788,-116.31307924134285,0.0,-116.31307924134285,471.5267148942279,471.5267148942279,-4.427586998909803,11,0.0,161.61328876217783,11,-4.427586998909803
0.2,512000,10,0.2,58113.47414832682,10,19299.292087113725,19299.292087113725,-147.66582383523786,0.0,-147.66582383523786,193639.65522093372,193639.65522093372,19299.292087113743,12,0.0,58113.47414832682,12,19299.292087113743
0.2,536000,10,0.2,17052.409644272382,10,5630.9837754605505,5630.9837754605505,-119.51323273736246,0.0,-119.51323273736246,56788.1498363785,56788.1498363785,5630.983775460552,13,0.0,17052.409644272382,13,5630.983775460552
0.1,560000,10,0.1,38.535352825374716,10,-65.98715147053056,-65.98715147053056,-123.63312577449908,0.0,-123.63312577449908,-5.689638228334957,-5.689638228334957,-65.9871514705306,14,0.0,38.535352825374716,14,-65.9871514705306
0.3,584000,10,0.3,60449.47982258248,10,20067.214250569086,20067.214250569086,-123.99167402466134,0.0,-123.99167402466134,201415.62080627546,201415.62080627546,20067.21425056908,15,0.0,60449.47982258248,15,20067.21425056908
0.3,608000,10,0.3,26.35169038428833,10,-61.20521015515144,-61.20521015515144,-109.59228904063015,0.0,-109.59228904063015,-27.62403316046713,-27.62403316046713,-61.20521015515144,16,0.0,26.35169038428833,16,-61.20521015515144
0.1,632000,10,0.1,15.642492989376128,10,-105.52023115370116,-105.52023115370116,-121.89488854268015,0.0,-121.89488854268015,-64.60399436468441,-64.60399436468441,-105.52023115370116,17,0.0,15.642492989376128,17,-105.52023115370116
0.2,656000,10,0.2,31.703563689503873,10,-72.57943664333288,-72.57943664333288,-110.20395125060489,0.0,-110.20395125060489,-24.27281778159043,-24.27281778159043,-72.57943664333288,18,0.0,31.703563689503873,18,-72.57943664333288
0.2,680000,10,0.2,7271.055273792105,10,4152.712907930766,4152.712907930766,-114.73087926853123,0.0,-114.73087926853123,21620.711020543324,21620.711020543324,4152.712907930765,19,0.0,7271.055273792105,19,4152.712907930765
0.0,704000,10,0.0,167.76321877795436,10,-14.892269757349391,-14.892269757349391,-103.39110746333249,0.0,-103.39110746333249,484.651654475328,484.651654475328,-14.892269757349407,20,0.0,167.76321877795436,20,-14.892269757349407
0.4,728000,10,0.4,26.677759226163722,10,-62.865248980917066,-62.865248980917066,-109.12078959790597,0.0,-109.12078959790597,-18.97467310259031,-18.97467310259031,-62.86524898091702,21,0.0,26.677759226163722,21,-62.86524898091702
0.1,752000,10,0.1,33.19254215301647,10,-64.60191286429009,-64.60191286429009,-114.8934212514151,0.0,-114.8934212514151,-33.08329074239359,-33.08329074239359,-64.60191286429006,22,0.0,33.19254215301647,22,-64.60191286429006
0.0,776000,10,0.0,9.731530431128094,10,-66.54060321249317,-66.54060321249317,-84.60912774560583,0.0,-84.60912774560583,-53.232403193207084,-53.232403193207084,-66.54060321249321,23,0.0,9.731530431128094,23,-66.54060321249321
0.0,800000,10,0.0,12.879522797495872,10,-41.89945596687031,-41.89945596687031,-71.68139878345445,0.0,-71.68139878345445,-24.31186738932381,-24.31186738932381,-41.899455966870306,24,0.0,12.879522797495872,24,-41.899455966870306
0.5,824000,10,0.5,27075.889813786773,10,9570.504971124707,9570.504971124707,-71.46179235031423,0.0,-71.46179235031423,90708.84699602526,90708.84699602526,9570.504971124708,25,0.0,27075.889813786773,25,9570.504971124708
0.2,848000,10,0.2,20.31318777858974,10,-60.97108119451034,-60.97108119451034,-97.47641423949977,0.0,-97.47641423949977,-26.81031399193931,-26.81031399193931,-60.97108119451034,26,0.0,20.31318777858974,26,-60.97108119451034
0.1,872000,10,0.1,32.3847460017661,10,-50.69783758071371,-50.69783758071371,-114.66636880734507,0.0,-114.66636880734507,-16.229066656092378,-16.229066656092378,-50.697837580713724,27,0.0,32.3847460017661,27,-50.697837580713724
0.2,896000,10,0.2,26841.712808920547,10,8979.64339079193,8979.64339079193,-100.10437681750099,0.0,-100.10437681750099,89501.28221071129,89501.28221071129,8979.643390791924,28,0.0,26841.712808920547,28,8979.643390791924
0.0,920000,10,0.0,45.03065359860939,10,-67.54081595057494,-67.54081595057494,-118.14364771198564,0.0,-118.14364771198564,-15.932443039203584,-15.932443039203584,-67.54081595057487,29,0.0,45.03065359860939,29,-67.54081595057487
0.0,944000,10,0.0,5.77120900825953,10,-73.51447812133738,-73.51447812133738,-85.74581470268427,0.0,-85.74581470268427,-66.1367401869828,-66.1367401869828,-73.51447812133739,30,0.0,5.77120900825953,30,-73.51447812133739
0.0,968000,10,0.0,69.54652949067314,10,-33.35967333421959,-33.35967333421959,-72.36153820605884,0.0,-72.36153820605884,173.25679473834197,173.25679473834197,-33.359673334219615,31,0.0,69.54652949067314,31,-33.359673334219615
0.5,992000,10,0.5,20635.675760963357,10,6836.018851440736,6836.018851440736,-114.71563955418888,0.0,-114.71563955418888,68742.8745654987,68742.8745654987,6836.018851440742,32,0.0,20635.675760963357,32,6836.018851440742
0.5,1016000,10,0.5,735.6286068199469,10,173.55874023675682,173.55874023675682,-125.21559930756632,0.0,-125.21559930756632,2376.7964070970056,2376.7964070970056,173.55874023675662,33,0.0,735.6286068199469,33,173.55874023675662
0.3,1040000,10,0.3,131.06467257237787,10,-6.119356080840518,-6.119356080840518,-116.54238067727681,0.0,-116.54238067727681,368.59262649949227,368.59262649949227,-6.119356080840523,34,0.0,131.06467257237787,34,-6.119356080840523
0.2,1064000,10,0.2,32493.857115715546,10,10770.229171332498,10770.229171332498,-98.4629642196283,0.0,-98.4629642196283,108251.75799731066,108251.75799731066,10770.229171332498,35,0.0,32493.857115715546,35,10770.229171332498
0.0,1088000,10,0.0,409.8133360951251,10,122.84398222266104,122.84398222266104,-105.84036556040114,0.0,-105.84036556040114,1230.6974818868355,1230.6974818868355,122.84398222266108,36,0.0,409.8133360951251,36,122.84398222266108
0.2,1112000,10,0.2,5623.293175097131,10,1927.1945325083477,1927.1945325083477,-142.46304873719023,0.0,-142.46304873719023,18762.556629674327,18762.556629674327,1927.1945325083475,37,0.0,5623.293175097131,37,1927.1945325083475
0.3,1136000,10,0.3,927.4749202340006,10,224.5903597996315,224.5903597996315,-142.874569443138,0.0,-142.874569443138,3003.396662212456,3003.396662212456,224.59035979963156,38,0.0,927.4749202340006,38,224.59035979963156
0.7,1160000,10,0.7,35441.65014553296,10,11783.132273631483,11783.132273631483,-62.808981451479845,0.0,-62.808981451479845,118108.07721426146,118108.07721426146,11783.13227363148,39,0.0,35441.65014553296,39,11783.13227363148
0.2,1184000,10,0.2,803.2825013056002,10,238.17571235488634,238.17571235488634,-43.030765731507934,0.0,-43.030765731507934,2647.7605866928025,2647.7605866928025,238.17571235488634,40,0.0,803.2825013056002,40,238.17571235488634
0.2,1208000,10,0.2,274.7908110752982,10,94.14595442450818,94.14595442450818,-68.11748944369387,0.0,-68.11748944369387,871.2193292045602,871.2193292045602,94.14595442450808,41,0.0,274.7908110752982,41,94.14595442450808
0.8,1232000,10,0.8,62717.8767601723,10,31258.90682777359,31258.90682777359,-57.19844897256972,0.0,-57.19844897256972,166403.78828888797,166403.78828888797,31258.90682777359,42,0.0,62717.8767601723,42,31258.90682777359
0.0,1256000,10,0.0,15.374548791507086,10,-62.78335914169236,-62.78335914169236,-81.04994806919392,0.0,-81.04994806919392,-41.21190837572245,-41.21190837572245,-62.78335914169236,43,0.0,15.374548791507086,43,-62.78335914169236
0.8,1280000,10,0.8,62293.07215394232,10,36017.25802946306,36017.25802946306,-39.9655272856171,0.0,-39.9655272856171,169261.64755035634,169261.64755035634,36017.258029463075,44,0.0,62293.07215394232,44,36017.258029463075
0.9,1304000,10,0.9,86462.06791116178,10,77114.47195064815,77114.47195064815,-20.119330088214593,0.0,-20.119330088214593,278111.44637092977,278111.44637092977,77114.4719506482,45,0.0,86462.06791116178,45,77114.4719506482
0.7,1328000,10,0.7,47920.89496420797,10,30468.65228924965,30468.65228924965,-30.71688837670014,0.0,-30.71688837670014,132692.15282456295,132692.15282456295,30468.652289249654,46,0.0,47920.89496420797,46,30468.652289249654
1.0,1352000,10,1.0,76480.98237995496,10,67502.82323263811,67502.82323263811,-20.321118493500588,0.0,-20.321118493500588,210560.21963315128,210560.21963315128,67502.82323263811,47,0.0,76480.98237995496,47,67502.82323263811
0.4,1376000,10,0.4,85733.68201162884,10,45481.7085904441,45481.7085904441,-118.94735501113672,0.0,-118.94735501113672,260911.45701882153,260911.45701882153,45481.708590444105,48,0.0,85733.68201162884,48,45481.708590444105
1.0,1400000,10,1.0,105423.25263590393,10,96963.07779365874,96963.07779365874,-17.43929640914734,0.0,-17.43929640914734,262323.0707303862,262323.0707303862,96963.07779365871,49,0.0,105423.25263590393,49,96963.07779365871
0.8,1424000,10,0.8,85615.79039819466,10,102957.00143867917,102957.00143867917,5446.39397345188,0.0,5446.39397345188,234869.26408624716,234869.26408624716,102957.00143867919,50,0.0,85615.79039819466,50,102957.00143867919
1.0,1448000,10,1.0,82949.5565866921,10,62342.06628528405,62342.06628528405,-21.505841147315138,0.0,-21.505841147315138,281734.24170900893,281734.24170900893,62342.06628528405,51,0.0,82949.5565866921,51,62342.06628528405
0.2,1472000,10,0.2,40938.940155075696,10,16095.818992487935,16095.818992487935,-116.62554863301507,0.0,-116.62554863301507,137134.38955322388,137134.38955322388,16095.81899248793,52,0.0,40938.940155075696,52,16095.81899248793
0.7,1496000,10,0.7,110394.12159101425,10,97467.57997445033,97467.57997445033,-12.936881918034336,0.0,-12.936881918034336,284112.52093397087,284112.52093397087,97467.57997445026,53,0.0,110394.12159101425,53,97467.57997445026
0.9,1520000,10,0.9,73141.47707158423,10,178373.2709817058,178373.2709817058,79630.06011807997,0.0,79630.06011807997,266834.224086822,266834.224086822,178373.27098170572,54,0.0,73141.47707158423,54,178373.27098170572
0.8,1544000,10,0.8,70498.11271978542,10,154876.41570625157,154876.41570625157,38919.640111693756,0.0,38919.640111693756,267931.09126374684,267931.09126374684,154876.41570625157,55,0.0,70498.11271978542,55,154876.41570625157
1.0,1568000,10,1.0,92980.8436494183,10,108141.98406364005,108141.98406364005,5749.532297300905,0.0,5749.532297300905,242706.66975721662,242706.66975721662,108141.98406364,56,0.0,92980.8436494183,56,108141.98406364
1.0,1592000,10,1.0,86362.85426190968,10,183622.34322379302,183622.34322379302,59129.5206972808,0.0,59129.5206972808,277657.5368318833,277657.5368318833,183622.34322379305,57,0.0,86362.85426190968,57,183622.34322379305
0.9,1616000,10,0.9,93509.86919507121,10,137563.92577197665,137563.92577197665,771.8943498338009,0.0,771.8943498338009,267786.3126606883,267786.3126606883,137563.92577197662,58,0.0,93509.86919507121,58,137563.92577197662
0.6,1640000,10,0.6,86072.91851772745,10,86568.4770917827,86568.4770917827,1068.7803996226085,0.0,1068.7803996226085,249416.17048699153,249416.17048699153,86568.4770917827,59,0.0,86072.91851772745,59,86568.4770917827
0.5,1664000,10,0.5,72441.64097122413,10,58125.990009157475,58125.990009157475,-86.66086136615387,0.0,-86.66086136615387,177952.8903203693,177952.8903203693,58125.99000915749,60,0.0,72441.64097122413,60,58125.99000915749
0.7,1688000,10,0.7,92643.39097324808,10,91210.15992634985,91210.15992634985,-15.840358526166442,0.0,-15.840358526166442,259186.74865786216,259186.74865786216,91210.15992634985,61,0.0,92643.39097324808,61,91210.15992634985
0.8,1712000,10,0.8,90019.3296152905,10,190561.08384135674,190561.08384135674,45830.23896293757,0.0,45830.23896293757,288580.36000898405,288580.36000898405,190561.08384135668,62,0.0,90019.3296152905,62,190561.08384135668
0.2,1736000,10,0.2,72471.23679079433,10,34444.797956793635,34444.797956793635,-99.55861367086887,0.0,-99.55861367086887,235930.76118706755,235930.76118706755,34444.79795679365,63,0.0,72471.23679079433,63,34444.79795679365
0.4,1760000,10,0.4,108984.74890419295,10,85278.94000958605,85278.94000958605,-115.9928442397974,0.0,-115.9928442397974,271015.240940692,271015.240940692,85278.94000958608,64,0.0,108984.74890419295,64,85278.94000958608
1.0,1784000,10,1.0,84747.84561915415,10,164310.5778076606,164310.5778076606,28236.415445137376,0.0,28236.415445137376,284595.71474805614,284595.71474805614,164310.57780766053,65,0.0,84747.84561915415,65,164310.57780766053
1.0,1808000,10,1.0,78298.15109741465,10,186208.47037592513,186208.47037592513,59876.01562954887,0.0,59876.01562954887,284479.48975813156,284479.48975813156,186208.47037592513,66,0.0,78298.15109741465,66,186208.47037592513
0.2,1832000,10,0.2,88032.27203267232,10,50765.467501871215,50765.467501871215,-114.17849718449317,0.0,-114.17849718449317,250766.56359129713,250766.56359129713,50765.467501871215,67,0.0,88032.27203267232,67,50765.467501871215
0.9,1856000,10,0.9,89764.15646882931,10,145144.3111794969,145144.3111794969,-88.99560725899943,0.0,-88.99560725899943,278377.9676286905,278377.9676286905,145144.31117949687,68,0.0,89764.15646882931,68,145144.31117949687
0.8,1880000,10,0.8,94264.26644213566,10,103948.32233908826,103948.32233908826,-39.18536094507423,0.0,-39.18536094507423,230400.99107751678,230400.99107751678,103948.32233908829,69,0.0,94264.26644213566,69,103948.32233908829
1.0,1904000,10,1.0,33576.075103099116,10,192175.5306629794,192175.5306629794,142805.2780970081,0.0,142805.2780970081,238666.4802887812,238666.4802887812,192175.53066297938,70,0.0,33576.075103099116,70,192175.53066297938
0.7,1928000,10,0.7,97030.1468894587,10,61222.10777983755,61222.10777983755,-127.41713360427701,0.0,-127.41713360427701,268704.62837544875,268704.62837544875,61222.10777983758,71,0.0,97030.1468894587,71,61222.10777983758
0.7,1952000,10,0.7,72323.84116225883,10,106672.17777173128,106672.17777173128,23.91791479254867,0.0,23.91791479254867,187713.6913487886,187713.6913487886,106672.17777173124,72,0.0,72323.84116225883,72,106672.17777173124
