MetaTest/Average/Iteration,MetaTest/Average/StdReturn,window-open-v1/NumEpisodes,window-open-v1/SuccessRate,LinearFeatureBaseline/ExplainedVariance,MetaTest/Average/AverageReturn,window-open-v1/AverageReturn,Average/AverageDiscountedReturn,Average/AverageReturn,TotalEnvSteps,policy/Entropy,MetaTest/Average/MinReturn,policy/KLBefore,MetaTest/window-open-v1/SuccessRate,MetaTest/Average/MaxReturn,window-open-v1/MaxReturn,Average/SuccessRate,window-open-v1/Iteration,Average/MaxReturn,MetaTest/window-open-v1/NumEpisodes,MetaTest/window-open-v1/StdReturn,window-open-v1/TerminationRate,MetaTest/window-open-v1/MaxReturn,Average/TerminationRate,policy/dLoss,MetaTest/window-open-v1/TerminationRate,MetaTest/window-open-v1/Iteration,policy/LossAfter,Average/NumEpisodes,MetaTest/Average/AverageDiscountedReturn,window-open-v1/StdReturn,MetaTest/window-open-v1/AverageDiscountedReturn,Average/StdReturn,Average/Iteration,window-open-v1/AverageDiscountedReturn,window-open-v1/MinReturn,Average/MinReturn,MetaTest/window-open-v1/AverageReturn,MetaTest/Average/TerminationRate,MetaTest/window-open-v1/MinReturn,MetaTest/Average/SuccessRate,MetaTest/Average/NumEpisodes,policy/KL,policy/LossBefore
0,12.919264644203283,100,0.0,0.6884295717854894,-62.08267445211432,110.89442837143622,46.9610625656149,110.89442837143622,20000,5.6553035,-80.82739174762669,0.0,0.0,-35.35116826115366,16733.271471344222,0.0,0,16733.271471344222,10,12.919264644203283,0.0,-35.35116826115366,0.0,0.94317615,0.0,0,-0.682832,100,-62.082674452114304,1670.6488807642181,-62.082674452114304,1670.6488807642181,0,46.9610625656149,-81.02458819791502,-81.02458819791502,-62.08267445211432,0.0,-80.82739174762669,0.0,10,0.006184384,0.26034415
,,100,0.0,0.5580629618901729,,-58.11562660509974,-21.943864355606074,-58.11562660509974,40000,5.6413474,,0.0,,,-34.690207158664116,0.0,1,-34.690207158664116,,,0.0,,0.0,0.0014986545,,,-0.020338273,100,,9.508629091053068,,9.508629091053068,1,-21.943864355606074,-78.68735051189597,-78.68735051189597,,,,,,0.0026455948,-0.018839618
,,100,0.0,0.5444272337132179,,-54.39428228579163,-20.53366118512396,-54.39428228579163,60000,5.6356225,,0.0,,,-27.35570370732288,0.0,2,-27.35570370732288,,,0.0,,0.0,0.012955902,,,-0.02330171,100,,10.668621601555335,,10.668621601555335,2,-20.53366118512396,-79.21521573075319,-79.21521573075319,,,,,,0.0032383797,-0.010345807
,,100,0.0,0.6636187740510198,,560.5747615788837,223.80347138834804,560.5747615788837,80000,5.6461973,,0.0,,,32265.583945280923,0.0,3,32265.583945280923,,,0.0,,0.0,2.9360125,,,-1.1633016,100,,3747.4345143909113,,3747.4345143909113,3,223.80347138834804,-69.52009975936294,-69.52009975936294,,,,,,0.0057420065,1.7727109
,,100,0.01,0.5714376485612185,,1985.8543334225637,643.7039661151092,1985.8543334225637,100000,5.6408486,,0.0,,,104658.45725937567,0.01,4,104658.45725937567,,,0.0,,0.0,6.157024,,,-11.683389,100,,11250.817701369344,,11250.817701369344,4,643.7039661151092,-77.95216920578262,-77.95216920578262,,,,,,0.005189253,-5.526365
,,100,0.0,0.6095026745104275,,-46.19695658094835,-17.707587068724596,-46.19695658094835,120000,5.6295877,,0.0,,,-19.955737847831077,0.0,5,-19.955737847831077,,,0.0,,0.0,-0.017285757,,,0.005591995,100,,10.201117472630326,,10.201117472630326,5,-17.707587068724596,-68.84562174935276,-68.84562174935276,,,,,,0.005845077,-0.011693762
,,100,0.0,0.6345203668297972,,-54.01699263644238,-20.226203754355666,-54.01699263644238,140000,5.625359,,0.0,,,-34.35918939283642,0.0,6,-34.35918939283642,,,0.0,,0.0,-0.0037528365,,,-0.002368627,100,,10.531691204121683,,10.531691204121683,6,-20.226203754355666,-83.47584566149223,-83.47584566149223,,,,,,0.0006217259,-0.0061214636
,,100,0.0,0.6091417065869937,,-53.47133018751842,-19.70516041041403,-53.47133018751842,160000,5.6238623,,0.0,,,-29.901610422391702,0.0,7,-29.901610422391702,,,0.0,,0.0,0.00036534946,,,-0.008479542,100,,10.246736227412068,,10.246736227412068,7,-19.70516041041403,-74.9642619681795,-74.9642619681795,,,,,,9.2880335e-05,-0.008114193
,,100,0.0,0.6601677605223429,,66.78464608520272,36.55100531183405,66.78464608520272,180000,5.625013,,0.0,,,11950.053395516898,0.0,8,11950.053395516898,,,0.0,,0.0,0.5293934,,,0.40996563,100,,1194.3840865233872,,1194.3840865233872,8,36.55100531183405,-81.51358812096953,-81.51358812096953,,,,,,0.0122470595,0.939359
,,100,0.0,0.7339161876717609,,312.69579004021256,91.17523884127091,312.69579004021256,200000,5.617362,,0.0,,,36473.15120903245,0.0,9,36473.15120903245,,,0.0,,0.0,2.0765617,,,-1.661607,100,,3634.318703910526,,3634.318703910526,9,91.17523884127091,-78.09370572328469,-78.09370572328469,,,,,,0.011575586,0.4149547
