MetaTest/push-v1/StdReturn,MetaTest/Average/AverageReturn,MetaTest/push-v1/MinReturn,MetaTest/push-v1/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/push-v1/SuccessRate,Iteration,MetaTest/push-v1/MaxReturn,push-v1/StdReturn,Average/Iteration,Average/StdReturn,MetaTest/push-v1/NumEpisodes,MetaTest/Average/Iteration,MetaTest/Average/StdReturn,GaussianMLPPolicy/LossAfter,MetaTest/Average/SuccessRate,Average/NumEpisodes,MetaTest/Average/MinReturn,Average/MinReturn,Average/MaxReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/MaxReturn,GaussianMLPPolicy/KLAfter,push-v1/AverageReturn,Average/TerminationRate,push-v1/TerminationRate,MetaTest/push-v1/AverageReturn,push-v1/MinReturn,push-v1/NumEpisodes,GaussianMLPPolicy/Entropy,Average/AverageReturn,Average/AverageDiscountedReturn,GaussianMLPPolicy/dLoss,push-v1/MaxReturn,MetaTest/push-v1/Iteration,Average/SuccessRate,MetaTest/Average/TerminationRate,push-v1/SuccessRate,GaussianMLPPolicy/LossBefore,GaussianMLPPolicy/KLBefore,push-v1/Iteration,MetaTest/push-v1/AverageDiscountedReturn,push-v1/AverageDiscountedReturn,TotalEnvSteps
22722.45877745752,11073.24076676166,-23.323373833449054,0.0,11073.240766761664,0.12,10,115486.81747960574,10280.037830137435,10,10280.037830137435,50,1,22722.45877745752,-1.4569433233191376e-06,0.12,200,-23.323373833449054,-27.680015241476962,98360.02233029663,50,115486.81747960574,9.576322190696374e-05,4646.515596075229,0.0,0.0,11073.24076676166,-27.680015241476962,200,5.64942741394043,4646.515596075229,1254.4357689343599,1.3588930869445903e-07,98360.02233029663,1,0.045,0.0,0.045,-1.3210540146246785e-06,0.0,10,11073.240766761664,1254.4357689343599,880000
,,,,,,11,,10591.951515972863,11,10591.951515972863,,,,-3.7643906125595095e-06,,200,,-27.291529397580803,77740.07042538542,,,3.304759957245551e-05,5238.066616641521,0.0,0.0,,-27.291529397580803,200,5.646209716796875,5238.066616641521,1351.133756008941,4.666367203753907e-08,77740.07042538542,,0.04,,0.04,-3.7177269405219704e-06,0.0,11,,1351.133756008941,960000
,,,,,,12,,17476.93518624133,12,17476.93518624133,,,,-2.0072834558959585e-06,,200,,-57.56121710680875,188729.4603811706,,,8.379107748623937e-05,6540.6562044883785,0.0,0.0,,-57.56121710680875,200,5.644019603729248,6540.6562044883785,1769.9117569884818,1.1875738437083783e-07,188729.4603811706,,0.045,,0.045,-1.8885260715251206e-06,0.0,12,,1769.9117569884818,1040000
,,,,,,13,,11596.611573201937,13,11596.611573201937,,,,3.139498630844173e-06,,200,,-25.0515206882212,74091.34573548206,,,2.0608038539648987e-05,5518.742926648549,0.0,0.0,,-25.0515206882212,200,5.645662784576416,5518.742926648549,1480.663983496285,2.9122247724444605e-08,74091.34573548206,,0.05,,0.05,3.1686208785686176e-06,0.0,13,,1480.663983496285,1120000
,,,,,,14,,8783.690147476425,14,8783.690147476425,,,,-1.2765832252625842e-05,,200,,-24.471234240438886,52357.58642385537,,,0.00016994410543702543,5147.525549728913,0.0,0.0,,-24.471234240438886,200,5.630525588989258,5147.525549728913,1409.5362024112128,2.421047611278482e-07,52357.58642385537,,0.035,,0.035,-1.2523727491497993e-05,0.0,14,,1409.5362024112128,1200000
,,,,,,15,,13143.833437394713,15,13143.833437394713,,,,5.310442247719038e-06,,200,,-25.800773209260218,84175.03893780104,,,7.850798283470795e-05,6183.267672228776,0.0,0.0,,-25.800773209260218,200,5.63724422454834,6183.267672228776,1539.3074148841533,1.1124438970000483e-07,84175.03893780104,,0.06,,0.06,5.421686637419043e-06,0.0,15,,1539.3074148841533,1280000
,,,,,,16,,12869.50129647057,16,12869.50129647057,,,,-6.545651842770894e-08,,200,,-23.624821405785205,69790.7749095707,,,1.867664286692161e-05,6927.721544770812,0.0,0.0,,-23.624821405785205,200,5.6372246742248535,6927.721544770812,1946.3912043015046,2.6422959820138203e-08,69790.7749095707,,0.07,,0.07,-3.903355860757074e-08,0.0,16,,1946.3912043015046,1360000
,,,,,,17,,11267.746052535287,17,11267.746052535287,,,,-6.134568593552103e-06,,200,,-23.4169321410048,76752.28470156789,,,5.2732193580595776e-05,6223.678247007787,0.0,0.0,,-23.4169321410048,200,5.630791187286377,6223.678247007787,1605.8394612028478,7.467451723641716e-08,76752.28470156789,,0.055,,0.055,-6.059894076315686e-06,0.0,17,,1605.8394612028478,1440000
,,,,,,18,,15324.579360934713,18,15324.579360934713,,,,-1.5904008421330218e-07,,200,,-34.788542889313085,99232.52760635677,,,1.3582777683041058e-05,7641.279017444729,0.0,0.0,,-34.788542889313085,200,5.630712032318115,7641.279017444729,2159.453612433956,1.921985415265226e-08,99232.52760635677,,0.08,,0.08,-1.3982023006064992e-07,0.0,18,,2159.453612433956,1520000
,,,,,,19,,10800.78928881451,19,10800.78928881451,,,,-1.713255187496543e-05,,200,,-45.416979331192394,59985.08765018459,,,0.006931180600076914,5816.88448029454,0.0,0.0,,-45.416979331192394,200,5.642327308654785,5816.88448029454,1517.9823773668886,6.883623427711427e-05,59985.08765018459,,0.05,,0.05,5.170368240214884e-05,0.0,19,,1517.9823773668886,1600000
20798.327845534335,10850.57533646321,-23.33597821845031,0.0,10850.57533646321,0.08,20,120715.82821882797,13277.802526629934,20,13277.802526629934,50,2,20798.327845534335,-4.139132272484858e-07,0.08,200,-23.33597821845031,-23.137491711069185,160148.2090485305,50,120715.82821882797,8.127285400405526e-05,5014.073421600053,0.0,0.0,10850.57533646321,-23.137491711069185,200,5.6419501304626465,5014.073421600053,1482.6116980878455,1.1504224062264257e-07,160148.2090485305,2,0.03,0.0,0.03,-2.988709866258432e-07,0.0,20,10850.57533646321,1482.6116980878455,1680000
,,,,,,21,,11565.973147727458,21,11565.973147727458,,,,1.3578005564340856e-07,,200,,-24.74678057768047,70334.01083639698,,,3.6881228879792616e-05,6977.805799198525,0.0,0.0,,-24.74678057768047,200,5.642028331756592,6977.805799198525,2011.981913974274,5.2189108146194485e-08,70334.01083639698,,0.06,,0.06,1.8796916378960304e-07,0.0,21,,2011.981913974274,1760000
,,,,,,22,,11076.60653780693,22,11076.60653780693,,,,-1.2152110002716654e-06,,200,,-27.223117066934314,77988.5846502417,,,0.0002343572414247319,5673.310543286802,0.0,0.0,,-27.223117066934314,200,5.6411285400390625,5673.310543286802,1686.0039220280376,3.357686182425823e-07,77988.5846502417,,0.045,,0.045,-8.794423820290831e-07,0.0,22,,1686.0039220280376,1840000
,,,,,,23,,13857.081779966553,23,13857.081779966553,,,,4.806252491107443e-06,,200,,-19.58991719359664,118336.11532240458,,,0.0001043205993482843,7124.763812751841,0.0,0.0,,-19.58991719359664,200,5.646399974822998,7124.763812751841,1974.1241040311882,1.4792613001191057e-07,118336.11532240458,,0.045,,0.045,4.954178621119354e-06,0.0,23,,1974.1241040311882,1920000
,,,,,,24,,12521.562607208763,24,12521.562607208763,,,,-1.6092142686829902e-05,,200,,-23.81727397222974,87005.02541707442,,,0.0012974177952855825,6918.61342560832,0.0,0.0,,-23.81727397222974,200,5.627868175506592,6918.61342560832,1954.2455139505535,2.2609765437664464e-06,87005.02541707442,,0.06,,0.06,-1.3831166143063456e-05,0.0,24,,1954.2455139505535,2000000
,,,,,,25,,11247.689504375474,25,11247.689504375474,,,,3.552530642991769e-06,,200,,-45.533106735115325,73204.7020590238,,,6.910447700647637e-05,5893.3909660804275,0.0,0.0,,-45.533106735115325,200,5.6320719718933105,5893.3909660804275,1630.4298974495334,9.787299859453924e-08,73204.7020590238,,0.045,,0.045,3.6504036415863084e-06,0.0,25,,1630.4298974495334,2080000
,,,,,,26,,9316.117926622926,26,9316.117926622926,,,,2.319732629985083e-06,,200,,-23.55443481023034,52152.46975979927,,,0.0001601107360329479,5752.582255010824,0.0,0.0,,-23.55443481023034,200,5.6347126960754395,5752.582255010824,1690.7700697560074,2.275689894304378e-07,52152.46975979927,,0.025,,0.025,2.5473016194155207e-06,0.0,26,,1690.7700697560074,2160000
,,,,,,27,,10072.835871285457,27,10072.835871285457,,,,-1.5532290262854076e-06,,200,,-22.158898196628183,72955.66034795053,,,0.0001379902387270704,5428.185426529552,0.0,0.0,,-22.158898196628183,200,5.633028507232666,5428.185426529552,1622.4503640898577,1.9613491986092413e-07,72955.66034795053,,0.03,,0.03,-1.3570941064244835e-06,0.0,27,,1622.4503640898577,2240000
,,,,,,28,,14400.816464391486,28,14400.816464391486,,,,-4.4718917706632055e-06,,200,,-22.602625040729407,144314.86338920888,,,0.00013272432261146605,7277.654147542319,0.0,0.0,,-22.602625040729407,200,5.629568099975586,7277.654147542319,2081.29092838325,1.88374087883858e-07,144314.86338920888,,0.05,,0.05,-4.2835176827793475e-06,0.0,28,,2081.29092838325,2320000
,,,,,,29,,9959.021718513535,29,9959.021718513535,,,,5.289354703563731e-06,,200,,-23.97140228526777,85541.85798832668,,,0.0001083837851183489,4746.963235343023,0.0,0.0,,-23.97140228526777,200,5.6358160972595215,4746.963235343023,1366.3536008133215,1.5425257515744306e-07,85541.85798832668,,0.03,,0.03,5.443607278721174e-06,0.0,29,,1366.3536008133215,2400000
10144.43854120548,7366.7399177002835,-21.084693422528623,0.0,7366.7399177002835,0.04,30,51387.400745083774,13678.073399718913,30,13678.073399718913,50,3,10144.43854120548,-1.1391195585019886e-05,0.04,200,-21.084693422528623,-45.785968479568176,122730.56348641256,50,51387.400745083774,0.0001275697140954435,6048.743757003476,0.0,0.0,7366.7399177002835,-45.785968479568176,200,5.6209025382995605,6048.743757003476,1757.9449217908113,1.812250047805719e-07,122730.56348641256,3,0.025,0.0,0.025,-1.1209970580239315e-05,0.0,30,7366.7399177002835,1757.9449217908113,2480000
,,,,,,31,,10814.313533699047,31,10814.313533699047,,,,-4.423663085617591e-06,,200,,-31.622326247311555,73753.92390991557,,,8.373457967536524e-05,6466.6937794363175,0.0,0.0,,-31.622326247311555,200,5.6157097816467285,6466.6937794363175,1901.8846140760083,1.1859674486913718e-07,73753.92390991557,,0.035,,0.035,-4.3050663407484535e-06,0.0,31,,1901.8846140760083,2560000
,,,,,,32,,12043.284837544785,32,12043.284837544785,,,,-9.01663770491723e-06,,200,,-22.858894390482764,91432.98343756505,,,6.739727541571483e-05,6391.183347091809,0.0,0.0,,-22.858894390482764,200,5.604346752166748,6391.183347091809,1835.5188585955832,9.552240953780711e-08,91432.98343756505,,0.035,,0.035,-8.921115295379423e-06,0.0,32,,1835.5188585955832,2640000
,,,,,,33,,13857.865158942586,33,13857.865158942586,,,,-6.0367055993992835e-06,,200,,-26.135067478262055,83367.07924224902,,,6.455362017732114e-05,7572.010708415785,0.0,0.0,,-26.135067478262055,200,5.595524787902832,7572.010708415785,2232.6305537209996,9.148516255663708e-08,83367.07924224902,,0.065,,0.065,-5.9452204368426464e-06,0.0,33,,2232.6305537209996,2720000
,,,,,,34,,14711.865429349129,34,14711.865429349129,,,,-7.860935511416756e-06,,200,,-23.248391010596883,153181.67556787605,,,5.492955824593082e-05,6488.295401822764,0.0,0.0,,-23.248391010596883,200,5.5848846435546875,6488.295401822764,1811.6196457189,7.779726729495451e-08,153181.67556787605,,0.035,,0.035,-7.783138244121801e-06,0.0,34,,1811.6196457189,2800000
,,,,,,35,,9007.303240920422,35,9007.303240920422,,,,6.611415301449597e-06,,200,,-22.64971573588999,62165.58359821608,,,0.0005527884932234883,5445.14003982215,0.0,0.0,,-22.64971573588999,200,5.594874382019043,5445.14003982215,1535.2584082220717,9.265036169381347e-07,62165.58359821608,,0.025,,0.025,7.5379189183877315e-06,0.0,35,,1535.2584082220717,2880000
,,,,,,36,,16913.447410734323,36,16913.447410734323,,,,-4.232600474551873e-07,,200,,-22.48326235296123,117254.68384122738,,,7.07801737007685e-05,8949.817498134631,0.0,0.0,,-22.48326235296123,200,5.5945587158203125,8949.817498134631,2512.860255755906,1.0024731977864576e-07,117254.68384122738,,0.05,,0.05,-3.2301272767654154e-07,0.0,36,,2512.860255755906,2960000
,,,,,,37,,12671.309456302419,37,12671.309456302419,,,,-7.565924988739425e-07,,200,,-27.31484816229386,70526.78060101454,,,1.7493377526989207e-05,7280.426866328013,0.0,0.0,,-27.31484816229386,200,5.594155311584473,7280.426866328013,2047.3757444583046,2.4695793854334624e-08,70526.78060101454,,0.07,,0.07,-7.318967050196079e-07,0.0,37,,2047.3757444583046,3040000
,,,,,,38,,12831.41362149334,38,12831.41362149334,,,,7.985750016814563e-07,,200,,-25.463457010065245,79640.70650211678,,,4.6931203542044386e-05,7043.619352587142,0.0,0.0,,-25.463457010065245,200,5.594550609588623,7043.619352587142,1918.0625870869158,6.633962357227574e-08,79640.70650211678,,0.035,,0.035,8.649146252537321e-07,0.0,38,,1918.0625870869158,3120000
,,,,,,39,,22562.79663837592,39,22562.79663837592,,,,-2.030041969192098e-06,,200,,-40.64987968267417,145607.6950046649,,,9.278151264879853e-05,11996.893387751144,0.0,0.0,,-40.64987968267417,200,5.5937724113464355,11996.893387751144,3203.7755605715884,1.320886440225877e-07,145607.6950046649,,0.13,,0.13,-1.8979533251695102e-06,0.0,39,,3203.7755605715884,3200000
17647.113246283323,10573.773327445464,-22.998689384203757,0.0,10573.77332744546,0.08,40,70497.25299493657,18865.792947224632,40,18865.792947224632,50,4,17647.113246283323,2.1026698959758505e-06,0.08,200,-22.998689384203757,-24.447067644777277,129849.07724305308,50,70497.25299493657,1.799101482902188e-05,10359.776531046762,0.0,0.0,10573.773327445464,-24.447067644777277,200,5.594571590423584,10359.776531046762,2948.6948579406,2.5422423277632333e-08,129849.07724305308,4,0.075,0.0,0.075,2.128092319253483e-06,0.0,40,10573.77332744546,2948.6948579406,3280000
,,,,,,41,,12128.027798041105,41,12128.027798041105,,,,-6.719691555190366e-06,,200,,-34.907853936274954,65649.77279291896,,,8.409289875999093e-05,7652.879647614875,0.0,0.0,,-34.907853936274954,200,5.587625980377197,7652.879647614875,2256.8770946275195,1.1922520570806228e-07,65649.77279291896,,0.06,,0.06,-6.6004663494823035e-06,0.0,41,,2256.8770946275195,3360000
,,,,,,42,,14420.397908453395,42,14420.397908453395,,,,-1.6550021086914057e-07,,200,,-34.120816686348505,125599.86150768056,,,1.3818993465974927e-05,8176.988101974765,0.0,0.0,,-34.120816686348505,200,5.587569236755371,8176.988101974765,2295.0507949209145,1.9499850623105885e-08,125599.86150768056,,0.045,,0.045,-1.460003602460347e-07,0.0,42,,2295.0507949209145,3440000
,,,,,,43,,16498.820598292576,43,16498.820598292576,,,,-3.089449819526635e-06,,200,,-24.430868522191112,80356.16368735785,,,3.790462506003678e-05,10552.903104176477,0.0,0.0,,-24.430868522191112,200,5.586212158203125,10552.903104176477,2956.449334890842,5.356105248210952e-08,80356.16368735785,,0.1,,0.1,-3.0358887670445256e-06,0.0,43,,2956.449334890842,3520000
,,,,,,44,,18326.716693557373,44,18326.716693557373,,,,7.908770385256503e-07,,200,,-39.90524643129242,116496.75370448813,,,8.692359551787376e-05,10097.956551698662,0.0,0.0,,-39.90524643129242,200,5.587285041809082,10097.956551698662,2815.157335597208,1.2301188689889386e-07,116496.75370448813,,0.125,,0.125,9.138889254245441e-07,0.0,44,,2815.157335597208,3600000
,,,,,,45,,15988.378633918383,45,15988.378633918383,,,,1.3404103356151609e-06,,200,,-34.04417848629679,85742.24721783311,,,0.00012146694643888623,7918.17526046788,0.0,0.0,,-34.04417848629679,200,5.588784217834473,7918.17526046788,2138.291851466148,1.7210845726367552e-07,85742.24721783311,,0.06,,0.06,1.5125187928788364e-06,0.0,45,,2138.291851466148,3680000
,,,,,,46,,24743.940322348484,46,24743.940322348484,,,,-7.617399205628317e-06,,200,,-23.921896215172463,184381.33352579793,,,7.642996206413954e-05,12396.363814895814,0.0,0.0,,-23.921896215172463,200,5.578333854675293,12396.363814895814,3345.440472379741,1.0840858521987684e-07,184381.33352579793,,0.115,,0.115,-7.50899062040844e-06,0.0,46,,3345.440472379741,3760000
,,,,,,47,,14302.885525325357,47,14302.885525325357,,,,3.0424564556597034e-06,,200,,-25.344263549821143,86896.32066263953,,,1.3365415725274943e-05,7913.959699894621,0.0,0.0,,-25.344263549821143,200,5.579838275909424,7913.959699894621,2169.8131755360755,1.885655365185812e-08,86896.32066263953,,0.065,,0.065,3.0613130093115615e-06,0.0,47,,2169.8131755360755,3840000
,,,,,,48,,16846.466164995934,48,16846.466164995934,,,,6.712884442094946e-06,,200,,-26.52143201785008,98147.95760502192,,,5.824944673804566e-05,9855.125098622986,0.0,0.0,,-26.52143201785008,200,5.588393688201904,9855.125098622986,2802.621456428348,8.253527994384058e-08,98147.95760502192,,0.07,,0.07,6.795419722038787e-06,0.0,48,,2802.621456428348,3920000
,,,,,,49,,12055.398145125824,49,12055.398145125824,,,,-2.6700847683969187e-06,,200,,-21.684441155024395,76830.68798594469,,,1.8399046894046478e-05,7430.067791014397,0.0,0.0,,-21.684441155024395,200,5.587312698364258,7430.067791014397,2050.321345710489,2.596675585664343e-08,76830.68798594469,,0.045,,0.045,-2.6441180125402752e-06,0.0,49,,2050.321345710489,4000000
