MetaTest/hand-insert-v1/AverageReturn,MetaTest/hand-insert-v1/StdReturn,MetaTest/hand-insert-v1/TerminationRate,MetaTest/Average/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/Average/NumEpisodes,MetaTest/hand-insert-v1/MaxReturn,MetaTrain/Average/QfLoss,MetaTrain/Average/PolicyLoss,MetaTest/Average/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/hand-insert-v1/MinReturn,MetaTest/hand-insert-v1/NumEpisodes,MetaTrain/Average/AlphaLoss,MetaTrain/Average/Alpha,MetaTest/hand-insert-v1/Iteration,MetaTest/hand-insert-v1/AverageDiscountedReturn,MetaTest/hand-insert-v1/SuccessRate,MetaTest/Average/StdReturn,MetaTest/Average/SuccessRate,MetaTest/Average/AverageReturn,MetaTest/Average/MinReturn,TotalEnvSteps,MetaTrain/Average/ContrastiveLoss
202419.4788908363,147318.107406348,0.0,359816.5458027716,0.0,10,359816.5458027716,332622340.0,-937660.56,10,202419.47889083624,1646.4110957129114,10,-1225.7848,249.63521,10,202419.47889083624,1.0,147318.107406348,1.0,202419.4788908363,1646.4110957129114,464000,1118.1556
38390.253874947106,92487.98306221762,0.0,311777.0296947097,0.0,10,311777.0296947097,348074300.0,-999584.1,11,38390.25387494713,-20.647477641495243,10,-1075.6769,446.8827,11,38390.25387494713,0.5,92487.98306221762,0.5,38390.253874947106,-20.647477641495243,488000,2866.4226
295022.7896133027,36662.840192930424,0.0,331311.2909386935,0.0,10,331311.2909386935,224454930.0,-968547.94,12,295022.78961330286,192336.70906405864,10,-378.2264,692.29425,12,295022.78961330286,1.0,36662.840192930424,1.0,295022.7896133027,192336.70906405864,512000,2289.6921
259099.58779357286,110327.2818357187,0.0,344662.67958959175,0.0,10,344662.67958959175,257695000.0,-938597.5,13,259099.5877935728,-17.540147401382647,10,36.915436,747.7363,13,259099.5877935728,0.9,110327.2818357187,0.9,259099.58779357286,-17.540147401382647,536000,2095.2837
288884.378609802,63241.94304033763,0.0,329848.46226943337,0.0,10,329848.46226943337,346787360.0,-1008921.75,14,288884.378609802,109322.29822335228,10,-18.407284,749.8973,14,288884.378609802,1.0,63241.94304033763,1.0,288884.378609802,109322.29822335228,560000,2052.4736
212953.4034109517,114879.71933982534,0.0,339379.1928902761,0.0,10,339379.1928902761,441327260.0,-1073840.9,15,212953.40341095178,24394.710115914997,10,-0.6088711,768.59265,15,212953.40341095178,1.0,114879.71933982534,1.0,212953.4034109517,24394.710115914997,584000,3559.3428
257926.64063826305,110833.34639005762,0.0,348451.67115387216,0.0,10,348451.67115387216,482715700.0,-1045848.8,16,257926.64063826314,38279.46201091574,10,35.637383,711.5271,16,257926.64063826314,1.0,110833.34639005762,1.0,257926.64063826305,38279.46201091574,608000,2297.4766
204077.6111804553,131675.53557019983,0.0,362540.971153906,0.0,10,362540.971153906,503724000.0,-1059428.2,17,204077.61118045528,11378.486895191842,10,15.544221,679.2017,17,204077.61118045528,1.0,131675.53557019983,1.0,204077.6111804553,11378.486895191842,632000,2147.7056
260708.95533192222,106583.05655883509,0.0,349131.11401172506,0.0,10,349131.11401172506,494442880.0,-1089666.9,18,260708.95533192213,-15.842604785941175,10,31.58023,639.4946,18,260708.95533192213,0.9,106583.05655883509,0.9,260708.95533192222,-15.842604785941175,656000,2808.3865
210836.42809238815,119241.07370700636,0.0,366992.58323463233,0.0,10,366992.58323463233,473153400.0,-1162792.5,19,210836.42809238812,47135.45922390024,10,10.876096,600.57605,19,210836.42809238812,1.0,119241.07370700636,1.0,210836.42809238815,47135.45922390024,680000,8036.7095
231119.77575470507,138231.06354067722,0.0,369735.6024145872,0.0,10,369735.6024145872,420356300.0,-1148537.8,20,231119.77575470507,-16.50642938725217,10,22.967701,578.13416,20,231119.77575470507,0.9,138231.06354067722,0.9,231119.77575470507,-16.50642938725217,704000,4808.1045
285119.4999949008,115653.92520444811,0.0,370606.4072651394,0.0,10,370606.4072651394,386270180.0,-1112933.9,21,285119.4999949007,-16.936432917024657,10,24.06022,523.71265,21,285119.4999949007,0.9,115653.92520444811,0.9,285119.4999949008,-16.936432917024657,728000,4471.001
253430.5488289076,154938.44876809226,0.0,371132.44231270027,0.0,10,371132.44231270027,398574500.0,-1122149.5,22,253430.5488289075,-17.285122583327862,10,11.7105,501.46957,22,253430.5488289075,0.8,154938.44876809226,0.8,253430.5488289076,-17.285122583327862,752000,3484.8538
210231.90518680276,158947.5026339829,0.0,367388.3216843941,0.0,10,367388.3216843941,434379650.0,-1153389.0,23,210231.9051868027,-14.455962678795128,10,-8.893176,489.48807,23,210231.9051868027,0.9,158947.5026339829,0.9,210231.90518680276,-14.455962678795128,776000,3274.8384
264446.28426581796,139846.54603395404,0.0,367687.35978810216,0.0,10,367687.35978810216,446223300.0,-1160571.5,24,264446.28426581796,10239.248468957921,10,-14.810113,520.18585,24,264446.28426581796,1.0,139846.54603395404,1.0,264446.28426581796,10239.248468957921,800000,3415.2693
280627.2830414223,122203.27546392132,0.0,369812.07983416127,0.0,10,369812.07983416127,448517900.0,-1158989.8,25,280627.28304142243,10389.568478490335,10,-2.8857486,538.72235,25,280627.28304142243,1.0,122203.27546392132,1.0,280627.2830414223,10389.568478490335,824000,9246.696
299951.9385738412,120871.96139739163,0.0,374321.6454937983,0.0,10,374321.6454937983,459131460.0,-1191044.9,26,299951.93857384124,6757.544939610459,10,7.5689282,540.9307,26,299951.93857384124,1.0,120871.96139739163,1.0,299951.9385738412,6757.544939610459,848000,4526.7783
302331.1331245582,117345.98385419215,0.0,373327.2182410806,0.0,10,373327.2182410806,460420860.0,-1202928.1,27,302331.13312455814,29957.844483745168,10,11.651267,523.33136,27,302331.13312455814,1.0,117345.98385419215,1.0,302331.1331245582,29957.844483745168,872000,3943.3237
228392.5838180547,147852.41764409596,0.0,372082.62604090467,0.0,10,372082.62604090467,483073300.0,-1235944.8,28,228392.5838180546,-17.39495616707122,10,5.67819,504.10623,28,228392.5838180546,0.9,147852.41764409596,0.9,228392.5838180547,-17.39495616707122,896000,3068.6804
224431.51554109366,142713.51807071242,0.0,371253.6486953655,0.0,10,371253.6486953655,487452380.0,-1234356.0,29,224431.51554109372,-19.41240908448303,10,13.028743,468.05624,29,224431.51554109372,0.9,142713.51807071242,0.9,224431.51554109366,-19.41240908448303,920000,3151.722
272159.3037087581,143632.18013999498,0.0,376467.28131268854,0.0,10,376467.28131268854,480574050.0,-1253932.2,30,272159.30370875815,3048.128372325003,10,0.44559386,461.0251,30,272159.30370875815,1.0,143632.18013999498,1.0,272159.3037087581,3048.128372325003,944000,3104.9395
215161.38049351852,165833.26452372412,0.0,371802.2295702505,0.0,10,371802.2295702505,496085820.0,-1284020.5,31,215161.3804935185,4336.771753158122,10,6.210072,454.66403,31,215161.3804935185,1.0,165833.26452372412,1.0,215161.38049351852,4336.771753158122,968000,2517.861
242690.3599652892,111256.02456596027,0.0,372438.33903838333,0.0,10,372438.33903838333,802293700.0,-1281981.6,32,242690.35996528916,69881.21151925145,10,19.748009,437.76007,32,242690.35996528916,1.0,111256.02456596027,1.0,242690.3599652892,69881.21151925145,992000,16449.799
232197.62407393675,146759.3080138673,0.0,369545.2854462609,0.0,10,369545.2854462609,508324480.0,-1285719.8,33,232197.62407393675,9102.630713743925,10,1.2285312,433.07373,33,232197.62407393675,1.0,146759.3080138673,1.0,232197.62407393675,9102.630713743925,1016000,6419.902
268941.0629068938,148894.27391199113,0.0,379604.2646828187,0.0,10,379604.2646828187,524296740.0,-1292803.9,34,268941.0629068938,8504.759072168004,10,-3.4517267,431.0125,34,268941.0629068938,1.0,148894.27391199113,1.0,268941.0629068938,8504.759072168004,1040000,5095.134
158418.91892444325,170511.46151426685,0.0,371482.2795813059,0.0,10,371482.2795813059,538530800.0,-1322150.5,35,158418.9189244433,-26.885753951270775,10,-0.17653076,439.2482,35,158418.9189244433,0.7,170511.46151426685,0.7,158418.91892444325,-26.885753951270775,1064000,4025.805
284654.34639245213,120689.65772051796,0.0,376293.5015472881,0.0,10,376293.5015472881,565377400.0,-1322052.4,36,284654.34639245213,62926.55736254863,10,12.445621,420.57364,36,284654.34639245213,1.0,120689.65772051796,1.0,284654.34639245213,62926.55736254863,1088000,3929.168
196338.71974137152,165320.70343545405,0.0,371024.1851106374,0.0,10,371024.1851106374,572684700.0,-1334358.0,37,196338.71974137152,2506.6608941941945,10,5.3789964,396.57462,37,196338.71974137152,1.0,165320.70343545405,1.0,196338.71974137152,2506.6608941941945,1112000,5366.2734
238291.7540361037,151137.47202307047,0.0,369728.05018145597,0.0,10,369728.05018145597,577431550.0,-1331889.4,38,238291.7540361037,12434.91978917479,10,1.51206,393.35718,38,238291.7540361037,1.0,151137.47202307047,1.0,238291.7540361037,12434.91978917479,1136000,6464.446
328117.2379295962,83245.51254164847,0.0,373679.16235847614,0.0,10,373679.16235847614,611826700.0,-1090444.8,39,328117.23792959616,87615.2897276711,10,57.337017,348.716,39,328117.23792959616,1.0,83245.51254164847,1.0,328117.2379295962,87615.2897276711,1160000,119893.664
253761.82330823148,146038.50266754284,0.0,378089.4069327691,0.0,10,378089.4069327691,570829630.0,-1337179.5,40,253761.82330823154,-18.31365179869947,10,-13.212914,366.4662,40,253761.82330823154,0.9,146038.50266754284,0.9,253761.82330823148,-18.31365179869947,1184000,11768.341
46310.8954936932,65771.01708009256,0.0,168691.51049253377,0.0,10,168691.51049253377,648203200.0,-980246.6,41,46310.8954936932,-84.05500649110381,10,97.85942,331.32092,41,46310.8954936932,0.5,65771.01708009256,0.5,46310.8954936932,-84.05500649110381,1208000,431569.97
133487.6351011219,153419.195022935,0.0,367910.50271968765,0.0,10,367910.50271968765,587875200.0,-1281456.4,42,133487.63510112188,-20.075519036560333,10,-61.649757,331.61145,42,133487.63510112188,0.7,153419.195022935,0.7,133487.6351011219,-20.075519036560333,1232000,29854.734
231185.98723566285,99161.24534282676,0.0,353671.05311341916,0.0,10,353671.05311341916,659861250.0,-1320377.6,43,231185.98723566285,1690.910072932086,10,9.299033,359.60428,43,231185.98723566285,1.0,99161.24534282676,1.0,231185.98723566285,1690.910072932086,1256000,43343.906
175612.84942182223,118577.6318387231,0.0,318371.71382135333,0.0,10,318371.71382135333,596413950.0,-1333353.8,44,175612.84942182226,-16.043801132634165,10,-13.100935,357.49237,44,175612.84942182226,0.9,118577.6318387231,0.9,175612.84942182223,-16.043801132634165,1280000,14405.924
253330.43211389202,59966.78239735297,0.0,365655.5198497442,0.0,10,365655.5198497442,628328700.0,-1346600.2,45,253330.432113892,180451.97355849942,10,-2.9655085,375.55847,45,253330.432113892,1.0,59966.78239735297,1.0,253330.43211389202,180451.97355849942,1304000,8898.688
183342.07620872735,156807.24684373316,0.0,363461.5877234704,0.0,10,363461.5877234704,648869570.0,-1357347.6,46,183342.07620872738,6217.070335946249,10,1.0109078,378.31424,46,183342.07620872738,1.0,156807.24684373316,1.0,183342.07620872735,6217.070335946249,1328000,7406.075
251987.28110042616,153020.19663049665,0.0,373323.64483318577,0.0,10,373323.64483318577,690383800.0,-1363159.8,47,251987.28110042601,5408.857125197718,10,-2.5650694,384.435,47,251987.28110042601,1.0,153020.19663049665,1.0,251987.28110042616,5408.857125197718,1352000,6299.828
187178.33820570048,174868.89970915933,0.0,380887.48894679284,0.0,10,380887.48894679284,672908700.0,-1369535.8,48,187178.3382057005,-17.943749127794028,10,-2.4640918,392.36636,48,187178.3382057005,0.8,174868.89970915933,0.8,187178.33820570048,-17.943749127794028,1376000,4966.842
327130.6208373258,103359.81629493908,0.0,378354.2517088563,0.0,10,378354.2517088563,695820740.0,-1384739.5,49,327130.6208373257,29825.932809873106,10,5.594926,387.99728,49,327130.6208373257,1.0,103359.81629493908,1.0,327130.6208373258,29825.932809873106,1400000,3762.2795
