MetaTest/Average/MinReturn,MetaTrain/Average/AlphaLoss,MetaTest/Average/NumEpisodes,MetaTrain/Average/QfLoss,MetaTest/sweep-v1/StdReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/AverageDiscountedReturn,MetaTest/sweep-v1/AverageReturn,MetaTest/sweep-v1/SuccessRate,MetaTest/Average/MaxReturn,MetaTest/sweep-v1/MinReturn,MetaTest/sweep-v1/AverageDiscountedReturn,MetaTest/Average/SuccessRate,MetaTrain/Average/PolicyLoss,MetaTrain/Average/Alpha,MetaTest/Average/Iteration,MetaTest/sweep-v1/Iteration,TotalEnvSteps,MetaTest/Average/StdReturn,MetaTest/Average/AverageReturn,MetaTest/Average/TerminationRate,MetaTest/sweep-v1/NumEpisodes,MetaTest/sweep-v1/MaxReturn,MetaTest/sweep-v1/TerminationRate
-19.35772956428863,-12.708379,10,448014.22,3573.092432745203,113.07661,3648.831635989705,3648.831635989705,0.0,12519.052727908806,-19.35772956428863,3648.831635989705,0.0,-12063.823,9.203923,12,12,512000,3573.092432745203,3648.831635989705,0.0,10,12519.052727908806,0.0
-34.619288752304776,-8.557908,10,875295.1,16017.419613125965,221.49684,11627.788667832452,11627.788667832448,0.0,44880.18116079407,-34.619288752304776,11627.788667832452,0.0,-17675.885,15.009479,13,13,536000,16017.419613125965,11627.788667832448,0.0,10,44880.18116079407,0.0
-29.11823127199723,2.0971177,10,1326094.6,1269.456869736388,413.50394,1044.8529399699098,1044.85293996991,0.0,2905.1090051109086,-29.11823127199723,1044.8529399699098,0.0,-21944.672,19.277977,14,14,560000,1269.456869736388,1044.85293996991,0.0,10,2905.1090051109086,0.0
19.362969519914156,-20.979382,10,2242694.8,3662.9445852579424,546.97437,2685.2920840873617,2685.2920840873617,0.0,12178.726266777674,19.362969519914156,2685.2920840873617,0.0,-36200.67,21.719786,15,15,584000,3662.9445852579424,2685.2920840873617,0.0,10,12178.726266777674,0.0
-17.868018528017448,-4.2339296,10,2508101.8,4619.567358050364,573.02295,4519.966230817208,4519.966230817207,0.1,16006.001266271904,-17.868018528017448,4519.966230817208,0.1,-44680.97,29.554132,16,16,608000,4619.567358050364,4519.966230817207,0.0,10,16006.001266271904,0.0
-102.56149994982668,5.2193623,10,2439801.0,2203.356211821579,633.4946,1286.5876731053854,1286.5876731053854,0.0,6989.557774689619,-102.56149994982668,1286.5876731053854,0.0,-41013.465,26.25689,17,17,632000,2203.356211821579,1286.5876731053854,0.0,10,6989.557774689619,0.0
-26.71604156929003,2.7160156,10,2166785.0,881.1176835162391,598.0178,867.8273839171977,867.827383917198,0.0,2842.529985848191,-26.71604156929003,867.8273839171977,0.0,-35811.67,21.365925,18,18,656000,881.1176835162391,867.827383917198,0.0,10,2842.529985848191,0.0
-18.705533862073743,0.37006396,10,2038456.6,682.8247599683831,389.10513,595.2249730451374,595.2249730451372,0.0,1597.7862757545354,-18.705533862073743,595.2249730451374,0.0,-36201.023,20.422781,19,19,680000,682.8247599683831,595.2249730451372,0.0,10,1597.7862757545354,0.0
-16.67865060539003,2.0264108,10,1931284.0,4040.206186842109,618.76,3433.9873635296376,3433.9873635296367,0.0,12399.757147592185,-16.67865060539003,3433.9873635296376,0.0,-35213.953,18.79153,20,20,704000,4040.206186842109,3433.9873635296367,0.0,10,12399.757147592185,0.0
-36.45193682386731,0.018865174,10,1839390.2,5402.273929122969,415.86105,3048.829683158324,3048.829683158323,0.0,18211.027976424517,-36.45193682386731,3048.829683158324,0.0,-34385.24,17.145414,21,21,728000,5402.273929122969,3048.829683158323,0.0,10,18211.027976424517,0.0
-11.134014276774542,0.6062977,10,1783671.0,6122.872691668376,433.2919,3561.773263459926,3561.773263459926,0.0,17474.917469144948,-11.134014276774542,3561.773263459926,0.0,-33505.848,17.209646,22,22,752000,6122.872691668376,3561.773263459926,0.0,10,17474.917469144948,0.0
-37.360688780128505,1.0541164,10,1807097.1,9126.594663930531,552.877,4404.0023492223845,4404.0023492223845,0.0,31062.01219502282,-37.360688780128505,4404.0023492223845,0.0,-29802.092,15.518215,23,23,776000,9126.594663930531,4404.0023492223845,0.0,10,31062.01219502282,0.0
22.015518269312537,-2.5029376,10,2083205.4,3137.4587066361555,367.67743,2924.8376261246435,2924.8376261246426,0.0,8806.401996578563,22.015518269312537,2924.8376261246435,0.0,-30550.885,17.149857,24,24,800000,3137.4587066361555,2924.8376261246426,0.0,10,8806.401996578563,0.0
-42.310403883798685,-0.11805258,10,2746317.2,6184.862673463183,360.60953,3060.083690742474,3060.0836907424755,0.0,21329.57143777606,-42.310403883798685,3060.083690742474,0.0,-33242.086,19.14109,25,25,824000,6184.862673463183,3060.0836907424755,0.0,10,21329.57143777606,0.0
-64.82516996290727,0.21577308,10,3375566.8,3553.7277145335197,396.40997,2152.5568086938583,2152.556808693858,0.0,11447.918089958714,-64.82516996290727,2152.5568086938583,0.0,-35820.46,18.63995,26,26,848000,3553.7277145335197,2152.556808693858,0.0,10,11447.918089958714,0.0
-49.32834027331305,-0.21898896,10,3652857.8,3972.6743359348325,391.6363,2201.106299297492,2201.106299297492,0.0,13085.2995205699,-49.32834027331305,2201.106299297492,0.0,-37490.098,18.865158,27,27,872000,3972.6743359348325,2201.106299297492,0.0,10,13085.2995205699,0.0
-46.74368436181256,-0.021513946,10,3935895.5,9489.879539686226,532.65594,9276.205309960962,9276.205309960962,0.0,25004.179923909385,-46.74368436181256,9276.205309960962,0.0,-36893.168,19.073208,28,28,896000,9489.879539686226,9276.205309960962,0.0,10,25004.179923909385,0.0
-70.1252027458393,0.8275355,10,3975271.0,4049.274355980885,436.5614,2462.90289792529,2462.9028979252903,0.0,13643.347708887362,-70.1252027458393,2462.90289792529,0.0,-35343.48,19.131914,29,29,920000,4049.274355980885,2462.9028979252903,0.0,10,13643.347708887362,0.0
-73.61504539923159,1.6310941,10,3725493.8,4672.74181830084,360.32166,2712.44866048752,2712.448660487521,0.0,16189.91686451885,-73.61504539923159,2712.44866048752,0.0,-33723.48,18.147755,30,30,944000,4672.74181830084,2712.448660487521,0.0,10,16189.91686451885,0.0
343.7848073963,0.43100837,10,3225728.0,2642.331184867274,420.77872,3441.092185130593,3441.092185130593,0.1,7768.66451922404,343.7848073963,3441.092185130593,0.1,-29447.08,16.150743,31,31,968000,2642.331184867274,3441.092185130593,0.0,10,7768.66451922404,0.0
-57.186492622079726,-0.66798294,10,3282894.0,10615.8884888341,329.0318,10053.169769085715,10053.169769085707,0.0,34417.80327411233,-57.186492622079726,10053.169769085715,0.0,-30906.238,17.310785,32,32,992000,10615.8884888341,10053.169769085707,0.0,10,34417.80327411233,0.0
-18.858844875631124,0.58722377,10,3266313.2,15793.822269057455,368.75745,11294.897075090976,11294.89707509097,0.0,54840.574003693735,-18.858844875631124,11294.897075090976,0.0,-31667.434,17.21132,33,33,1016000,15793.822269057455,11294.89707509097,0.0,10,54840.574003693735,0.0
-41.01504687425723,-0.5783567,10,3332352.5,14589.416491954802,369.40088,15079.772762394257,15079.77276239426,0.0,46373.81602575865,-41.01504687425723,15079.772762394257,0.0,-31809.447,17.63465,34,34,1040000,14589.416491954802,15079.77276239426,0.0,10,46373.81602575865,0.0
-18.11479014972238,-0.47921723,10,3234839.0,7021.6184752796435,302.01782,6293.941776454007,6293.941776454004,0.0,18940.63513808198,-18.11479014972238,6293.941776454007,0.0,-31076.62,18.111202,35,35,1064000,7021.6184752796435,6293.941776454004,0.0,10,18940.63513808198,0.0
-53.909423923104974,-0.5876886,10,3364019.2,29166.75808397849,307.61237,25237.603284848974,25237.603284848967,0.0,66584.09384320724,-53.909423923104974,25237.603284848974,0.0,-31460.568,19.039122,36,36,1088000,29166.75808397849,25237.603284848967,0.0,10,66584.09384320724,0.0
-45.06662102976491,0.49389106,10,3816905.8,17870.33800635919,364.0654,14455.164684241094,14455.164684241096,0.0,61523.073489371534,-45.06662102976491,14455.164684241094,0.0,-33796.523,20.756971,37,37,1112000,17870.33800635919,14455.164684241096,0.0,10,61523.073489371534,0.0
-74.04899302762078,-1.8728704,10,3988055.5,14993.015946465654,384.9192,10300.276330469913,10300.276330469917,0.0,42365.60563945777,-74.04899302762078,10300.276330469913,0.0,-32615.455,20.557281,38,38,1136000,14993.015946465654,10300.276330469917,0.0,10,42365.60563945777,0.0
-62.29686142527995,-0.37511325,10,4634729.5,18470.439475874853,752.6102,18200.07151518121,18200.07151518121,0.0,64100.65560031058,-62.29686142527995,18200.07151518121,0.0,-36132.414,23.252628,39,39,1160000,18470.439475874853,18200.07151518121,0.0,10,64100.65560031058,0.0
56.851068948325796,-1.1665306,10,4978898.0,22355.20005070067,1457.9982,34998.46225940732,34998.46225940732,0.1,61385.479722357355,56.851068948325796,34998.46225940732,0.1,-37900.445,23.993107,40,40,1184000,22355.20005070067,34998.46225940732,0.0,10,61385.479722357355,0.0
910.488369982332,-1.6441531,10,5713598.5,13207.954984718592,2500.5505,12554.424006568852,12554.424006568854,0.0,40687.428647884684,910.488369982332,12554.424006568852,0.0,-42011.242,26.05028,41,41,1208000,13207.954984718592,12554.424006568854,0.0,10,40687.428647884684,0.0
-78.59291011654224,-2.6123586,10,6341190.5,10278.123571013904,3224.6243,9664.967570251436,9664.967570251432,0.0,34599.9030609571,-78.59291011654224,9664.967570251436,0.0,-47174.35,29.051489,42,42,1232000,10278.123571013904,9664.967570251432,0.0,10,34599.9030609571,0.0
-61.65160207379586,4.1765757,10,6594812.0,21806.338909026836,8073.1714,21432.48747159743,21432.487471597422,0.0,58837.84618362432,-61.65160207379586,21432.48747159743,0.0,-37954.406,28.836935,43,43,1256000,21806.338909026836,21432.487471597422,0.0,10,58837.84618362432,0.0
-12.101779032736406,-2.3556335,10,6799069.5,8236.88131601131,3318.7825,9434.578208616771,9434.578208616773,0.0,26644.45016723332,-12.101779032736406,9434.578208616771,0.0,-44821.38,28.910093,44,44,1280000,8236.88131601131,9434.578208616773,0.0,10,26644.45016723332,0.0
-30.380813231613548,-2.5789962,10,8017512.0,16690.557699211917,1830.6226,11825.608678951812,11825.608678951812,0.0,47034.982407179785,-30.380813231613548,11825.608678951812,0.0,-46790.297,30.971266,45,45,1304000,16690.557699211917,11825.608678951812,0.0,10,47034.982407179785,0.0
-47.83986920635609,-1.5015864,10,8184613.0,21038.81472338628,990.7646,23064.82067587102,23064.82067587102,0.0,53123.69203935039,-47.83986920635609,23064.82067587102,0.0,-53839.953,34.956573,46,46,1328000,21038.81472338628,23064.82067587102,0.0,10,53123.69203935039,0.0
-94.72265223974179,5.936833,10,8895588.0,25523.91024194381,6935.694,28146.11167078092,28146.11167078092,0.0,62912.75308515484,-94.72265223974179,28146.11167078092,0.0,-45434.938,34.32882,47,47,1352000,25523.91024194381,28146.11167078092,0.0,10,62912.75308515484,0.0
-74.83522373874348,-0.056638673,10,8197133.5,19556.822419277098,6519.9795,38321.26932355575,38321.26932355576,0.0,61677.328018856424,-74.83522373874348,38321.26932355575,0.0,-43745.65,27.929243,48,48,1376000,19556.822419277098,38321.26932355576,0.0,10,61677.328018856424,0.0
59.92888326769171,-4.3433933,10,9004596.0,20852.686819933457,2467.1597,32532.83476079142,32532.83476079141,0.0,61323.94562297635,59.92888326769171,32532.83476079142,0.0,-58114.113,33.540016,49,49,1400000,20852.686819933457,32532.83476079141,0.0,10,61323.94562297635,0.0
