MetaTest/bin-picking-v1/StdReturn,MetaTest/bin-picking-v1/AverageDiscountedReturn,MetaTest/Average/TerminationRate,MetaTrain/Average/QfLoss,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/StdReturn,MetaTest/Average/NumEpisodes,MetaTest/bin-picking-v1/MinReturn,MetaTrain/Average/AlphaLoss,TotalEnvSteps,MetaTest/bin-picking-v1/Iteration,MetaTrain/Average/Alpha,MetaTest/bin-picking-v1/AverageReturn,MetaTest/Average/AverageReturn,MetaTrain/Average/PolicyLoss,MetaTest/bin-picking-v1/SuccessRate,MetaTest/bin-picking-v1/MaxReturn,MetaTest/Average/MaxReturn,MetaTest/Average/SuccessRate,MetaTest/Average/MinReturn,MetaTest/bin-picking-v1/TerminationRate,MetaTest/bin-picking-v1/NumEpisodes,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/Iteration
34.557820557322515,-92.27314952913395,0.0,2.0621285,-92.27314952913395,34.557820557322515,10,-146.7044497879488,5.147956,224000,0,0.7664225,-92.27314952913396,-92.27314952913396,27.557102,0.0,-36.932060376767964,-36.932060376767964,0.0,-146.7044497879488,0.0,10,8.207454,0
28.950262095359808,-81.93973446711904,0.0,4.1872563,-81.93973446711904,28.950262095359808,10,-141.8504776528136,2.9950707,248000,1,0.4535405,-81.93973446711904,-81.93973446711904,92.788956,0.0,-37.963433631982106,-37.963433631982106,0.0,-141.8504776528136,0.0,10,7.8965364,1
34.88329644865534,-66.71707237168427,0.0,6.000835,-66.71707237168427,34.88329644865534,10,-111.47785309156313,1.6889373,272000,2,0.2730214,-66.71707237168428,-66.71707237168428,156.3854,0.0,-25.00206876372457,-25.00206876372457,0.0,-111.47785309156313,0.0,10,7.8015275,2
47.51086823354171,-33.75962810729107,0.0,7.9975204,-33.75962810729107,47.51086823354171,10,-108.91226684512678,0.854879,296000,3,0.16705358,-33.75962810729107,-33.75962810729107,206.30057,0.0,86.67615823122532,86.67615823122532,0.0,-108.91226684512678,0.0,10,7.7448235,3
29.492745002662833,-49.10074307642707,0.0,10.624219,-49.10074307642707,29.492745002662833,10,-113.5283730158785,0.37059423,320000,4,0.104737364,-49.10074307642708,-49.10074307642708,247.18982,0.0,-22.59496851495237,-22.59496851495237,0.0,-113.5283730158785,0.0,10,7.697725,4
22.63747770595597,-59.81294484939956,0.0,12.804293,-59.81294484939956,22.63747770595597,10,-94.75613413559671,0.119311,344000,5,0.06889557,-59.81294484939957,-59.81294484939957,273.97586,0.0,-25.443259863200122,-25.443259863200122,0.0,-94.75613413559671,0.0,10,7.73042,5
24.509694348942904,-60.18931047589858,0.0,15.46227,-60.18931047589858,24.509694348942904,10,-118.07806385952695,0.004718998,368000,6,0.054881424,-60.18931047589858,-60.18931047589858,288.25986,0.0,-34.05321767183741,-34.05321767183741,0.0,-118.07806385952695,0.0,10,7.6867833,6
28.446695570153533,-38.248774375297444,0.0,17.831568,-38.248774375297444,28.446695570153533,10,-97.49701723844903,-0.019644564,392000,7,0.067278445,-38.24877437529746,-38.24877437529746,294.17117,0.0,12.187309014461952,12.187309014461952,0.0,-97.49701723844903,0.0,10,7.6958213,7
19.121073166243022,-40.45568661334616,0.0,18.349691,-40.45568661334616,19.121073166243022,10,-75.24181488670156,0.0043199826,416000,8,0.07464146,-40.45568661334616,-40.45568661334616,299.6829,0.0,-25.009209664265576,-25.009209664265576,0.0,-75.24181488670156,0.0,10,7.6578555,8
31.393541349009446,-52.808862185607964,0.0,19.660086,-52.808862185607964,31.393541349009446,10,-100.99866573215192,0.003795525,440000,9,0.06883979,-52.80886218560795,-52.80886218560795,305.0425,0.0,-23.63376441877902,-23.63376441877902,0.0,-100.99866573215192,0.0,10,7.663335,9
16.592185158603854,-46.391008636085914,0.0,20.959723,-46.391008636085914,16.592185158603854,10,-79.96849084317772,0.002760007,464000,10,0.065477796,-46.39100863608589,-46.39100863608589,307.137,0.0,-26.524115405837094,-26.524115405837094,0.0,-79.96849084317772,0.0,10,7.6353335,10
23.24969461580417,-42.776464076384855,0.0,20.734434,-42.776464076384855,23.24969461580417,10,-96.16910336289442,0.0023489972,488000,11,0.06300273,-42.776464076384855,-42.776464076384855,307.87445,0.0,-24.003114587338928,-24.003114587338928,0.0,-96.16910336289442,0.0,10,7.650958,11
48.07632256341211,-21.887405125646566,0.0,21.311636,-21.887405125646566,48.07632256341211,10,-68.67759307660862,0.0044317897,512000,12,0.060883522,-21.887405125646563,-21.887405125646563,306.52237,0.0,115.06200339062276,115.06200339062276,0.0,-68.67759307660862,0.0,10,7.6579494,12
23.23332081951469,-47.78062234710247,0.0,21.304602,-47.78062234710247,23.23332081951469,10,-94.02167474962242,0.0067660064,536000,13,0.055632204,-47.78062234710247,-47.78062234710247,306.86713,0.0,-24.516066185179344,-24.516066185179344,0.0,-94.02167474962242,0.0,10,7.661673,13
24.474810403500413,-65.98396226192197,0.0,21.51664,-65.98396226192197,24.474810403500413,10,-101.2324765569475,0.0028731523,560000,14,0.050856255,-65.98396226192197,-65.98396226192197,304.45825,0.0,-28.490926483014924,-28.490926483014924,0.0,-101.2324765569475,0.0,10,7.6399484,14
20.130515968185954,-48.34142980317172,0.0,22.543879,-48.34142980317172,20.130515968185954,10,-77.95370014458844,-0.0013131547,584000,15,0.05111821,-48.34142980317172,-48.34142980317172,303.83685,0.0,-24.121301689943373,-24.121301689943373,0.0,-77.95370014458844,0.0,10,7.667038,15
