MetaTest/Average/MaxReturn,plate-slide-v1/StdReturn,policy/LossAfter,MetaTest/Average/Iteration,MetaTest/Average/MinReturn,MetaTest/plate-slide-v1/StdReturn,plate-slide-v1/AverageDiscountedReturn,policy/LossBefore,MetaTest/Average/NumEpisodes,MetaTest/Average/AverageDiscountedReturn,Average/NumEpisodes,Average/AverageDiscountedReturn,Average/SuccessRate,policy/Entropy,Average/MinReturn,Average/Iteration,MetaTest/plate-slide-v1/SuccessRate,MetaTest/plate-slide-v1/Iteration,TotalEnvSteps,MetaTest/plate-slide-v1/NumEpisodes,MetaTest/Average/SuccessRate,LinearFeatureBaseline/ExplainedVariance,MetaTest/plate-slide-v1/MinReturn,MetaTest/Average/TerminationRate,MetaTest/Average/AverageReturn,plate-slide-v1/MaxReturn,policy/dLoss,Average/StdReturn,plate-slide-v1/AverageReturn,policy/KL,plate-slide-v1/TerminationRate,Average/MaxReturn,MetaTest/plate-slide-v1/AverageReturn,plate-slide-v1/Iteration,MetaTest/Average/StdReturn,plate-slide-v1/NumEpisodes,MetaTest/plate-slide-v1/AverageDiscountedReturn,MetaTest/plate-slide-v1/TerminationRate,plate-slide-v1/SuccessRate,Average/TerminationRate,MetaTest/plate-slide-v1/MaxReturn,policy/KLBefore,plate-slide-v1/MinReturn,Average/AverageReturn
-39.96372275833173,10.009081048399356,-0.05436682,0,-62.26411425646269,7.432127281796229,-19.934530771729822,-0.024101608,10,-51.18417232737473,100,-19.934530771729822,0.0,5.677499,-74.35687287165916,0,0.0,0,20000,10,0.0,0.5195933995519294,-62.26411425646269,0.0,-51.18417232737475,-30.389294766003896,0.030265212,10.009081048399356,-53.988124873276774,0.015327967,0.0,-30.389294766003896,-51.18417232737475,0,7.432127281796229,100,-51.18417232737473,0.0,0.0,0.0,-39.96372275833173,0.0,-74.35687287165916,-53.988124873276774
,37.15875603610069,-0.0496162,,,,-12.715920057903732,0.020317743,,,100,-12.715920057903732,0.0,5.6904397,-70.36399951418063,1,,,40000,,,0.13419248156214336,,,,298.10225688375965,0.06993394,37.15875603610069,-31.964517500988624,0.02742952,0.0,298.10225688375965,,1,,100,,,0.0,0.0,,0.0,-70.36399951418063,-31.964517500988624
,176.76779332685837,-0.41056597,,,,11.846862374903532,-0.18079203,,,100,11.846862374903532,0.0,5.6714635,-41.02387854358881,2,,,60000,,,0.13408295034797257,,,,1047.1467623916678,0.22977394,176.76779332685837,39.07275279193354,0.006798511,0.0,1047.1467623916678,,2,,100,,,0.0,0.0,,0.0,-41.02387854358881,39.07275279193354
,550.4537725452608,-0.7109793,,,,68.38635767668247,-0.02498164,,,100,68.38635767668247,0.0,5.657319,-43.08967822224557,3,,,80000,,,0.11917411654945842,,,,3848.9501112946705,0.68599766,550.4537725452608,170.9902741085057,0.008050252,0.0,3848.9501112946705,,3,,100,,,0.0,0.0,,0.0,-43.08967822224557,170.9902741085057
,581.8811035873346,-0.63669455,,,,85.98721235419855,-0.10723926,,,100,85.98721235419855,0.02,5.6571403,-42.546135696233954,4,,,100000,,,0.10593709235095572,,,,4127.98748774375,0.5294553,581.8811035873346,192.98993988161007,0.004319526,0.0,4127.98748774375,,4,,100,,,0.02,0.0,,0.0,-42.546135696233954,192.98993988161007
,230.2978771987486,0.15934531,,,,39.02729673092966,0.322861,,,100,39.02729673092966,0.0,5.650174,-51.06105838093906,5,,,120000,,,0.13262254083688252,,,,1657.9233950132805,0.16351567,230.2978771987486,85.32768187171853,0.010206485,0.0,1657.9233950132805,,5,,100,,,0.0,0.0,,0.0,-51.06105838093906,85.32768187171853
,1338.1279012407992,-0.84574354,,,,230.14408844333076,0.7119742,,,100,230.14408844333076,0.0,5.6594596,-53.67222755763312,6,,,140000,,,0.1414635917363496,,,,6555.238143718498,1.5577178,1338.1279012407992,659.5837463982521,0.004745919,0.0,6555.238143718498,,6,,100,,,0.0,0.0,,0.0,-53.67222755763312,659.5837463982521
,1085.239868652185,-2.1294868,,,,158.41235955389746,-1.1947986,,,100,158.41235955389746,0.0,5.6397104,-49.05949641283542,7,,,160000,,,0.11050232736029686,,,,8226.059901810313,0.9346882,1085.239868652185,422.71470619840585,0.005180267,0.0,8226.059901810313,,7,,100,,,0.0,0.0,,0.0,-49.05949641283542,422.71470619840585
,1987.2652244088406,-0.8788367,,,,400.6119150208155,1.3959035,,,100,400.6119150208155,0.01,5.597747,-48.785846348902574,8,,,180000,,,0.20889509487085745,,,,10467.215474487357,2.2747402,1987.2652244088406,1065.9661814105184,0.005277427,0.0,10467.215474487357,,8,,100,,,0.01,0.0,,0.0,-48.785846348902574,1065.9661814105184
,1690.7401066563873,-0.74609685,,,,292.06729214373814,0.83870935,,,100,292.06729214373814,0.04,5.563508,-56.03432917424642,9,,,200000,,,0.12004530323566365,,,,13191.198450281725,1.5848062,1690.7401066563873,780.1484909054861,0.005513038,0.0,13191.198450281725,,9,,100,,,0.04,0.0,,0.0,-56.03432917424642,780.1484909054861
8014.886657221435,2727.6186296696324,-2.8379617,1,-49.32580105237605,2455.6759506810895,526.6788277387617,-0.09145625,10,1421.1069816946397,100,526.6788277387617,0.03,5.54264,-48.576361758557425,10,0.1,1,220000,10,0.1,0.22999965059279048,-49.32580105237605,0.0,1421.10698169464,12668.694136132051,2.7465055,2727.6186296696324,1598.1127058411898,0.006727443,0.0,12668.694136132051,1421.10698169464,10,2455.6759506810895,100,1421.1069816946397,0.0,0.03,0.0,8014.886657221435,0.0,-48.576361758557425,1598.1127058411898
